corrida,brazo,fase,p50_ms,p95_ms,p99_ms,cotizaciones,error_pct,respaldo_pct,edad_p50_s,edad_p95_s,acierto,breaker_max,inflight_max,refrescos_activos_max,llamadas_fallidas,coalescidas,invocaciones_por_fallo,cortadas_por_breaker,sobre_225_pct,sobre_475_pct,lag_p99_ms,parones_250ms,p95_open_finance_ms,p95_cache_ms,p95_default_ms,p95_fallback_ms,s_hasta_abrir,s_hasta_cerrar,s_hasta_respaldo_bajo_5pct,pico_invocaciones_recuperacion,linea_base_invocaciones
cache_blocking_b1_r1_caido,cache_blocking,sana,57.8,64.9,145.8,12099.0,0.0,0.0,411.8,851.2,0.9591,0.0,2.0,0.0,0.0,0.0,1.0,,0.058,0.0,4.6,0.0,179.6,64.2,,,,,,,
cache_blocking_b1_r1_caido,cache_blocking,degradada,57.5,64.3,64.9,12001.0,0.0,3.946,576.2,880.4,0.9603,2.0,2.0,0.0,30.0,0.0,0.06,441.0,0.0,0.0,4.5,0.0,155.0,64.2,64.2,64.2,,,,,
cache_blocking_b1_r1_caido,cache_blocking,recuperacion,57.8,64.8,142.4,5999.0,0.0,0.509,589.2,870.4,0.958,2.0,2.0,0.0,0.0,0.0,0.88,31.0,0.017,0.0,4.3,0.0,184.7,64.2,64.2,64.2,,,,,
cache_blocking_b1_r1_caido,cache_blocking,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,0.0,5.22,6.33
cache_blocking_b1_r1_degradado,cache_blocking,sana,57.8,64.8,143.7,12001.0,0.0,0.0,416.3,851.6,0.9606,0.0,2.0,0.0,0.0,0.0,1.0,,0.025,0.0,4.4,0.0,177.8,64.2,,,,,,,
cache_blocking_b1_r1_degradado,cache_blocking,degradada,57.5,64.3,64.9,12001.0,0.0,3.43,575.7,878.4,0.9656,2.0,4.0,0.0,24.0,0.0,0.06,385.0,0.182,0.182,4.5,0.0,119.0,64.2,722.6,64.9,,,,,
cache_blocking_b1_r1_degradado,cache_blocking,recuperacion,57.7,64.7,135.7,6100.0,0.0,0.983,591.4,871.8,0.9583,2.0,2.0,0.0,0.0,0.0,0.76,60.0,0.0,0.0,4.4,0.0,178.1,64.2,64.2,64.2,,,,,
cache_blocking_b1_r1_degradado,cache_blocking,transiciones,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,0.0,5.56,5.56
cache_blocking_b1_r1_lento,cache_blocking,sana,57.8,64.9,141.0,12002.0,0.0,0.0,414.2,851.4,0.9573,0.0,3.0,0.0,0.0,0.0,1.0,,0.034,0.0,,,173.1,64.2,,,,,,,
cache_blocking_b1_r1_lento,cache_blocking,degradada,57.8,64.8,492.5,12101.0,0.0,0.0,557.5,865.7,0.9613,0.0,4.0,0.0,0.0,0.0,1.0,,3.842,1.283,,,542.2,64.3,,,,,,,
