t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789099259,0,sana,99.975,57.822,64.861,137.143,0.0,95.889,0.0,1.0,0.0,3.999,0.0,0.0,4.6,0.102
1789099260,1,sana,100.025,57.803,64.827,138.462,0.0,96.111,0.0,0.0,0.0,3.251,0.0,0.0,4.673,0.1
1789099261,2,sana,99.75,57.831,64.879,142.525,0.0,95.667,0.0,0.0,0.0,4.25,0.0,0.0,4.64,0.1
1789099262,3,sana,99.75,57.831,64.879,145.025,0.0,95.556,0.0,1.0,0.0,4.5,0.0,0.0,4.64,0.103
1789099263,4,sana,99.75,57.804,64.827,140.033,0.0,96.222,0.0,0.0,0.0,3.75,0.0,0.0,4.55,0.097
1789099264,5,sana,100.0,57.776,64.775,138.182,0.0,96.222,0.0,2.0,0.0,3.5,0.0,0.0,4.6,0.1
1789099265,6,sana,100.25,57.776,64.775,136.0,0.0,96.444,0.0,0.0,0.0,3.0,0.0,0.0,4.6,0.097
1789099266,7,sana,100.25,57.759,64.741,133.333,0.0,96.667,0.0,0.0,0.0,2.5,0.0,0.0,4.64,0.095
1789099267,8,sana,100.25,57.768,64.758,137.5,0.0,96.556,0.0,1.0,0.0,2.5,0.0,0.0,4.6,0.095
1789099268,9,sana,99.475,57.741,64.709,133.378,0.0,96.778,0.0,1.0,0.0,3.249,0.0,0.0,4.6,0.095
1789099269,10,sana,100.0,57.75,64.724,132.5,0.0,96.778,0.0,0.0,0.0,2.5,0.0,0.0,4.486,0.095
1789099270,11,sana,100.0,57.732,64.69,128.543,0.0,97.111,0.0,0.0,0.0,3.25,0.0,0.0,4.55,0.095
1789099271,12,sana,100.0,57.723,64.673,128.867,0.0,97.333,0.0,0.0,0.0,3.0,0.0,0.0,4.55,0.095
1789099272,13,sana,100.5,57.732,64.69,132.475,0.0,97.111,0.0,0.0,0.0,3.0,0.0,0.0,4.486,0.092
1789099273,14,sana,100.025,57.785,64.792,135.0,0.0,96.556,0.0,0.0,0.0,4.501,0.0,0.0,4.486,0.098
1789099274,15,sana,100.0,57.794,64.809,138.0,0.0,96.222,0.0,0.0,0.0,5.0,0.0,0.0,4.486,0.098
1789099275,16,sana,100.025,57.822,64.861,144.444,0.0,95.889,0.0,0.0,0.0,5.501,0.0,0.0,4.28,0.098
1789099276,17,sana,100.025,57.84,64.895,146.667,0.0,95.667,0.0,1.0,0.0,5.751,0.0,0.0,4.1,0.103
1789099277,18,sana,99.975,57.848,64.911,146.622,0.0,95.778,0.0,0.0,0.0,4.749,0.0,0.0,4.1,0.097
