t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789095438,0,sana,99.8,57.84,64.895,136.923,0.0,95.667,0.0,0.0,0.0,4.002,0.0,0.0,4.1,0.103
1789095439,1,sana,99.825,57.831,64.879,135.4,0.0,95.556,0.0,1.0,0.0,4.253,0.0,0.0,4.28,0.103
1789095440,2,sana,100.0,57.858,64.929,137.129,0.0,95.667,0.0,0.0,0.0,4.75,0.0,0.0,3.8,0.105
1789095441,3,sana,99.75,57.831,64.879,135.017,0.0,95.778,0.0,1.0,0.0,4.25,0.0,0.0,4.1,0.103
1789095442,4,sana,100.25,57.849,64.913,136.364,0.0,95.556,0.0,0.0,0.0,4.25,0.0,0.0,4.1,0.095
1789095443,5,sana,100.25,57.803,64.827,134.0,0.0,96.111,0.0,0.0,0.0,3.5,0.0,0.0,4.28,0.098
1789095444,6,sana,100.025,57.785,64.792,136.0,0.0,96.333,0.0,0.0,0.0,2.501,0.0,0.0,4.4,0.09
1789095445,7,sana,100.0,57.768,64.759,134.564,0.0,96.444,0.0,1.0,0.0,2.5,0.0,0.0,4.4,0.092
1789095446,8,sana,100.0,57.785,64.792,140.0,0.0,96.333,0.0,0.0,0.0,3.0,0.0,0.0,4.288,0.092
1789095447,9,sana,100.0,57.812,64.843,139.985,0.0,96.111,0.0,0.0,0.0,4.0,0.0,0.0,4.491,0.09
1789095448,10,sana,99.975,57.794,64.809,146.6,0.0,96.444,0.0,0.0,0.0,4.249,0.0,0.0,4.407,0.092
1789095449,11,sana,100.25,57.759,64.741,145.0,0.0,96.667,0.0,0.0,0.0,4.5,0.0,0.0,4.491,0.09
1789095450,12,sana,100.0,57.776,64.775,154.95,0.0,96.556,0.0,0.0,0.0,4.0,0.0,0.0,4.491,0.093
1789095451,13,sana,99.75,57.741,64.708,150.05,0.0,96.667,0.0,2.0,0.0,2.5,0.0,0.0,4.407,0.09
1789095452,14,sana,100.0,57.812,64.844,155.0,0.0,96.0,0.0,0.0,0.0,4.25,0.0,0.0,4.491,0.095
1789095453,15,sana,100.025,57.822,64.861,150.0,0.0,95.889,0.0,0.0,0.0,4.251,0.0,0.0,4.407,0.095
1789095454,16,sana,100.025,57.812,64.843,149.967,0.0,96.111,0.0,0.0,0.0,3.501,0.0,0.0,4.491,0.093
1789095455,17,sana,100.275,57.785,64.792,140.0,0.0,96.111,0.0,2.0,0.0,4.251,0.0,0.0,4.486,0.095
1789095456,18,sana,100.0,57.794,64.809,148.571,0.0,96.222,0.0,0.0,0.0,3.5,0.0,0.0,4.4,0.092
1789095457,19,sana,99.725,57.795,64.81,142.886,0.0,96.0,0.0,1.0,0.0,3.749,0.0,0.0,4.486,0.092
1789095458,20,sana,99.975,57.803,64.827,145.0,0.0,96.111,0.0,0.0,0.0,4.249,0.0,0.0,4.55,0.095
1789095459,21,sana,99.725,57.777,64.776,140.025,0.0,96.333,0.0,0.0,0.0,3.999,0.0,0.0,4.55,0.092
1789095460,22,sana,100.0,57.812,64.843,142.475,0.0,96.222,0.0,0.0,0.0,3.0,0.0,0.0,4.55,0.093
1789095461,23,sana,100.0,57.768,64.759,142.244,0.0,96.444,0.0,0.0,0.0,3.5,0.0,0.0,4.486,0.09
1789095462,24,sana,99.775,57.75,64.725,140.029,0.0,96.667,0.0,0.0,0.0,3.001,0.0,0.0,4.486,0.093
1789095463,25,sana,100.025,57.759,64.742,142.525,0.0,96.556,0.0,0.0,0.0,3.001,0.0,0.0,4.4,0.09
1789095464,26,sana,100.0,57.785,64.792,149.091,0.0,96.556,0.0,0.0,0.0,3.5,0.0,0.0,4.4,0.09
1789095465,27,sana,100.25,57.732,64.691,145.0,0.0,97.0,0.0,0.0,0.0,2.25,0.0,0.0,4.28,0.092
1789095466,28,sana,100.25,57.741,64.707,146.644,0.0,97.111,0.0,0.0,0.0,3.0,0.0,0.0,4.4,0.09
1789095467,29,sana,100.0,57.732,64.691,145.025,0.0,96.778,0.0,1.0,0.0,3.5,0.0,0.0,4.1,0.09
1789095468,30,sana,100.025,57.776,64.775,149.98,0.0,96.556,0.0,0.0,0.0,3.501,0.0,0.0,4.1,0.09
1789095469,31,sana,100.05,57.785,64.792,150.909,0.0,96.333,0.0,0.0,0.0,4.502,0.0,0.0,4.4,0.09
1789095470,32,sana,100.0,57.767,64.758,151.98,0.0,96.667,0.0,0.0,0.0,4.25,0.0,0.0,4.28,0.09
1789095471,33,sana,100.25,57.776,64.775,150.891,0.0,96.556,0.0,0.0,0.0,3.75,0.0,0.0,4.4,0.092
1789095472,34,sana,99.775,57.812,64.844,152.727,0.0,96.0,0.0,0.0,0.0,4.251,0.0,0.0,4.4,0.093
1789095473,35,sana,99.975,57.803,64.827,147.5,0.0,96.111,0.0,0.0,0.0,3.999,0.0,0.0,4.4,0.092
1789095474,36,sana,99.75,57.813,64.844,147.525,0.0,95.889,0.0,0.0,0.0,4.0,0.0,0.0,4.4,0.095
1789095475,37,sana,99.75,57.822,64.862,148.6,0.0,95.778,0.0,0.0,0.0,4.75,0.0,0.0,4.28,0.095
1789095476,38,sana,100.225,57.83,64.877,153.3,0.0,95.889,0.0,1.0,0.0,3.749,0.0,0.0,4.4,0.092
1789095477,39,sana,100.0,57.822,64.861,145.0,0.0,95.889,0.0,0.0,0.0,4.0,0.0,0.0,4.4,0.093
1789095478,40,sana,100.25,57.858,64.93,150.0,0.0,95.444,0.0,0.0,0.0,5.5,0.0,0.0,4.1,0.095
1789095479,41,sana,100.25,57.849,64.913,145.0,0.0,95.556,0.0,0.0,0.0,4.75,0.0,0.0,4.28,0.092
1789095480,42,sana,100.0,57.876,64.965,145.0,0.0,95.222,0.0,0.0,0.0,5.25,0.0,0.0,4.1,0.092
1789095481,43,sana,100.025,57.867,64.947,139.985,0.0,95.333,0.0,1.0,0.0,5.251,0.0,0.0,4.1,0.098
1789095482,44,sana,100.0,57.858,64.93,148.571,0.0,95.333,0.0,1.0,0.0,4.0,0.0,0.0,4.1,0.093
1789095483,45,sana,100.0,57.858,64.929,149.975,0.0,95.556,0.0,0.0,0.0,4.0,0.0,0.0,4.1,0.093
1789095484,46,sana,100.025,57.839,64.895,145.686,0.0,95.778,0.0,0.0,0.0,3.501,0.0,0.0,3.8,0.093
1789095485,47,sana,100.0,57.831,64.878,142.857,0.0,95.778,0.0,1.0,0.0,3.0,0.0,0.0,3.8,0.09
1789095486,48,sana,100.0,57.794,64.809,145.714,0.0,96.222,0.0,0.0,0.0,2.25,0.0,0.0,3.8,0.087
1789095487,49,sana,100.025,57.741,64.708,140.0,0.0,96.778,0.0,0.0,0.0,2.751,0.0,0.0,4.1,0.09
1789095488,50,sana,99.75,57.75,64.725,140.029,0.0,96.667,0.0,0.0,0.0,2.75,0.0,0.0,3.8,0.09
1789095489,51,sana,99.975,57.75,64.724,140.0,0.0,96.778,0.0,0.0,0.0,2.999,0.0,0.0,3.8,0.09
1789095490,52,sana,100.025,57.776,64.775,142.857,0.0,96.556,0.0,0.0,0.0,4.751,0.0,0.0,4.11,0.095
1789095491,53,sana,99.975,57.75,64.724,137.5,0.0,96.889,0.0,0.0,0.0,3.999,0.0,0.0,4.407,0.095
1789095492,54,sana,99.975,57.75,64.725,137.525,0.0,96.556,0.0,1.0,0.0,3.999,0.0,0.0,4.407,0.095
1789095493,55,sana,100.0,57.776,64.775,137.778,0.0,96.444,0.0,0.0,0.0,4.25,0.0,0.0,4.407,0.092
1789095494,56,sana,99.975,57.768,64.758,140.0,0.0,96.444,0.0,2.0,0.0,2.749,0.0,0.0,4.288,0.092
1789095495,57,sana,100.0,57.803,64.827,140.0,0.0,96.111,0.0,0.0,0.0,3.75,0.0,0.0,4.288,0.092
1789095496,58,sana,100.05,57.777,64.776,138.35,0.0,96.333,0.0,1.0,0.0,3.252,0.0,0.0,4.288,0.09
1789095497,59,sana,99.8,57.785,64.792,138.333,0.0,96.333,0.0,0.0,0.0,3.002,0.0,0.0,4.288,0.09
1789095498,60,sana,100.05,57.803,64.827,150.0,0.0,96.111,0.0,0.0,0.0,4.002,0.0,0.0,4.407,0.093
1789095499,61,sana,100.05,57.759,64.741,140.0,0.0,96.667,0.0,0.0,0.0,3.502,0.0,0.0,4.4,0.093
1789095500,62,sana,100.225,57.768,64.758,138.0,0.0,96.556,0.0,0.0,0.0,3.749,0.0,0.0,4.1,0.097
