t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789097985,0,sana,99.725,57.904,87.0,146.689,0.0,94.778,0.0,0.0,0.0,5.999,0.0,0.0,4.6,0.097
1789097986,1,sana,100.325,57.894,64.999,144.975,0.0,95.111,0.0,0.0,0.0,4.253,0.0,0.0,4.55,0.095
1789097987,2,sana,100.55,57.941,99.8,150.891,0.0,94.556,0.0,0.0,0.0,5.253,0.0,0.0,4.28,0.1
1789097988,3,sana,100.05,57.913,88.0,146.667,0.0,94.889,0.0,0.0,0.0,5.003,0.0,0.0,4.28,0.098
1789097989,4,sana,100.3,57.858,64.93,146.667,0.0,95.444,0.0,0.0,0.0,4.002,0.0,0.0,4.486,0.098
1789097990,5,sana,99.975,57.886,64.982,148.0,0.0,94.889,0.0,1.0,0.0,4.749,0.0,0.0,4.55,0.1
1789097991,6,sana,100.0,57.885,64.982,144.975,0.0,95.111,0.0,0.0,0.0,4.5,0.0,0.0,4.55,0.098
1789097992,7,sana,100.0,57.894,64.998,144.95,0.0,95.222,0.0,0.0,0.0,4.75,0.0,0.0,4.55,0.1
1789097993,8,sana,99.75,57.868,64.948,142.886,0.0,95.222,0.0,0.0,0.0,5.25,0.0,0.0,4.55,0.1
1789097994,9,sana,100.0,57.848,64.912,139.983,0.0,95.667,0.0,0.0,0.0,4.5,0.0,0.0,4.55,0.097
1789097995,10,sana,99.775,57.858,64.931,142.886,0.0,95.333,0.0,0.0,0.0,3.751,0.0,0.0,4.55,0.098
1789097996,11,sana,100.0,57.822,64.861,140.0,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,4.6,0.095
1789097997,12,sana,100.25,57.822,64.861,140.0,0.0,95.778,0.0,1.0,0.0,3.5,0.0,0.0,4.7,0.095
1789097998,13,sana,100.0,57.849,64.913,138.824,0.0,95.556,0.0,0.0,0.0,4.25,0.0,0.0,4.673,0.095
