t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789094590,0,sana,100.275,57.858,64.929,139.038,0.0,95.556,0.0,0.0,0.0,3.751,0.0,0.0,4.76,0.095
1789094591,1,sana,100.0,57.803,64.827,138.889,0.0,96.111,0.0,0.0,0.0,2.5,0.0,0.0,4.743,0.095
1789094592,2,sana,99.5,57.804,64.828,146.8,0.0,95.889,0.0,2.0,0.0,2.5,0.0,0.0,4.7,0.095
1789094593,3,sana,100.0,57.794,64.809,160.0,0.0,96.111,0.0,0.0,0.0,2.25,0.0,0.0,4.6,0.095
1789094594,4,sana,100.0,57.776,64.775,149.9,0.0,96.556,0.0,0.0,0.0,3.25,0.0,0.0,4.7,0.098
1789094595,5,sana,100.025,57.776,64.775,149.9,0.0,96.444,0.0,1.0,0.0,3.751,0.0,0.0,4.7,0.093
1789094596,6,sana,100.525,57.759,64.741,146.667,0.0,96.667,0.0,0.0,0.0,4.251,0.0,0.0,4.673,0.095
1789094597,7,sana,100.05,57.759,64.741,140.0,0.0,96.667,0.0,0.0,0.0,4.002,0.0,0.0,4.486,0.093
1789094598,8,sana,100.05,57.741,64.708,137.143,0.0,96.778,0.0,1.0,0.0,3.502,0.0,0.0,4.6,0.093
1789094599,9,sana,99.75,57.786,64.793,140.05,0.0,96.111,0.0,0.0,0.0,4.75,0.0,0.0,4.673,0.095
1789094600,10,sana,100.0,57.812,64.844,145.0,0.0,96.0,0.0,0.0,0.0,4.0,0.0,0.0,4.723,0.095
1789094601,11,sana,99.975,57.812,64.842,139.96,0.0,96.222,0.0,0.0,0.0,3.999,0.0,0.0,4.723,0.095
1789094602,12,sana,100.0,57.822,64.861,136.364,0.0,96.0,0.0,0.0,0.0,4.25,0.0,0.0,4.775,0.095
1789094603,13,sana,99.975,57.786,64.793,134.02,0.0,96.115,0.0,0.0,0.0,3.249,0.0,0.0,4.723,0.095
1789094604,14,sana,100.0,57.822,64.861,136.923,0.0,95.889,0.0,1.0,0.0,4.0,0.0,0.0,4.7,0.095
1789094605,15,sana,100.0,57.812,64.844,140.0,0.0,96.0,0.0,0.0,0.0,4.25,0.0,0.0,4.7,0.098
1789094606,16,sana,100.0,57.812,64.844,140.0,0.0,96.0,0.0,0.0,0.0,4.0,0.0,0.0,4.723,0.095
1789094607,17,sana,100.275,57.803,64.827,140.0,0.0,96.222,0.0,0.0,0.0,3.501,0.0,0.0,4.673,0.098
1789094608,18,sana,99.775,57.768,64.758,137.778,0.0,96.667,0.0,0.0,0.0,3.001,0.0,0.0,4.64,0.093
1789094609,19,sana,100.025,57.776,64.775,134.286,0.0,96.444,0.0,0.0,0.0,3.001,0.0,0.0,4.55,0.093
1789094610,20,sana,99.725,57.768,64.759,132.525,0.0,96.444,0.0,0.0,0.0,2.999,0.0,0.0,4.673,0.095
1789094611,21,sana,100.0,57.812,64.844,140.0,0.0,96.0,0.0,0.0,0.0,4.5,0.0,0.0,4.64,0.092
1789094612,22,sana,100.225,57.83,64.877,143.3,0.0,95.996,0.0,0.0,0.0,4.749,0.0,0.0,4.6,0.097
1789094613,23,sana,99.975,57.849,64.913,144.0,0.0,95.667,0.0,0.0,0.0,5.999,0.0,0.0,4.673,0.097
1789094614,24,sana,100.25,57.858,64.93,138.182,0.0,95.444,0.0,0.0,0.0,6.5,0.0,0.0,4.7,0.097
1789094615,25,sana,100.25,57.876,64.964,138.317,0.0,95.228,0.0,0.0,0.0,5.75,0.0,0.0,4.723,0.1
1789094616,26,sana,100.025,57.876,64.965,140.0,0.0,95.222,0.0,0.0,0.0,5.251,0.0,0.0,4.743,0.098
1789094617,27,sana,100.0,57.885,64.982,142.829,0.0,95.222,0.0,0.0,0.0,3.75,0.0,0.0,4.775,0.095
1789094618,28,sana,100.25,57.848,64.912,142.829,0.0,95.56,0.0,0.0,0.0,2.75,0.0,0.0,4.775,0.093
1789094619,29,sana,99.525,57.895,65.0,145.0,0.0,95.0,0.0,0.0,0.0,3.501,0.0,0.0,4.743,0.095
1789094620,30,sana,100.0,57.867,64.948,144.0,0.0,95.333,0.0,0.0,0.0,4.25,0.0,0.0,4.7,0.095
1789094621,31,sana,100.25,57.848,64.912,143.96,0.0,95.56,0.0,0.0,0.0,4.0,0.0,0.0,4.723,0.095
1789094622,32,sana,99.525,57.786,64.793,144.04,0.0,96.222,0.0,1.0,0.0,4.251,0.0,0.0,4.64,0.093
1789094623,33,sana,100.25,57.768,64.758,144.0,0.0,96.556,0.0,0.0,0.0,3.0,0.0,0.0,4.7,0.09
1789094624,34,sana,100.25,57.723,64.674,140.0,0.0,97.111,0.0,0.0,0.0,1.75,0.0,0.0,4.7,0.087
1789094625,35,sana,99.8,57.723,64.674,136.667,0.0,97.0,0.0,1.0,0.0,1.751,0.0,0.0,4.644,0.088
1789094626,36,sana,100.275,57.732,64.691,137.143,0.0,97.0,0.0,0.0,0.0,2.251,0.0,0.0,4.491,0.093
1789094627,37,sana,100.025,57.75,64.725,140.067,0.0,96.667,0.0,0.0,0.0,2.501,0.0,0.0,4.486,0.093
1789094628,38,sana,99.525,57.723,64.674,137.143,0.0,97.0,0.0,2.0,0.0,3.251,0.0,0.0,4.644,0.095
1789094629,39,sana,99.75,57.688,64.607,131.457,0.0,97.444,0.0,0.0,0.0,3.5,0.0,0.0,4.703,0.095
1789094630,40,sana,100.0,57.723,64.674,137.171,0.0,96.997,0.0,0.0,0.0,4.0,0.0,0.0,4.763,0.095
1789094631,41,sana,99.75,57.759,64.741,136.0,0.0,96.667,0.0,0.0,0.0,4.5,0.0,0.0,4.802,0.095
1789094632,42,sana,100.25,57.759,64.741,134.545,0.0,96.667,0.0,0.0,0.0,4.25,0.0,0.0,4.791,0.095
1789094633,43,sana,100.25,57.804,64.827,136.683,0.0,96.107,0.0,0.0,0.0,4.75,0.0,0.0,4.763,0.098
1789094634,44,sana,100.025,57.794,64.809,136.667,0.0,96.333,0.0,0.0,0.0,3.501,0.0,0.0,4.76,0.095
1789094635,45,sana,100.25,57.831,64.878,135.714,0.0,95.667,0.0,1.0,0.0,4.0,0.0,0.0,4.76,0.097
1789094636,46,sana,100.0,57.858,64.93,138.571,0.0,95.551,0.0,0.0,0.0,5.0,0.0,0.0,4.791,0.098
1789094637,47,sana,99.975,57.83,64.877,138.164,0.0,96.0,0.0,0.0,0.0,3.999,0.0,0.0,4.775,0.095
1789094638,48,sana,99.975,57.867,64.947,139.983,0.0,95.444,0.0,0.0,0.0,5.249,0.0,0.0,4.76,0.097
1789094639,49,sana,100.0,57.831,64.878,135.714,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,4.673,0.093
1789094640,50,sana,100.25,57.83,64.877,138.3,0.0,95.893,0.0,0.0,0.0,3.75,0.0,0.0,4.55,0.095
1789094641,51,sana,100.025,57.84,64.895,140.0,0.0,95.667,0.0,0.0,0.0,4.501,0.0,0.0,4.4,0.095
1789094642,52,sana,100.0,57.822,64.861,140.0,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,4.6,0.092
1789094643,53,sana,100.0,57.858,64.93,143.333,0.0,95.444,0.0,0.0,0.0,4.5,0.0,0.0,4.673,0.095
1789094644,54,sana,99.525,57.804,64.827,144.04,0.0,96.111,0.0,1.0,0.0,3.501,0.0,0.0,4.723,0.093
1789094645,55,sana,100.0,57.785,64.792,140.0,0.0,96.333,0.0,0.0,0.0,3.5,0.0,0.0,4.673,0.095
1789094646,56,sana,100.0,57.803,64.827,153.333,0.0,96.111,0.0,0.0,0.0,3.5,0.0,0.0,4.6,0.095
1789094647,57,sana,100.225,57.758,64.741,149.95,0.0,96.559,0.0,1.0,0.0,2.499,0.0,0.0,4.64,0.092
1789094648,58,sana,100.225,57.812,64.844,152.0,0.0,96.0,0.0,0.0,0.0,3.999,0.0,0.0,4.7,0.095
1789094649,59,sana,99.75,57.813,64.845,155.1,0.0,95.884,0.0,0.0,0.0,4.75,0.0,0.0,4.76,0.095
1789094650,60,sana,100.025,57.831,64.878,155.0,0.0,95.778,0.0,0.0,0.0,5.251,0.0,0.0,4.775,0.095
1789094651,61,sana,99.525,57.813,64.844,153.4,0.0,95.889,0.0,0.0,0.0,5.501,0.0,0.0,4.723,0.095
1789094652,62,sana,100.0,57.803,64.827,160.0,0.0,96.111,0.0,0.0,0.0,4.25,0.0,0.0,4.723,0.095
1789094653,63,sana,100.0,57.822,64.861,155.0,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,4.76,0.095
1789094654,64,sana,99.975,57.831,64.878,148.0,0.0,95.778,0.0,0.0,0.0,3.499,0.0,0.0,4.775,0.095
1789094655,65,sana,100.05,57.849,64.914,145.743,0.0,95.333,0.0,1.0,0.0,4.502,0.0,0.0,4.76,0.098
1789094656,66,sana,99.8,57.896,82.0,146.733,0.0,94.994,0.0,0.0,0.0,5.253,0.0,0.0,4.723,0.095
1789094657,67,sana,100.275,57.858,64.93,144.0,0.0,95.444,0.0,0.0,0.0,4.751,0.0,0.0,4.673,0.095
1789094658,68,sana,100.05,57.839,64.895,139.988,0.0,95.778,0.0,0.0,0.0,4.752,0.0,0.0,4.55,0.095
1789094659,69,sana,99.975,57.831,64.879,147.525,0.0,95.556,0.0,1.0,0.0,4.749,0.0,0.0,4.486,0.097
1789094660,70,sana,100.25,57.876,64.964,148.867,0.0,95.333,0.0,0.0,0.0,4.5,0.0,0.0,4.486,0.1
1789094661,71,sana,99.75,57.877,64.966,144.467,0.0,95.111,0.0,1.0,0.0,4.75,0.0,0.0,4.55,0.098
1789094662,72,sana,100.0,57.867,64.947,144.975,0.0,95.444,0.0,0.0,0.0,4.5,0.0,0.0,4.28,0.098
1789094663,73,sana,100.275,57.849,64.913,147.5,0.0,95.556,0.0,0.0,0.0,3.751,0.0,0.0,4.1,0.093
1789094664,74,sana,100.0,57.821,64.86,143.3,0.0,96.111,0.0,0.0,0.0,3.0,0.0,0.0,4.4,0.09
1789094665,75,sana,100.25,57.785,64.792,142.829,0.0,96.333,0.0,1.0,0.0,2.5,0.0,0.0,4.486,0.09
1789094666,76,sana,100.0,57.785,64.792,147.5,0.0,96.333,0.0,0.0,0.0,2.75,0.0,0.0,4.6,0.092
1789094667,77,sana,100.0,57.822,64.861,148.889,0.0,95.889,0.0,0.0,0.0,4.0,0.0,0.0,4.7,0.095
1789094668,78,sana,100.0,57.794,64.809,139.985,0.0,96.444,0.0,0.0,0.0,4.0,0.0,0.0,4.723,0.095
1789094669,79,sana,100.275,57.767,64.758,139.982,0.0,96.559,0.0,0.0,0.0,4.251,0.0,0.0,4.743,0.095
1789094670,80,sana,99.5,57.795,64.81,145.025,0.0,96.0,0.0,1.0,0.0,5.5,0.0,0.0,4.673,0.095
1789094671,81,sana,99.75,57.813,64.844,142.525,0.0,95.667,0.0,2.0,0.0,4.5,0.0,0.0,4.7,0.095
1789094672,82,sana,100.225,57.83,64.877,139.985,0.0,95.671,0.0,1.0,0.0,4.999,0.0,0.0,4.76,0.097
1789094673,83,sana,99.75,57.849,64.913,144.0,0.0,95.444,0.0,1.0,0.0,5.25,0.0,0.0,4.76,0.098
1789094674,84,sana,100.5,57.849,64.913,142.222,0.0,95.667,0.0,0.0,0.0,3.5,0.0,0.0,4.76,0.095
1789094675,85,sana,100.0,57.849,64.914,140.022,0.0,95.444,0.0,0.0,0.0,3.75,0.0,0.0,4.723,0.095
1789094676,86,sana,99.775,57.822,64.861,136.364,0.0,95.889,0.0,0.0,0.0,3.751,0.0,0.0,4.746,0.095
1789094677,87,sana,99.975,57.84,64.895,138.333,0.0,95.667,0.0,0.0,0.0,3.749,0.0,0.0,4.763,0.097
1789094678,88,sana,100.0,57.849,64.914,138.2,0.0,95.551,0.0,0.0,0.0,4.25,0.0,0.0,4.802,0.098
1789094679,89,sana,100.0,57.803,64.826,136.345,0.0,96.333,0.0,0.0,0.0,3.75,0.0,0.0,4.822,0.095
1789094680,90,sana,99.975,57.803,64.826,138.164,0.0,96.333,0.0,1.0,0.0,3.749,0.0,0.0,4.813,0.092
1789094681,91,sana,100.025,57.795,64.81,136.938,0.0,96.329,0.0,0.0,0.0,3.751,0.0,0.0,4.791,0.093
1789094682,92,sana,100.0,57.785,64.792,135.714,0.0,96.333,0.0,1.0,0.0,3.5,0.0,0.0,4.763,0.092
1789094683,93,sana,100.25,57.822,64.861,138.571,0.0,95.889,0.0,0.0,0.0,4.25,0.0,0.0,4.746,0.095
1789094684,94,sana,100.025,57.803,64.826,137.129,0.0,96.111,0.0,1.0,0.0,3.751,0.0,0.0,4.763,0.095
1789094685,95,sana,100.025,57.776,64.775,140.0,0.0,96.444,0.0,0.0,0.0,3.251,0.0,0.0,4.743,0.095
1789094686,96,sana,100.025,57.803,64.827,138.462,0.0,96.004,0.0,0.0,0.0,4.501,0.0,0.0,4.723,0.1
1789094687,97,sana,100.025,57.794,64.809,140.0,0.0,96.222,0.0,0.0,0.0,3.501,0.0,0.0,4.673,0.1
1789094688,98,sana,100.05,57.794,64.809,138.653,0.0,96.333,0.0,0.0,0.0,3.502,0.0,0.0,4.64,0.1
1789094689,99,sana,100.0,57.794,64.809,138.571,0.0,96.333,0.0,0.0,0.0,4.25,0.0,0.0,4.673,0.098
1789094690,100,sana,100.0,57.785,64.792,138.0,0.0,96.333,0.0,0.0,0.0,3.0,0.0,0.0,4.673,0.095
1789094691,101,sana,100.025,57.794,64.809,138.182,0.0,96.333,0.0,0.0,0.0,3.501,0.0,0.0,4.673,0.095
1789094692,102,sana,99.975,57.759,64.741,134.545,0.0,96.667,0.0,0.0,0.0,3.499,0.0,0.0,4.7,0.095
1789094693,103,sana,100.0,57.803,64.827,138.462,0.0,96.222,0.0,0.0,0.0,4.0,0.0,0.0,4.673,0.098
1789094694,104,sana,100.0,57.849,64.913,140.0,0.0,95.556,0.0,0.0,0.0,5.0,0.0,0.0,4.6,0.1
1789094695,105,sana,100.225,57.812,64.843,139.985,0.0,96.111,0.0,0.0,0.0,4.749,0.0,0.0,4.723,0.097
1789094696,106,sana,100.0,57.849,64.913,140.0,0.0,95.444,0.0,1.0,0.0,6.0,0.0,0.0,4.723,0.1
1789094697,107,sana,100.25,57.876,64.964,147.96,0.0,95.228,0.0,0.0,0.0,5.5,0.0,0.0,4.723,0.1
1789094698,108,sana,99.775,57.877,64.966,145.05,0.0,95.111,0.0,0.0,0.0,5.251,0.0,0.0,4.723,0.098
1789094699,109,sana,99.75,57.895,65.0,150.0,0.0,94.889,0.0,0.0,0.0,5.75,0.0,0.0,4.76,0.098
1789094700,110,sana,100.0,57.895,65.0,145.0,0.0,94.889,0.0,1.0,0.0,4.75,0.0,0.0,4.775,0.098
1789094701,111,sana,100.0,57.904,83.8,144.95,0.0,94.784,0.0,1.0,0.0,4.25,0.0,0.0,4.76,0.095
1789094702,112,sana,100.25,57.886,64.982,144.0,0.0,95.111,0.0,0.0,0.0,4.0,0.0,0.0,4.76,0.093
