t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789100536,0,sana,100.3,57.688,64.607,128.0,0.0,97.444,0.0,1.0,0.0,3.002,0.0,0.0,4.4,0.095
1789100537,1,sana,100.05,57.714,64.657,137.143,0.0,97.222,0.0,0.0,0.0,3.502,0.0,0.0,4.486,0.098
1789100538,2,sana,100.05,57.714,64.657,137.5,0.0,97.0,0.0,2.0,0.0,2.501,0.0,0.0,4.486,0.098
1789100539,3,sana,100.05,57.705,64.64,137.778,0.0,97.333,0.0,0.0,0.0,2.751,0.0,0.0,4.486,0.093
1789100540,4,sana,100.025,57.75,64.724,148.0,0.0,96.778,0.0,0.0,0.0,3.751,0.0,0.0,4.486,0.095
1789100541,5,sana,99.5,57.768,64.759,150.033,0.0,96.333,0.0,1.0,0.0,3.75,0.0,0.0,4.486,0.098
1789100542,6,sana,100.025,57.785,64.792,148.571,0.0,96.444,0.0,0.0,0.0,4.251,0.0,0.0,4.4,0.095
1789100543,7,sana,100.0,57.75,64.724,143.333,0.0,96.778,0.0,0.0,0.0,4.25,0.0,0.0,4.1,0.097
1789100544,8,sana,99.975,57.75,64.724,142.857,0.0,96.667,0.0,0.0,0.0,3.249,0.0,0.0,3.2,0.092
1789100545,9,sana,100.525,57.75,64.724,140.0,0.0,96.778,0.0,1.0,0.0,2.251,0.0,0.0,1.4,0.093
1789100546,10,sana,100.0,57.732,64.691,137.5,0.0,97.0,0.0,0.0,0.0,2.0,0.0,0.0,0.99,0.093
1789100547,11,sana,100.025,57.723,64.674,140.0,0.0,97.333,0.0,0.0,0.0,1.75,0.0,0.0,0.99,0.093
1789100548,12,sana,100.0,57.714,64.657,140.0,0.0,97.222,0.0,0.0,0.0,1.5,0.0,0.0,0.99,0.098
1789100549,13,sana,100.0,57.67,64.574,132.0,0.0,97.778,0.0,0.0,0.0,1.5,0.0,0.0,0.99,0.093
1789100550,14,sana,99.975,57.653,64.54,127.92,0.0,98.333,0.0,0.0,0.0,1.0,0.0,0.0,3.8,0.092
1789100551,15,sana,100.0,57.61,64.459,116.0,0.0,98.556,0.0,0.0,0.0,1.0,0.0,0.0,3.8,0.095
1789100552,16,sana,100.0,57.619,64.475,123.333,0.0,98.444,0.0,0.0,0.0,1.5,0.0,0.0,4.1,0.092
1789100553,17,sana,99.975,57.61,64.459,120.0,0.0,98.556,0.0,1.0,0.0,1.25,0.0,0.0,4.1,0.092
1789100554,18,sana,100.025,57.619,64.475,130.0,0.0,98.444,0.0,1.0,0.0,1.75,0.0,0.0,4.1,0.095
1789100555,19,sana,100.0,57.61,64.459,124.0,0.0,98.556,0.0,0.0,0.0,2.0,0.0,0.0,4.1,0.093
1789100556,20,sana,100.0,57.61,64.459,123.333,0.0,98.556,0.0,0.0,0.0,1.5,0.0,0.0,4.1,0.092
1789100557,21,sana,100.025,57.619,64.475,130.0,0.0,98.333,0.0,1.0,0.0,2.001,0.0,0.0,4.28,0.095
1789100558,22,sana,99.975,57.636,64.508,130.0,0.0,98.222,0.0,0.0,0.0,2.0,0.0,0.0,4.28,0.092
1789100559,23,sana,100.0,57.653,64.541,132.5,0.0,98.0,0.0,0.0,0.0,2.25,0.0,0.0,3.8,0.095
1789100560,24,sana,99.775,57.653,64.541,131.457,0.0,97.778,0.0,1.0,0.0,2.501,0.0,0.0,4.1,0.095
1789100561,25,sana,99.975,57.653,64.541,132.0,0.0,98.0,0.0,0.0,0.0,2.499,0.0,0.0,3.8,0.092
1789100562,26,sana,100.0,57.662,64.557,132.0,0.0,98.0,0.0,0.0,0.0,2.0,0.0,0.0,3.8,0.095
1789100563,27,sana,99.975,57.653,64.541,123.333,0.0,98.111,0.0,0.0,0.0,1.75,0.0,0.0,3.8,0.09
1789100564,28,sana,100.225,57.636,64.508,120.0,0.0,98.222,0.0,0.0,0.0,1.25,0.0,0.0,4.4,0.09
