t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789170931,0,sana,199.95,57.781,64.784,132.99,0.0,96.5,0.0,0.0,0.0,4.749,0.0,0.0,4.28,0.152
1789170932,1,sana,200.05,57.799,64.818,136.0,0.0,96.167,0.0,0.0,0.0,6.502,0.0,0.0,4.28,0.153
1789170933,2,sana,199.75,57.772,64.767,132.512,0.0,96.444,0.0,0.0,0.0,7.0,0.0,0.0,4.28,0.16
1789170934,3,sana,200.05,57.785,64.792,133.75,0.0,96.278,0.0,2.0,0.0,8.002,0.0,0.0,4.28,0.163
1789170935,4,sana,200.05,57.781,64.784,132.0,0.0,96.333,0.0,1.0,0.0,8.752,0.0,0.0,4.28,0.163
1789170936,5,sana,200.0,57.79,64.801,134.167,0.0,96.167,0.0,2.0,0.0,9.0,0.0,0.0,4.28,0.165
1789170937,6,sana,200.25,57.799,64.818,134.815,0.0,96.111,0.0,1.0,0.0,9.5,0.0,0.0,4.28,0.157
1789170938,7,sana,199.5,57.826,64.87,135.876,0.0,95.722,0.0,0.0,0.0,9.75,0.0,0.0,4.4,0.155
1789170939,8,sana,199.5,57.84,64.896,136.566,0.0,95.5,0.0,1.0,0.0,10.0,0.0,0.0,4.4,0.157
1789170940,9,sana,199.95,57.867,64.948,136.667,0.0,95.278,0.0,1.0,0.0,8.998,0.0,0.0,4.28,0.155
1789170941,10,sana,199.95,57.849,64.913,135.714,0.0,95.556,0.0,0.0,0.0,9.248,0.0,0.0,4.28,0.16
1789170942,11,sana,200.5,57.858,64.93,135.993,0.0,95.5,0.0,0.0,0.0,8.0,0.0,0.0,4.1,0.157
1789170943,12,sana,200.45,57.835,64.887,133.846,0.0,95.722,0.0,2.0,0.0,7.248,0.0,0.0,4.1,0.155
1789170944,13,sana,199.8,57.849,64.913,134.175,0.0,95.556,0.0,0.0,0.0,8.002,0.0,0.0,3.8,0.158
1789170945,14,sana,200.0,57.831,64.878,132.381,0.0,95.889,0.0,0.0,0.0,8.0,0.0,0.0,3.2,0.158
1789170946,15,sana,200.0,57.84,64.895,133.0,0.0,95.722,0.0,0.0,0.0,8.75,0.0,0.0,3.2,0.153
1789170947,16,sana,200.0,57.83,64.877,132.362,0.0,95.833,0.0,1.0,0.0,9.0,0.0,0.0,3.2,0.155
1789170948,17,sana,200.3,57.812,64.843,133.663,0.0,96.056,0.0,2.0,0.0,7.252,0.0,0.0,1.4,0.153
1789170949,18,sana,200.15,57.803,64.827,134.0,0.0,96.056,0.0,2.0,0.0,7.506,0.0,0.0,1.4,0.153
1789170950,19,sana,200.05,57.808,64.835,133.636,0.0,95.944,0.0,1.0,0.0,7.752,0.0,0.0,1.4,0.16
1789170951,20,sana,200.1,57.822,64.861,134.783,0.0,95.778,0.0,2.0,0.0,8.004,0.0,0.0,1.4,0.158
1789170952,21,sana,200.0,57.844,64.904,136.552,0.0,95.722,0.0,0.0,0.0,9.5,0.0,0.0,1.4,0.158
1789170953,22,sana,199.95,57.817,64.852,136.545,0.0,95.944,0.0,1.0,0.0,8.498,0.0,0.0,3.8,0.152
1789170954,23,sana,200.0,57.799,64.818,135.556,0.0,96.056,0.0,2.0,0.0,7.25,0.0,0.0,4.28,0.15
1789170955,24,sana,199.75,57.817,64.853,136.673,0.0,95.889,0.0,0.0,0.0,8.75,0.0,0.0,4.4,0.152
1789170956,25,sana,200.0,57.826,64.87,138.621,0.0,95.833,0.0,1.0,0.0,8.0,0.0,0.0,4.4,0.153
1789170957,26,sana,200.0,57.84,64.895,137.5,0.0,95.778,0.0,0.0,0.0,8.75,0.0,0.0,4.4,0.158
1789170958,27,sana,200.05,57.831,64.878,137.931,0.0,95.889,0.0,0.0,0.0,9.252,0.0,0.0,4.407,0.158
1789170959,28,sana,200.25,57.826,64.87,138.125,0.0,95.944,0.0,0.0,0.0,7.75,0.0,0.0,4.491,0.158
1789170960,29,sana,200.0,57.831,64.878,138.75,0.0,95.833,0.0,1.0,0.0,8.25,0.0,0.0,4.555,0.157
1789170961,30,sana,199.75,57.795,64.81,138.408,0.0,96.111,0.0,1.0,0.0,7.25,0.0,0.0,4.555,0.157
1789170962,31,sana,199.7,57.799,64.818,140.017,0.0,96.167,0.0,0.0,0.0,6.998,0.0,0.0,4.407,0.157
1789170963,32,sana,200.05,57.803,64.827,142.857,0.0,96.167,0.0,1.0,0.0,6.252,0.0,0.0,4.11,0.16
1789170964,33,sana,199.5,57.808,64.836,146.68,0.0,95.944,0.0,1.0,0.0,7.75,0.0,0.0,3.813,0.16
1789170965,34,sana,200.0,57.817,64.853,146.169,0.0,95.833,0.0,2.0,0.0,9.25,0.0,0.0,4.11,0.16
1789170966,35,sana,200.0,57.835,64.887,147.157,0.0,95.667,0.0,0.0,0.0,10.75,0.0,0.0,4.288,0.16
1789170967,36,sana,199.7,57.831,64.879,146.169,0.0,95.722,0.0,0.0,0.0,10.997,0.0,0.0,4.4,0.157
1789170968,37,sana,200.25,57.835,64.887,146.68,0.0,95.667,0.0,0.0,0.0,9.25,0.0,0.0,4.486,0.157
1789170969,38,sana,200.25,57.817,64.852,146.154,0.0,95.944,0.0,1.0,0.0,8.0,0.0,0.0,4.486,0.157
1789170970,39,sana,199.8,57.831,64.879,147.708,0.0,95.722,0.0,1.0,0.0,7.002,0.0,0.0,4.486,0.16
1789170971,40,sana,200.0,57.853,64.921,149.091,0.0,95.444,0.0,1.0,0.0,8.0,0.0,0.0,4.486,0.158
1789170972,41,sana,200.25,57.899,80.0,152.727,0.0,95.0,0.0,1.0,0.0,9.25,0.0,0.0,4.55,0.16
1789170973,42,sana,200.0,57.858,64.929,148.3,0.0,95.556,0.0,1.0,0.0,9.5,0.0,0.0,4.55,0.157
1789170974,43,sana,200.2,57.835,64.887,145.0,0.0,95.889,0.0,1.0,0.0,8.748,0.0,0.0,4.4,0.155
1789170975,44,sana,199.8,57.817,64.853,143.35,0.0,95.889,0.0,0.0,0.0,9.002,0.0,0.0,4.28,0.155
1789170976,45,sana,199.5,57.849,64.913,146.683,0.0,95.5,0.0,1.0,0.0,8.5,0.0,0.0,4.1,0.15
1789170977,46,sana,200.0,57.849,64.912,143.98,0.0,95.667,0.0,0.0,0.0,8.75,0.0,0.0,3.2,0.152
1789170978,47,sana,199.85,57.854,64.922,143.673,0.0,95.5,0.0,0.0,0.0,9.755,0.0,0.0,3.2,0.153
1789170979,48,sana,200.3,57.872,64.956,139.993,0.0,95.389,0.0,1.0,0.0,9.252,0.0,0.0,3.2,0.155
1789170980,49,sana,200.6,57.858,64.93,138.058,0.0,95.611,0.0,0.0,0.0,8.004,0.0,0.0,4.1,0.155
1789170981,50,sana,199.85,57.826,64.87,136.007,0.0,95.833,0.0,1.0,0.0,8.504,0.0,0.0,3.8,0.155
1789170982,51,sana,200.25,57.858,64.931,137.065,0.0,95.444,0.0,1.0,0.0,9.5,0.0,0.0,3.8,0.16
1789170983,52,sana,200.0,57.876,64.965,137.949,0.0,95.222,0.0,0.0,0.0,9.75,0.0,0.0,4.1,0.16
1789170984,53,sana,200.0,57.885,64.982,138.846,0.0,95.278,0.0,0.0,0.0,10.25,0.0,0.0,4.28,0.163
1789170985,54,sana,200.0,57.862,64.938,137.709,0.0,95.5,0.0,0.0,0.0,10.25,0.0,0.0,4.4,0.163
1789170986,55,sana,200.25,57.858,64.93,138.125,0.0,95.389,0.0,1.0,0.0,8.75,0.0,0.0,4.4,0.16
1789170987,56,sana,199.5,57.854,64.922,137.34,0.0,95.444,0.0,2.0,0.0,8.0,0.0,0.0,4.28,0.16
1789170988,57,sana,199.95,57.853,64.921,138.564,0.0,95.5,0.0,2.0,0.0,7.998,0.0,0.0,4.4,0.165
1789170989,58,sana,200.25,57.876,64.965,143.75,0.0,95.167,0.0,1.0,0.0,9.0,0.0,0.0,4.1,0.17
1789170990,59,sana,200.0,57.862,64.938,141.414,0.0,95.444,0.0,0.0,0.0,8.75,0.0,0.0,4.1,0.17
1789170991,60,sana,200.7,57.844,64.904,139.993,0.0,95.611,0.0,2.0,0.0,8.998,0.0,0.0,4.1,0.167
1789170992,61,sana,199.75,57.826,64.87,139.091,0.0,95.833,0.0,0.0,0.0,8.5,0.0,0.0,3.8,0.157
1789170993,62,sana,200.0,57.822,64.861,136.296,0.0,95.889,0.0,0.0,0.0,7.25,0.0,0.0,3.2,0.152
1789170994,63,sana,200.0,57.849,64.912,139.993,0.0,95.444,0.0,2.0,0.0,9.5,0.0,0.0,1.4,0.155
1789170995,64,sana,200.05,57.858,64.93,140.0,0.0,95.389,0.0,2.0,0.0,9.752,0.0,0.0,3.2,0.155
