t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789171358,0,sana,10.0,57.759,64.741,151.0,0.0,96.667,0.0,0.0,0.0,0.25,0.0,0.0,4.486,0.018
1789171359,1,sana,10.0,57.67,64.574,142.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,4.55,0.02
1789171360,2,sana,10.0,57.67,64.574,142.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,4.555,0.017
1789171361,3,sana,9.998,57.584,64.41,142.0,0.0,98.889,0.0,0.0,0.0,0.0,0.0,0.0,4.491,0.015
1789171362,4,sana,10.0,57.584,64.41,142.0,0.0,98.889,0.0,0.0,0.0,0.0,0.0,0.0,4.491,0.015
1789171363,5,sana,10.003,57.67,64.574,142.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,4.407,0.015
1789171364,6,sana,10.0,57.759,64.741,151.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.288,0.015
1789171365,7,sana,10.003,57.67,64.574,142.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,4.288,0.018
1789171366,8,sana,9.998,57.759,64.741,142.0,0.0,96.667,0.0,0.0,0.0,0.75,0.0,0.0,3.813,0.017
1789171367,9,sana,9.748,57.762,64.747,142.2,0.0,95.556,0.0,1.0,0.0,0.5,0.0,0.0,3.813,0.017
1789171368,10,sana,10.005,57.941,90.0,176.5,0.0,94.444,0.0,0.0,0.0,0.75,0.0,0.0,4.11,0.018
1789171369,11,sana,10.005,57.941,90.0,176.5,0.0,94.444,0.0,0.0,0.0,0.75,0.0,0.0,4.4,0.018
1789171370,12,sana,10.005,58.036,103.333,176.5,0.0,93.333,0.0,0.0,0.0,0.75,0.0,0.0,4.486,0.018
1789171371,13,sana,10.255,58.036,103.333,176.5,0.0,93.333,0.0,0.0,0.0,0.75,0.0,0.0,4.6,0.018
