t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789170080,0,sana,200.1,57.799,64.818,141.414,0.0,96.167,0.0,1.0,0.0,6.753,0.0,0.0,1.4,0.168
1789170081,1,sana,199.85,57.763,64.75,138.835,0.0,96.556,0.0,0.0,0.0,6.253,0.0,0.0,0.99,0.165
1789170082,2,sana,199.95,57.781,64.784,138.0,0.0,96.444,0.0,0.0,0.0,6.248,0.0,0.0,0.99,0.172
1789170083,3,sana,200.3,57.781,64.784,135.99,0.0,96.444,0.0,0.0,0.0,6.502,0.0,0.0,0.99,0.173
1789170084,4,sana,200.0,57.785,64.792,135.779,0.0,96.389,0.0,0.0,0.0,6.5,0.0,0.0,0.99,0.172
1789170085,5,sana,200.2,57.768,64.758,138.182,0.0,96.611,0.0,0.0,0.0,7.498,0.0,0.0,0.99,0.172
1789170086,6,sana,199.75,57.763,64.75,136.683,0.0,96.611,0.0,0.0,0.0,7.5,0.0,0.0,0.99,0.17
1789170087,7,sana,200.0,57.745,64.716,131.667,0.0,96.833,0.0,0.0,0.0,6.25,0.0,0.0,1.4,0.163
1789170088,8,sana,200.0,57.758,64.741,134.527,0.0,96.722,0.0,1.0,0.0,6.25,0.0,0.0,1.4,0.165
1789170089,9,sana,200.05,57.759,64.741,136.667,0.0,96.722,0.0,0.0,0.0,6.502,0.0,0.0,1.4,0.165
1789170090,10,sana,200.25,57.781,64.784,137.487,0.0,96.444,0.0,0.0,0.0,6.75,0.0,0.0,1.4,0.163
1789170091,11,sana,200.0,57.776,64.775,137.5,0.0,96.333,0.0,2.0,0.0,8.0,0.0,0.0,1.4,0.167
1789170092,12,sana,199.45,57.79,64.802,137.525,0.0,96.167,0.0,1.0,0.0,8.748,0.0,0.0,1.4,0.167
1789170093,13,sana,200.0,57.803,64.827,138.947,0.0,96.111,0.0,0.0,0.0,9.0,0.0,0.0,1.4,0.17
1789170094,14,sana,199.55,57.79,64.802,138.02,0.0,96.167,0.0,0.0,0.0,8.752,0.0,0.0,3.8,0.17
1789170095,15,sana,199.75,57.817,64.852,139.13,0.0,95.889,0.0,1.0,0.0,9.75,0.0,0.0,3.8,0.172
1789170096,16,sana,200.3,57.831,64.879,140.02,0.0,95.722,0.0,1.0,0.0,8.252,0.0,0.0,3.2,0.17
1789170097,17,sana,199.95,57.84,64.895,139.231,0.0,95.722,0.0,0.0,0.0,8.248,0.0,0.0,3.2,0.167
1789170098,18,sana,199.75,57.822,64.862,136.946,0.0,95.722,0.0,0.0,0.0,8.5,0.0,0.0,3.8,0.167
1789170099,19,sana,200.0,57.835,64.887,137.785,0.0,95.5,0.0,3.0,0.0,8.0,0.0,0.0,4.28,0.167
1789170100,20,sana,200.25,57.876,64.965,139.355,0.0,95.278,0.0,1.0,0.0,10.5,0.0,0.0,4.28,0.17
1789170101,21,sana,199.75,57.867,64.947,143.317,0.0,95.333,0.0,1.0,0.0,10.25,0.0,0.0,4.4,0.175
1789170102,22,sana,200.75,57.844,64.904,142.0,0.0,95.611,0.0,0.0,0.0,9.5,0.0,0.0,4.4,0.175
1789170103,23,sana,199.5,57.854,64.922,140.018,0.0,95.389,0.0,1.0,0.0,9.75,0.0,0.0,4.1,0.175
1789170104,24,sana,200.0,57.844,64.904,139.993,0.0,95.667,0.0,1.0,0.0,7.75,0.0,0.0,4.11,0.172
1789170105,25,sana,200.05,57.831,64.878,139.231,0.0,95.778,0.0,0.0,0.0,6.502,0.0,0.0,4.288,0.173
1789170106,26,sana,199.7,57.826,64.87,137.426,0.0,95.778,0.0,1.0,0.0,7.248,0.0,0.0,4.407,0.17
1789170107,27,sana,200.5,57.835,64.886,138.697,0.0,95.889,0.0,0.0,0.0,6.5,0.0,0.0,5.55,0.172
1789170108,28,sana,200.05,57.83,64.878,139.303,0.0,96.056,0.0,0.0,0.0,7.002,0.0,0.0,5.55,0.173
1789170109,29,sana,200.05,57.799,64.818,138.342,0.0,96.222,0.0,0.0,0.0,8.502,0.0,0.0,5.55,0.17
1789170110,30,sana,200.35,57.812,64.843,138.325,0.0,96.167,0.0,0.0,0.0,9.005,0.0,0.0,5.55,0.173
1789170111,31,sana,200.3,57.835,64.887,140.0,0.0,95.778,0.0,0.0,0.0,10.003,0.0,0.0,5.55,0.17
1789170112,32,sana,200.05,57.848,64.912,143.712,0.0,95.778,0.0,1.0,0.0,10.253,0.0,0.0,5.55,0.168
