t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789170505,0,sana,10.003,57.759,64.741,131.0,0.0,96.667,0.0,0.0,0.0,0.25,0.0,0.0,4.64,0.018
1789170506,1,sana,10.0,57.759,64.741,122.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.6,0.015
1789170507,2,sana,10.0,57.759,64.741,122.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.486,0.017
1789170508,3,sana,9.75,57.762,64.747,122.2,0.0,95.556,0.0,0.0,0.0,0.75,0.0,0.0,4.4,0.015
1789170509,4,sana,9.998,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,4.28,0.02
1789170510,5,sana,10.003,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,4.1,0.018
1789170511,6,sana,9.998,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,3.8,0.017
1789170512,7,sana,10.25,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.25,0.0,0.0,3.8,0.018
1789170513,8,sana,10.003,57.941,90.0,191.5,0.0,94.444,0.0,0.0,0.0,0.5,0.0,0.0,3.2,0.015
1789170514,9,sana,9.998,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.25,0.0,0.0,1.4,0.015
1789170515,10,sana,10.0,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,0.99,0.015
1789170516,11,sana,10.0,57.849,64.913,191.5,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,0.99,0.015
1789170517,12,sana,10.0,57.936,89.0,191.35,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,0.99,0.015
