t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789104683,0,r20,19.995,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.5,0.0,0.0,4.64,0.03
1789104684,1,r20,19.995,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,0.25,0.0,0.0,4.6,0.03
1789104685,2,r20,20.0,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.25,0.0,0.0,4.64,0.027
1789104686,3,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,0.5,0.0,0.0,4.7,0.027
1789104687,4,r20,20.0,57.542,64.329,64.933,3.867,96.667,2.0,0.0,0.0,0.75,0.0,0.0,4.7,0.028
1789104688,5,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.5,0.0,0.0,4.723,0.025
1789104689,6,r20,20.005,57.5,64.25,64.85,1.667,97.778,2.0,0.0,0.0,0.75,0.0,0.0,4.7,0.028
1789104690,7,r20,20.005,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.75,0.0,0.0,4.673,0.028
1789104691,8,r20,20.005,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.5,0.0,0.0,4.64,0.03
1789104692,9,r20,20.0,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.75,0.0,0.0,4.604,0.028
1789104693,10,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.5,0.0,0.0,4.676,0.027
1789104694,11,r20,19.745,57.5,64.25,64.85,3.352,96.111,1.0,1.0,0.0,0.5,0.0,0.0,4.604,0.027
1789104695,12,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,0.75,0.25,0.0,4.491,0.027
1789104696,13,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,0.75,0.25,0.0,4.604,0.03
1789104697,14,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.25,0.25,0.0,4.555,0.03
1789104698,15,r20,20.255,57.542,64.33,64.933,4.444,96.111,2.0,0.0,0.0,1.0,0.25,0.0,4.604,0.03
1789104699,16,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.25,0.0,0.0,4.555,0.03
1789104700,17,r20,20.0,57.542,64.33,64.933,5.556,94.444,2.0,0.0,0.0,1.5,0.0,0.0,4.491,0.03
1789104701,18,r20,19.995,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0,4.6,0.03
1789104702,19,r20,20.0,57.542,64.33,64.933,5.556,94.444,2.0,0.0,0.0,1.25,0.0,0.0,4.55,0.03
1789104703,20,r20,20.0,57.542,64.329,64.933,4.972,95.556,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.028
1789104704,21,r20,20.005,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,0.75,0.0,0.0,4.64,0.03
1789104705,22,r20,20.01,57.5,64.25,64.85,6.111,93.333,2.0,0.0,0.0,1.501,0.0,0.0,4.6,0.03
1789104706,23,r20,20.005,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.25,0.0,0.0,4.55,0.028
1789104707,24,r20,20.005,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.25,0.0,0.0,4.486,0.03
1789104708,25,r20,20.005,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,0.75,0.0,0.0,4.486,0.028
1789104709,26,r20,20.0,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,0.5,0.0,0.0,4.4,0.025
1789104710,27,r20,20.0,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,0.5,0.0,0.0,4.1,0.027
1789104711,28,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.25,0.0,3.8,0.03
1789104712,29,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.25,0.0,3.2,0.03
1789104713,30,r20,20.0,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.5,0.25,0.0,1.4,0.03
1789104714,31,r20,20.0,57.542,64.33,64.933,2.778,97.778,2.0,0.0,0.0,0.5,0.25,0.0,0.99,0.03
1789104715,32,r20,20.0,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.0,0.0,0.0,0.99,0.028
1789104716,33,r20,20.0,57.542,64.33,64.933,2.222,97.222,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.028
1789104717,34,r20,20.0,57.542,64.33,64.933,2.778,97.222,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.028
1789104718,35,r20,20.0,57.542,64.33,64.933,2.778,97.222,2.0,0.0,0.0,0.75,0.0,0.0,0.99,0.027
1789104719,36,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.027
1789104720,37,r20,20.0,57.5,64.25,64.85,2.222,97.778,2.0,0.0,0.0,0.75,0.0,0.0,0.99,0.027
1789104721,38,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.03
1789104722,39,r20,20.0,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.75,0.0,0.0,0.99,0.03
1789104723,40,r20,20.0,57.5,64.25,64.85,3.889,95.556,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.027
1789104724,41,r20,20.0,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.5,0.0,0.0,0.99,0.028
