t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789103515,0,r20,20.245,58.033,119.0,162.85,0.0,93.37,0.0,0.0,0.0,1.5,0.0,0.0,4.486,0.03
1789103516,1,r20,20.25,57.985,99.5,151.9,0.0,94.475,0.0,0.0,0.0,0.5,0.0,0.0,4.4,0.03
1789103517,2,r20,20.0,57.985,99.5,151.9,0.0,93.923,0.0,0.0,0.0,0.75,0.0,0.0,4.28,0.027
1789103518,3,r20,20.0,57.939,89.5,141.9,0.0,94.475,0.0,0.0,0.0,1.0,0.0,0.0,4.1,0.033
1789103519,4,r20,20.0,58.08,113.0,141.9,0.0,92.818,0.0,0.0,0.0,1.75,0.0,0.0,3.8,0.035
1789103520,5,r20,20.005,58.08,113.0,141.9,0.0,93.37,0.0,0.0,0.0,1.75,0.0,0.0,3.8,0.033
1789103521,6,r20,20.005,57.939,106.333,141.9,0.0,95.0,0.0,0.0,0.0,1.25,0.0,0.0,3.8,0.035
1789103522,7,r20,20.0,57.895,65.0,142.0,0.0,95.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8,0.03
1789103523,8,r20,20.005,57.941,100.0,134.667,0.0,93.889,0.0,1.0,0.0,0.75,0.0,0.0,4.1,0.03
1789103524,9,r20,20.0,57.988,100.0,134.667,0.0,93.889,0.0,0.0,0.0,1.0,0.0,0.0,4.1,0.027
1789103525,10,r20,19.995,57.988,100.0,134.667,0.0,93.333,0.0,1.0,0.0,1.0,0.0,0.0,4.28,0.03
1789103526,11,r20,20.0,58.084,106.667,136.0,0.0,92.778,0.0,0.0,0.0,1.75,0.0,0.0,4.4,0.03
1789103527,12,r20,19.995,57.988,100.0,128.0,0.0,93.889,0.0,0.0,0.0,1.25,0.0,0.0,4.486,0.03
1789103528,13,r20,20.0,57.895,65.0,122.0,0.0,95.0,0.0,0.0,0.0,1.25,0.0,0.0,4.486,0.033
1789103529,14,r20,20.005,57.988,100.0,128.0,0.0,93.889,0.0,0.0,0.0,1.75,0.0,0.0,4.64,0.03
1789103530,15,r20,20.0,57.988,100.0,128.0,0.0,93.889,0.0,0.0,0.0,0.75,0.0,0.0,4.64,0.03
1789103531,16,r20,20.005,57.988,100.0,128.0,0.0,93.889,0.0,0.0,0.0,1.0,0.0,0.0,4.64,0.028
1789103532,17,r20,19.995,57.895,65.0,128.0,0.0,95.556,0.0,0.0,0.0,0.75,0.0,0.0,4.64,0.03
1789103533,18,r20,19.995,57.849,64.913,128.0,0.0,95.556,0.0,0.0,0.0,0.25,0.0,0.0,4.673,0.03
1789103534,19,r20,20.0,57.849,64.913,128.0,0.0,96.111,0.0,0.0,0.0,0.25,0.0,0.0,4.64,0.027
1789103535,20,r20,20.005,57.714,64.657,122.0,0.0,97.222,0.0,0.0,0.0,0.25,0.0,0.0,4.6,0.03
1789103536,21,r20,20.01,57.759,64.741,122.0,0.0,97.222,0.0,0.0,0.0,0.25,0.0,0.0,4.6,0.028
1789103537,22,r20,20.01,57.759,64.741,114.667,0.0,97.222,0.0,0.0,0.0,0.5,0.0,0.0,4.6,0.028
1789103538,23,r20,20.01,57.714,64.657,112.0,0.0,97.778,0.0,0.0,0.0,0.75,0.0,0.0,4.486,0.03
1789103539,24,r20,19.995,57.759,64.741,112.0,0.0,96.667,0.0,1.0,0.0,0.75,0.0,0.0,4.4,0.032
1789103540,25,r20,20.0,57.803,64.827,114.667,0.0,96.667,0.0,0.0,0.0,1.25,0.0,0.0,4.28,0.033
1789103541,26,r20,20.0,57.849,64.913,116.0,0.0,96.111,0.0,0.0,0.0,1.25,0.0,0.0,4.1,0.03
1789103542,27,r20,20.0,57.895,65.0,124.0,0.0,95.556,0.0,0.0,0.0,1.25,0.0,0.0,3.2,0.03
1789103543,28,r20,20.005,58.036,93.333,124.0,0.0,93.889,0.0,0.0,0.0,1.75,0.0,0.0,3.2,0.03
1789103544,29,r20,20.0,58.036,100.0,132.0,0.0,93.889,0.0,0.0,0.0,1.5,0.0,0.0,3.2,0.027
1789103545,30,r20,20.0,57.988,100.0,132.0,0.0,93.889,0.0,0.0,0.0,1.25,0.0,0.0,1.4,0.03
1789103546,31,r20,19.995,57.941,90.0,132.0,0.0,94.444,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.03
1789103547,32,r20,20.0,57.895,65.0,122.0,0.0,95.0,0.0,0.0,0.0,0.25,0.0,0.0,0.99,0.028
1789103548,33,r20,20.0,57.895,65.0,128.0,0.0,95.556,0.0,0.0,0.0,0.25,0.0,0.0,0.99,0.032
1789103549,34,r20,20.0,57.803,64.827,128.0,0.0,96.111,0.0,0.0,0.0,0.25,0.0,0.0,0.99,0.03
1789103550,35,r20,20.005,57.803,64.827,131.0,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789103551,36,r20,20.0,57.803,64.827,128.0,0.0,96.111,0.0,0.0,0.0,0.75,0.0,0.0,0.99,0.03
1789103552,37,r20,20.0,57.759,64.741,136.0,0.0,96.667,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.027
1789103553,38,r20,19.745,57.76,64.744,134.733,0.0,96.111,0.0,0.0,0.0,1.5,0.0,0.0,3.2,0.03
1789103554,39,r20,19.995,57.941,106.667,144.0,0.0,94.444,0.0,0.0,0.0,2.0,0.0,0.0,4.1,0.03
1789103555,40,r20,20.0,57.988,113.333,152.0,0.0,93.889,0.0,0.0,0.0,2.0,0.0,0.0,4.288,0.03
1789103556,41,r20,20.0,57.988,113.333,152.0,0.0,93.889,0.0,0.0,0.0,1.5,0.0,0.0,4.407,0.028
1789103557,42,r20,20.25,58.036,120.0,154.667,0.0,93.333,0.0,0.0,0.0,1.5,0.0,0.0,4.491,0.03
