t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789174674,0,r20,20.25,57.542,64.329,64.933,2.21,97.778,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789174675,1,r20,20.005,57.541,64.329,64.932,2.198,98.343,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.03
1789174676,2,r20,19.995,57.5,64.25,64.85,2.21,97.79,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789174677,3,r20,20.005,57.5,64.25,64.85,1.657,98.333,2.0,0.0,0.0,0.5,0.0,0.0,3.2,0.03
1789174678,4,r20,20.0,57.5,64.25,64.85,2.21,97.778,2.0,0.0,0.0,0.5,0.0,0.0,3.8,0.027
1789174679,5,r20,19.995,57.5,64.25,64.85,2.762,97.222,2.0,0.0,0.0,0.75,0.0,0.0,3.8,0.027
1789174680,6,r20,20.0,57.5,64.25,64.85,3.889,96.111,2.0,0.0,0.0,1.25,0.0,0.0,3.8,0.03
1789174681,7,r20,20.0,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,1.5,0.0,0.0,4.486,0.025
1789174682,8,r20,19.755,57.5,64.25,64.85,4.469,94.444,1.0,1.0,0.0,1.5,0.0,0.0,4.486,0.028
1789174683,9,r20,20.0,57.542,64.33,64.933,5.556,94.444,2.0,0.0,0.0,1.75,0.25,0.0,4.486,0.027
1789174684,10,r20,20.0,57.542,64.33,64.933,6.111,93.889,2.0,0.0,0.0,1.25,0.25,0.0,4.486,0.027
1789174685,11,r20,19.995,57.542,64.33,64.933,6.111,93.889,2.0,0.0,0.0,1.25,0.25,0.0,4.55,0.03
1789174686,12,r20,20.245,57.542,64.33,64.933,6.667,93.333,2.0,0.0,0.0,1.25,0.25,0.0,4.486,0.03
1789174687,13,r20,20.0,57.542,64.33,64.933,6.667,93.333,2.0,0.0,0.0,1.0,0.0,0.0,4.55,0.03
1789174688,14,r20,20.0,57.542,64.33,64.933,6.111,93.889,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.028
1789174689,15,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,4.64,0.028
1789174690,16,r20,20.0,57.542,64.33,64.933,5.556,94.444,2.0,0.0,0.0,1.0,0.0,0.0,4.55,0.027
1789174691,17,r20,20.005,57.542,64.329,64.933,6.63,94.444,2.0,0.0,0.0,1.25,0.0,0.0,4.55,0.025
1789174692,18,r20,20.005,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.5,0.0,0.0,4.555,0.03
1789174693,19,r20,20.005,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,1.25,0.0,0.0,4.555,0.028
1789174694,20,r20,20.0,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,0.75,0.0,0.0,4.555,0.027
1789174695,21,r20,19.995,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,4.491,0.03
1789174696,22,r20,20.0,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,4.407,0.027
1789174697,23,r20,19.995,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.0,0.0,0.0,4.288,0.03
1789174698,24,r20,20.005,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0,4.288,0.028
1789174699,25,r20,19.76,57.5,64.25,64.85,3.911,95.556,1.0,1.0,0.0,0.5,0.0,0.0,4.11,0.03
1789174700,26,r20,20.005,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.0,0.25,0.0,4.288,0.028
1789174701,27,r20,20.01,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.001,0.25,0.0,4.4,0.028
1789174702,28,r20,20.005,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.25,0.25,0.0,4.486,0.03
1789174703,29,r20,20.25,57.542,64.33,64.933,5.0,94.444,2.0,0.0,0.0,1.5,0.25,0.0,4.486,0.027
1789174704,30,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,0.75,0.0,0.0,4.486,0.03
1789174705,31,r20,20.0,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.5,0.0,0.0,4.4,0.03
1789174706,32,r20,20.0,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.5,0.0,0.0,4.55,0.03
1789174707,33,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,4.486,0.028
1789174708,34,r20,19.995,57.542,64.329,64.933,4.972,95.556,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.027
1789174709,35,r20,19.995,57.5,64.25,64.85,3.333,96.111,2.0,0.0,0.0,1.0,0.0,0.0,4.55,0.025
1789174710,36,r20,20.0,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.75,0.0,0.0,4.55,0.028
1789174711,37,r20,20.0,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.5,0.0,0.0,4.6,0.027
1789174712,38,r20,20.005,57.5,64.25,64.85,3.333,97.222,2.0,0.0,0.0,0.5,0.0,0.0,4.6,0.028
1789174713,39,r20,20.005,57.5,64.25,64.85,3.333,96.111,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.028
1789174714,40,r20,20.0,57.5,64.25,64.85,3.889,96.111,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.028
