t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789173498,0,r20,20.005,57.627,64.492,122.0,0.0,98.343,0.0,0.0,0.0,0.5,0.0,0.0,1.4,0.03
1789173499,1,r20,20.0,57.669,64.572,127.933,0.0,97.79,0.0,0.0,0.0,0.25,0.0,0.0,1.4,0.032
1789173500,2,r20,19.76,57.67,64.574,128.0,0.0,97.79,0.0,0.0,0.0,0.25,0.0,0.0,3.8,0.03
1789173501,3,r20,20.25,57.713,64.655,134.6,0.0,97.238,0.0,0.0,0.0,0.5,0.0,0.0,4.28,0.033
1789173502,4,r20,20.25,57.757,64.739,134.6,0.0,96.685,0.0,0.0,0.0,1.0,0.0,0.0,4.486,0.03
1789173503,5,r20,20.005,57.757,64.739,134.6,0.0,96.685,0.0,0.0,0.0,0.75,0.0,0.0,4.55,0.03
1789173504,6,r20,20.25,57.67,64.574,124.0,0.0,97.778,0.0,0.0,0.0,0.75,0.0,0.0,4.486,0.03
1789173505,7,r20,20.0,57.714,64.657,144.0,0.0,97.222,0.0,0.0,0.0,0.75,0.0,0.0,4.55,0.03
1789173506,8,r20,20.0,57.757,64.739,151.9,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.6,0.03
1789173507,9,r20,20.0,57.757,64.739,151.9,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.673,0.03
1789173508,10,r20,19.995,57.759,64.741,152.0,0.0,96.667,0.0,0.0,0.0,0.75,0.0,0.0,4.743,0.03
1789173509,11,r20,19.75,57.803,64.827,152.0,0.0,96.111,0.0,0.0,0.0,0.75,0.0,0.0,4.7,0.028
1789173510,12,r20,19.75,57.851,64.917,144.2,0.0,95.0,0.0,1.0,0.0,1.0,0.0,0.0,4.7,0.03
1789173511,13,r20,20.0,57.849,64.913,144.0,0.0,95.0,0.0,1.0,0.0,1.5,0.0,0.0,4.673,0.03
1789173512,14,r20,20.005,57.895,65.0,144.0,0.0,95.0,0.0,0.0,0.0,1.5,0.0,0.0,4.64,0.033
1789173513,15,r20,20.0,57.944,90.5,144.2,0.0,93.889,0.0,1.0,0.0,1.5,0.0,0.0,4.64,0.035
1789173514,16,r20,20.25,57.941,90.0,144.0,0.0,94.444,0.0,0.0,0.0,1.25,0.0,0.0,4.6,0.032
1789173515,17,r20,19.75,57.897,80.5,136.05,0.0,95.0,0.0,0.0,0.0,0.75,0.0,0.0,4.55,0.032
1789173516,18,r20,19.995,57.941,90.0,193.0,0.0,94.444,0.0,0.0,0.0,0.75,0.0,0.0,4.4,0.027
1789173517,19,r20,20.245,57.895,65.0,193.0,0.0,95.0,0.0,0.0,0.0,0.5,0.0,0.0,3.8,0.03
1789173518,20,r20,19.995,57.847,64.909,192.85,0.0,95.556,0.0,0.0,0.0,0.25,0.0,0.0,3.8,0.027
1789173519,21,r20,20.0,57.759,64.741,193.0,0.0,96.667,0.0,1.0,0.0,0.25,0.0,0.0,1.4,0.028
1789173520,22,r20,19.755,57.851,64.917,193.15,0.0,96.111,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.033
