t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789172641,0,sana,199.7,57.799,64.818,147.512,0.0,96.111,0.0,0.0,0.0,6.998,0.0,0.0,3.2,0.157
1789172642,1,sana,200.2,57.803,64.826,147.767,0.0,96.222,0.0,0.0,0.0,6.248,0.0,0.0,3.2,0.16
1789172643,2,sana,199.7,57.826,64.87,149.0,0.0,95.889,0.0,0.0,0.0,7.748,0.0,0.0,4.1,0.165
1789172644,3,sana,200.25,57.799,64.818,146.678,0.0,96.167,0.0,2.0,0.0,7.0,0.0,0.0,4.28,0.16
1789172645,4,sana,200.0,57.799,64.818,146.262,0.0,96.167,0.0,0.0,0.0,7.75,0.0,0.0,4.28,0.163
1789172646,5,sana,200.0,57.803,64.827,142.667,0.0,96.111,0.0,2.0,0.0,8.5,0.0,0.0,4.1,0.16
1789172647,6,sana,200.3,57.821,64.861,142.488,0.0,96.0,0.0,0.0,0.0,9.002,0.0,0.0,4.28,0.158
1789172648,7,sana,199.8,57.826,64.87,140.027,0.0,95.778,0.0,0.0,0.0,10.503,0.0,0.0,4.4,0.16
1789172649,8,sana,200.05,57.858,64.93,141.32,0.0,95.5,0.0,1.0,0.0,10.253,0.0,0.0,4.4,0.16
1789172650,9,sana,199.75,57.858,64.93,140.0,0.0,95.444,0.0,1.0,0.0,10.25,0.0,0.0,4.4,0.158
1789172651,10,sana,199.95,57.863,64.939,138.788,0.0,95.389,0.0,1.0,0.0,8.748,0.0,0.0,4.486,0.16
1789172652,11,sana,199.95,57.863,64.939,137.303,0.0,95.278,0.0,1.0,0.0,9.748,0.0,0.0,4.28,0.16
1789172653,12,sana,200.2,57.872,64.956,137.495,0.0,95.389,0.0,0.0,0.0,8.248,0.0,0.0,4.1,0.157
1789172654,13,sana,200.0,57.867,64.948,136.757,0.0,95.333,0.0,0.0,0.0,8.5,0.0,0.0,3.8,0.162
1789172655,14,sana,199.75,57.872,64.957,136.672,0.0,95.278,0.0,1.0,0.0,9.5,0.0,0.0,4.1,0.165
1789172656,15,sana,200.25,57.844,64.905,135.888,0.0,95.556,0.0,0.0,0.0,8.0,0.0,0.0,3.8,0.163
1789172657,16,sana,200.05,57.848,64.912,136.653,0.0,95.611,0.0,1.0,0.0,8.752,0.0,0.0,3.2,0.163
1789172658,17,sana,200.35,57.812,64.843,135.377,0.0,96.111,0.0,0.0,0.0,7.004,0.0,0.0,3.2,0.155
1789172659,18,sana,200.05,57.781,64.784,134.286,0.0,96.389,0.0,2.0,0.0,4.751,0.0,0.0,3.2,0.15
1789172660,19,sana,199.85,57.772,64.767,134.416,0.0,96.444,0.0,0.0,0.0,5.003,0.0,0.0,1.4,0.15
1789172661,20,sana,199.75,57.785,64.792,135.192,0.0,96.444,0.0,0.0,0.0,6.5,0.0,0.0,1.4,0.15
