t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789171784,0,sana,199.75,57.927,88.643,158.2,0.0,94.611,0.0,0.0,0.0,11.0,0.0,0.0,4.28,0.163
1789171785,1,sana,200.0,57.941,90.0,156.667,0.0,94.556,0.0,1.0,0.0,10.25,0.0,0.0,4.4,0.17
1789171786,2,sana,200.05,57.927,88.0,154.545,0.0,94.722,0.0,0.0,0.0,10.003,0.0,0.0,4.55,0.168
1789171787,3,sana,200.35,57.886,64.983,158.02,0.0,95.111,0.0,0.0,0.0,7.754,0.0,0.0,4.486,0.16
1789171788,4,sana,200.3,57.867,64.948,156.938,0.0,95.222,0.0,1.0,0.0,7.502,0.0,0.0,4.55,0.16
1789171789,5,sana,200.35,57.862,64.938,154.271,0.0,95.5,0.0,0.0,0.0,7.504,0.0,0.0,4.486,0.168
1789171790,6,sana,199.8,57.844,64.904,147.692,0.0,95.664,0.0,2.0,0.0,6.752,0.0,0.0,4.486,0.165
1789171791,7,sana,199.75,57.831,64.879,145.033,0.0,95.775,0.0,1.0,0.0,7.75,0.0,0.0,4.55,0.173
1789171792,8,sana,200.0,57.79,64.801,141.8,0.0,96.331,0.0,1.0,0.0,7.0,0.0,0.0,4.55,0.17
1789171793,9,sana,199.5,57.799,64.818,138.824,0.0,96.113,0.0,1.0,0.0,7.75,0.0,0.0,4.55,0.162
1789171794,10,sana,200.0,57.799,64.818,138.889,0.0,96.167,0.0,1.0,0.0,8.25,0.0,0.0,4.486,0.16
1789171795,11,sana,200.5,57.794,64.809,139.0,0.0,96.222,0.0,0.0,0.0,8.0,0.0,0.0,4.486,0.155
1789171796,12,sana,199.95,57.785,64.792,138.0,0.0,96.333,0.0,0.0,0.0,7.498,0.0,0.0,4.4,0.152
1789171797,13,sana,199.5,57.79,64.802,138.124,0.0,96.167,0.0,2.0,0.0,7.25,0.0,0.0,4.28,0.148
1789171798,14,sana,200.25,57.785,64.792,138.182,0.0,96.333,0.0,0.0,0.0,6.75,0.0,0.0,4.4,0.15
1789171799,15,sana,199.7,57.785,64.792,139.048,0.0,96.335,0.0,1.0,0.0,6.498,0.0,0.0,4.486,0.15
1789171800,16,sana,200.05,57.785,64.792,138.99,0.0,96.389,0.0,0.0,0.0,7.752,0.0,0.0,4.486,0.155
1789171801,17,sana,200.75,57.79,64.801,140.0,0.0,96.333,0.0,0.0,0.0,6.75,0.0,0.0,4.486,0.155
1789171802,18,sana,199.75,57.781,64.784,142.653,0.0,96.389,0.0,2.0,0.0,7.25,0.0,0.0,4.486,0.155
1789171803,19,sana,200.3,57.772,64.767,141.32,0.0,96.498,0.0,2.0,0.0,7.002,0.0,0.0,4.6,0.158
1789171804,20,sana,200.25,57.776,64.775,142.667,0.0,96.333,0.0,1.0,0.0,7.75,0.0,0.0,4.6,0.158
1789171805,21,sana,199.75,57.84,64.896,143.762,0.0,95.611,0.0,0.0,0.0,10.5,0.0,0.0,4.6,0.163
1789171806,22,sana,200.25,57.834,64.885,144.659,0.0,95.944,0.0,1.0,0.0,9.75,0.0,0.0,4.6,0.16
1789171807,23,sana,199.25,57.809,64.836,142.9,0.0,95.942,0.0,1.0,0.0,9.25,0.0,0.0,4.55,0.155
1789171808,24,sana,199.95,57.84,64.895,147.129,0.0,95.722,0.0,1.0,0.0,9.498,0.0,0.0,4.486,0.155
1789171809,25,sana,200.2,57.844,64.904,150.0,0.0,95.558,0.0,0.0,0.0,7.998,0.0,0.0,4.28,0.15
1789171810,26,sana,199.75,57.84,64.895,148.571,0.0,95.614,0.0,0.0,0.0,8.0,0.0,0.0,4.4,0.155
1789171811,27,sana,200.25,57.84,64.896,146.683,0.0,95.609,0.0,2.0,0.0,9.0,0.0,0.0,4.28,0.155
1789171812,28,sana,199.8,57.867,64.948,148.586,0.0,95.333,0.0,2.0,0.0,8.752,0.0,0.0,3.813,0.158
1789171813,29,sana,200.3,57.867,64.948,149.412,0.0,95.444,0.0,0.0,0.0,8.502,0.0,0.0,1.44,0.155
1789171814,30,sana,200.0,57.835,64.886,149.987,0.0,95.775,0.0,1.0,0.0,9.5,0.0,0.0,1.44,0.155
1789171815,31,sana,200.5,57.853,64.921,148.571,0.0,95.556,0.0,0.0,0.0,10.25,0.0,0.0,3.22,0.16
1789171816,32,sana,200.25,57.866,64.946,148.713,0.0,95.391,0.0,1.0,0.0,9.0,0.0,0.0,3.813,0.155
1789171817,33,sana,199.8,57.849,64.913,148.9,0.0,95.553,0.0,1.0,0.0,8.752,0.0,0.0,3.813,0.16
1789171818,34,sana,200.3,57.826,64.869,147.99,0.0,95.889,0.0,0.0,0.0,7.752,0.0,0.0,3.813,0.155
1789171819,35,sana,199.75,57.84,64.895,148.571,0.0,95.667,0.0,1.0,0.0,7.0,0.0,0.0,3.813,0.153
1789171820,36,sana,199.8,57.821,64.861,148.411,0.0,96.056,0.0,0.0,0.0,6.502,0.0,0.0,3.813,0.15
1789171821,37,sana,200.25,57.794,64.809,148.737,0.0,96.335,0.0,0.0,0.0,5.75,0.0,0.0,3.8,0.148
1789171822,38,sana,199.95,57.776,64.775,144.615,0.0,96.389,0.0,1.0,0.0,5.999,0.0,0.0,3.8,0.15
1789171823,39,sana,200.3,57.763,64.75,141.65,0.0,96.613,0.0,1.0,0.0,5.501,0.0,0.0,4.1,0.148
