t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789615524,0,sana,199.5,57.822,64.862,140.04,0.0,95.778,0.0,0.0,0.0,8.75,0.0,0.0,4.288,0.165
1789615525,1,sana,199.75,57.831,64.879,144.02,0.0,95.667,0.0,2.0,0.0,8.0,0.0,0.0,3.813,0.165
1789615526,2,sana,199.55,57.822,64.861,146.689,0.0,95.722,0.0,2.0,0.0,8.502,0.0,0.0,3.813,0.17
1789615527,3,sana,200.0,57.84,64.895,148.889,0.0,95.556,0.0,0.0,0.0,8.25,0.0,0.0,3.22,0.162
1789615528,4,sana,200.5,57.853,64.921,152.475,0.0,95.556,0.0,0.0,0.0,7.75,0.0,0.0,3.22,0.165
1789615529,5,sana,200.05,57.804,64.827,140.05,0.0,96.056,0.0,1.0,0.0,7.252,0.0,0.0,3.22,0.16
1789615530,6,sana,200.3,57.813,64.844,143.367,0.0,95.944,0.0,1.0,0.0,8.502,0.0,0.0,3.813,0.158
1789615531,7,sana,200.3,57.84,64.895,147.5,0.0,95.667,0.0,0.0,0.0,7.752,0.0,0.0,3.813,0.158
1789615532,8,sana,199.8,57.799,64.818,147.5,0.0,96.222,0.0,0.0,0.0,7.252,0.0,0.0,4.1,0.153
1789615533,9,sana,200.05,57.781,64.784,144.422,0.0,96.389,0.0,1.0,0.0,7.252,0.0,0.0,3.2,0.16
1789615534,10,sana,200.0,57.785,64.792,141.818,0.0,96.444,0.0,0.0,0.0,6.5,0.0,0.0,3.8,0.155
1789615535,11,sana,199.8,57.794,64.809,141.65,0.0,96.389,0.0,1.0,0.0,5.501,0.0,0.0,3.8,0.153
1789615536,12,sana,200.0,57.763,64.75,141.667,0.0,96.667,0.0,0.0,0.0,6.25,0.0,0.0,3.8,0.158
1789615537,13,sana,199.95,57.763,64.75,140.015,0.0,96.556,0.0,0.0,0.0,7.248,0.0,0.0,3.8,0.157
1789615538,14,sana,200.25,57.776,64.775,139.038,0.0,96.5,0.0,0.0,0.0,6.75,0.0,0.0,3.8,0.158
