t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789614667,0,sana,199.95,57.799,64.818,141.538,0.0,96.111,0.0,1.0,0.0,8.248,0.0,0.0,4.1,0.185
1789614668,1,sana,199.75,57.803,64.826,143.618,0.0,96.167,0.0,1.0,0.0,7.75,0.0,0.0,4.4,0.18
1789614669,2,sana,200.0,57.795,64.81,145.017,0.0,96.222,0.0,0.0,0.0,7.75,0.0,0.0,4.4,0.183
1789614670,3,sana,200.45,57.817,64.853,147.157,0.0,95.944,0.0,0.0,0.0,7.248,0.0,0.0,4.28,0.17
1789614671,4,sana,199.75,57.795,64.81,143.35,0.0,96.278,0.0,0.0,0.0,7.5,0.0,0.0,4.4,0.17
1789614672,5,sana,200.05,57.804,64.827,147.157,0.0,96.111,0.0,0.0,0.0,7.502,0.0,0.0,4.4,0.173
1789614673,6,sana,200.25,57.781,64.784,146.154,0.0,96.5,0.0,0.0,0.0,6.5,0.0,0.0,4.4,0.163
1789614674,7,sana,200.3,57.785,64.792,144.271,0.0,96.389,0.0,1.0,0.0,5.751,0.0,0.0,4.486,0.158
1789614675,8,sana,200.25,57.789,64.8,143.031,0.0,96.556,0.0,0.0,0.0,6.75,0.0,0.0,4.55,0.162
1789614676,9,sana,199.7,57.772,64.767,140.036,0.0,96.389,0.0,3.0,0.0,6.498,0.0,0.0,4.486,0.165
1789614677,10,sana,199.5,57.768,64.759,139.175,0.0,96.5,0.0,1.0,0.0,7.75,0.0,0.0,4.486,0.17
1789614678,11,sana,199.95,57.772,64.767,137.492,0.0,96.556,0.0,0.0,0.0,7.248,0.0,0.0,4.55,0.17
1789614679,12,sana,199.75,57.763,64.75,136.522,0.0,96.667,0.0,0.0,0.0,6.5,0.0,0.0,4.64,0.168
1789614680,13,sana,200.5,57.758,64.741,137.685,0.0,96.722,0.0,1.0,0.0,6.25,0.0,0.0,4.6,0.162
1789614681,14,sana,200.2,57.781,64.784,137.931,0.0,96.5,0.0,1.0,0.0,7.248,0.0,0.0,4.6,0.172
1789614682,15,sana,199.8,57.817,64.853,138.673,0.0,95.944,0.0,1.0,0.0,9.002,0.0,0.0,4.6,0.18
1789614683,16,sana,200.3,57.822,64.861,137.857,0.0,96.056,0.0,0.0,0.0,8.752,0.0,0.0,4.55,0.178
1789614684,17,sana,200.05,57.808,64.835,138.4,0.0,96.167,0.0,0.0,0.0,9.502,0.0,0.0,4.6,0.18
1789614685,18,sana,200.05,57.812,64.843,141.98,0.0,96.278,0.0,1.0,0.0,8.252,0.0,0.0,4.6,0.168
1789614686,19,sana,200.0,57.821,64.861,143.317,0.0,96.056,0.0,0.0,0.0,7.75,0.0,0.0,4.486,0.17
1789614687,20,sana,199.95,57.822,64.861,144.615,0.0,95.944,0.0,1.0,0.0,7.248,0.0,0.0,4.1,0.167
1789614688,21,sana,199.75,57.817,64.852,145.333,0.0,96.0,0.0,0.0,0.0,7.25,0.0,0.0,3.2,0.167
1789614689,22,sana,200.3,57.812,64.844,146.25,0.0,96.111,0.0,0.0,0.0,6.752,0.0,0.0,3.8,0.168
1789614690,23,sana,200.05,57.785,64.792,144.0,0.0,96.333,0.0,0.0,0.0,6.002,0.0,0.0,3.8,0.163
1789614691,24,sana,199.85,57.759,64.741,141.429,0.0,96.667,0.0,1.0,0.0,6.003,0.0,0.0,3.8,0.163
1789614692,25,sana,199.8,57.75,64.725,139.109,0.0,96.667,0.0,0.0,0.0,5.751,0.0,0.0,3.8,0.163
1789614693,26,sana,200.0,57.754,64.733,140.0,0.0,96.722,0.0,0.0,0.0,6.5,0.0,0.0,1.4,0.163
1789614694,27,sana,200.25,57.763,64.75,139.038,0.0,96.667,0.0,0.0,0.0,6.75,0.0,0.0,3.8,0.16
1789614695,28,sana,199.5,57.759,64.742,138.114,0.0,96.556,0.0,0.0,0.0,8.25,0.0,0.0,3.8,0.165
1789614696,29,sana,200.25,57.763,64.75,139.01,0.0,96.611,0.0,0.0,0.0,7.75,0.0,0.0,4.1,0.165
1789614697,30,sana,199.5,57.763,64.75,137.152,0.0,96.556,0.0,0.0,0.0,8.0,0.0,0.0,4.1,0.165
1789614698,31,sana,199.75,57.781,64.784,138.105,0.0,96.278,0.0,1.0,0.0,8.0,0.0,0.0,3.8,0.168
1789614699,32,sana,200.75,57.772,64.767,137.884,0.0,96.389,0.0,3.0,0.0,6.0,0.0,0.0,3.8,0.165
1789614700,33,sana,200.25,57.812,64.843,141.8,0.0,96.056,0.0,1.0,0.0,8.25,0.0,0.0,3.8,0.165
1789614701,34,sana,199.75,57.826,64.87,144.631,0.0,95.778,0.0,0.0,0.0,9.25,0.0,0.0,3.8,0.17
1789614702,35,sana,200.05,57.844,64.905,142.871,0.0,95.556,0.0,1.0,0.0,9.752,0.0,0.0,3.8,0.17
1789614703,36,sana,199.75,57.84,64.896,139.175,0.0,95.556,0.0,2.0,0.0,10.75,0.0,0.0,1.4,0.17
1789614704,37,sana,199.5,57.835,64.886,138.325,0.0,95.778,0.0,0.0,0.0,9.5,0.0,0.0,1.4,0.168
1789614705,38,sana,200.8,57.853,64.921,137.685,0.0,95.5,0.0,1.0,0.0,8.752,0.0,0.0,1.4,0.173
1789614706,39,sana,200.2,57.871,64.955,138.446,0.0,95.389,0.0,0.0,0.0,8.998,0.0,0.0,3.2,0.172
1789614707,40,sana,200.05,57.886,64.982,137.333,0.0,95.0,0.0,2.0,0.0,10.753,0.0,0.0,3.2,0.173
1789614708,41,sana,200.5,57.918,89.091,140.0,0.0,94.833,0.0,1.0,0.0,10.75,0.0,0.0,3.2,0.178
1789614709,42,sana,199.7,57.904,83.417,137.938,0.0,94.833,0.0,2.0,0.0,11.247,0.0,0.0,3.2,0.17
1789614710,43,sana,200.05,57.894,64.999,138.647,0.0,95.167,0.0,0.0,0.0,10.253,0.0,0.0,3.2,0.17
1789614711,44,sana,200.2,57.895,65.0,139.327,0.0,95.056,0.0,1.0,0.0,9.748,0.0,0.0,4.1,0.175
1789614712,45,sana,199.75,57.918,87.273,140.0,0.0,94.833,0.0,0.0,0.0,10.75,0.0,0.0,4.28,0.173
1789614713,46,sana,200.25,57.931,90.615,145.418,0.0,94.667,0.0,1.0,0.0,10.25,0.0,0.0,4.28,0.172
1789614714,47,sana,199.7,57.909,83.417,144.02,0.0,94.944,0.0,0.0,0.0,9.998,0.0,0.0,4.28,0.177
1789614715,48,sana,200.05,57.886,64.982,142.0,0.0,95.111,0.0,1.0,0.0,8.502,0.0,0.0,4.1,0.178
1789614716,49,sana,200.0,57.858,64.93,143.636,0.0,95.556,0.0,3.0,0.0,6.75,0.0,0.0,4.4,0.172
1789614717,50,sana,200.0,57.863,64.939,142.0,0.0,95.5,0.0,0.0,0.0,7.5,0.0,0.0,4.4,0.175
1789614718,51,sana,200.25,57.84,64.895,144.983,0.0,95.833,0.0,0.0,0.0,7.5,0.0,0.0,4.486,0.165
1789614719,52,sana,199.3,57.845,64.905,143.383,0.0,95.5,0.0,1.0,0.0,8.502,0.0,0.0,4.486,0.163
1789614720,53,sana,200.35,57.826,64.87,140.0,0.0,95.889,0.0,0.0,0.0,8.754,0.0,0.0,4.28,0.178
1789614721,54,sana,200.1,57.799,64.818,141.65,0.0,96.222,0.0,1.0,0.0,7.004,0.0,0.0,4.28,0.178
1789614722,55,sana,199.85,57.781,64.784,137.608,0.0,96.444,0.0,0.0,0.0,7.254,0.0,0.0,4.28,0.18
1789614723,56,sana,200.75,57.79,64.801,137.685,0.0,96.278,0.0,1.0,0.0,6.5,0.0,0.0,4.1,0.177
1789614724,57,sana,200.0,57.772,64.767,136.8,0.0,96.611,0.0,0.0,0.0,5.25,0.0,0.0,4.486,0.163
1789614725,58,sana,200.0,57.776,64.775,136.421,0.0,96.667,0.0,0.0,0.0,5.75,0.0,0.0,4.28,0.157
1789614726,59,sana,199.75,57.763,64.75,133.35,0.0,96.556,0.0,1.0,0.0,6.5,0.0,0.0,4.28,0.155
1789614727,60,sana,199.25,57.764,64.751,133.07,0.0,96.5,0.0,0.0,0.0,6.75,0.0,0.0,4.1,0.158
1789614728,61,sana,200.0,57.767,64.757,133.609,0.0,96.778,0.0,0.0,0.0,7.75,0.0,0.0,4.1,0.157
1789614729,62,sana,200.0,57.763,64.75,135.238,0.0,96.611,0.0,1.0,0.0,8.0,0.0,0.0,4.1,0.157
1789614730,63,sana,200.5,57.768,64.758,136.364,0.0,96.611,0.0,0.0,0.0,7.25,0.0,0.0,3.8,0.16
1789614731,64,sana,200.75,57.781,64.784,139.99,0.0,96.444,0.0,0.0,0.0,7.5,0.0,0.0,3.8,0.16
1789614732,65,sana,199.75,57.786,64.793,139.057,0.0,96.389,0.0,0.0,0.0,8.25,0.0,0.0,3.8,0.163
1789614733,66,sana,200.0,57.812,64.844,139.13,0.0,96.0,0.0,0.0,0.0,8.25,0.0,0.0,0.99,0.17
1789614734,67,sana,199.75,57.813,64.844,139.057,0.0,95.944,0.0,0.0,0.0,8.5,0.0,0.0,0.99,0.17
1789614735,68,sana,200.0,57.79,64.8,139.982,0.0,96.333,0.0,1.0,0.0,7.0,0.0,0.0,0.99,0.168
1789614736,69,sana,200.25,57.794,64.809,138.155,0.0,96.333,0.0,1.0,0.0,6.5,0.0,0.0,0.99,0.168
1789614737,70,sana,199.5,57.799,64.819,136.683,0.0,96.111,0.0,0.0,0.0,7.25,0.0,0.0,0.99,0.16
1789614738,71,sana,200.0,57.795,64.81,135.248,0.0,96.111,0.0,1.0,0.0,7.25,0.0,0.0,1.4,0.163
1789614739,72,sana,200.0,57.803,64.827,133.913,0.0,96.056,0.0,1.0,0.0,8.25,0.0,0.0,1.4,0.167
1789614740,73,sana,200.0,57.799,64.818,132.0,0.0,96.111,0.0,0.0,0.0,8.75,0.0,0.0,1.4,0.178
1789614741,74,sana,200.25,57.808,64.835,134.286,0.0,96.0,0.0,0.0,0.0,8.75,0.0,0.0,1.4,0.182
1789614742,75,sana,200.0,57.808,64.836,136.2,0.0,95.944,0.0,1.0,0.0,8.75,0.0,0.0,1.4,0.183
1789614743,76,sana,199.75,57.822,64.861,136.364,0.0,96.0,0.0,0.0,0.0,9.0,0.0,0.0,1.4,0.175
1789614744,77,sana,199.75,57.84,64.896,136.2,0.0,95.778,0.0,0.0,0.0,8.75,0.0,0.0,1.4,0.17
1789614745,78,sana,199.75,57.84,64.896,136.539,0.0,95.667,0.0,0.0,0.0,8.25,0.0,0.0,1.4,0.167
1789614746,79,sana,200.0,57.844,64.904,138.086,0.0,95.611,0.0,1.0,0.0,8.75,0.0,0.0,1.4,0.165
1789614747,80,sana,200.25,57.858,64.93,137.383,0.0,95.667,0.0,0.0,0.0,9.0,0.0,0.0,0.99,0.17
1789614748,81,sana,200.25,57.835,64.887,136.0,0.0,95.722,0.0,1.0,0.0,8.25,0.0,0.0,0.99,0.165
1789614749,82,sana,200.3,57.835,64.887,137.01,0.0,95.778,0.0,0.0,0.0,8.002,0.0,0.0,0.99,0.163
1789614750,83,sana,200.35,57.835,64.886,136.658,0.0,95.833,0.0,0.0,0.0,8.004,0.0,0.0,0.99,0.165
1789614751,84,sana,200.05,57.821,64.861,137.264,0.0,96.056,0.0,0.0,0.0,7.002,0.0,0.0,1.4,0.165
1789614752,85,sana,199.55,57.808,64.836,137.282,0.0,95.944,0.0,0.0,0.0,8.002,0.0,0.0,1.4,0.165
1789614753,86,sana,200.25,57.812,64.843,137.685,0.0,96.0,0.0,0.0,0.0,7.75,0.0,0.0,1.4,0.165
1789614754,87,sana,199.95,57.817,64.852,139.184,0.0,96.056,0.0,1.0,0.0,6.998,0.0,0.0,3.2,0.165
1789614755,88,sana,200.05,57.79,64.801,136.792,0.0,96.333,0.0,1.0,0.0,7.252,0.0,0.0,3.22,0.163
1789614756,89,sana,200.0,57.772,64.767,138.278,0.0,96.389,0.0,1.0,0.0,6.75,0.0,0.0,4.288,0.16
1789614757,90,sana,200.0,57.79,64.801,141.667,0.0,96.389,0.0,1.0,0.0,6.5,0.0,0.0,4.491,0.162
1789614758,91,sana,200.0,57.785,64.792,139.991,0.0,96.444,0.0,0.0,0.0,6.5,0.0,0.0,4.491,0.16
1789614759,92,sana,199.95,57.763,64.75,140.0,0.0,96.667,0.0,0.0,0.0,6.498,0.0,0.0,4.491,0.16
1789614760,93,sana,200.5,57.759,64.741,138.75,0.0,96.667,0.0,1.0,0.0,5.75,0.0,0.0,4.407,0.162
1789614761,94,sana,200.0,57.741,64.707,137.114,0.0,97.056,0.0,0.0,0.0,5.0,0.0,0.0,4.407,0.16
1789614762,95,sana,199.75,57.741,64.708,136.382,0.0,96.833,0.0,1.0,0.0,5.75,0.0,0.0,4.407,0.16
1789614763,96,sana,199.5,57.75,64.725,138.367,0.0,96.667,0.0,3.0,0.0,6.5,0.0,0.0,4.288,0.162
1789614764,97,sana,200.0,57.776,64.775,142.222,0.0,96.5,0.0,1.0,0.0,8.25,0.0,0.0,4.4,0.168
1789614765,98,sana,199.75,57.785,64.792,143.98,0.0,96.444,0.0,1.0,0.0,9.5,0.0,0.0,4.1,0.167
1789614766,99,sana,200.25,57.794,64.809,142.0,0.0,96.389,0.0,0.0,0.0,9.0,0.0,0.0,3.8,0.17
1789614767,100,sana,200.5,57.79,64.801,140.0,0.0,96.333,0.0,1.0,0.0,8.25,0.0,0.0,4.1,0.167
1789614768,101,sana,199.75,57.804,64.827,138.105,0.0,96.167,0.0,0.0,0.0,8.0,0.0,0.0,4.1,0.165
1789614769,102,sana,200.25,57.84,64.895,139.259,0.0,95.833,0.0,0.0,0.0,8.75,0.0,0.0,4.1,0.168
