t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789099685,0,sana,100.0,57.849,64.914,150.025,0.111,95.444,0.0,0.0,0.0,4.0,0.0,0.0,4.491,0.1
1789099686,1,sana,100.25,57.858,64.93,151.429,0.222,95.444,0.0,0.0,0.0,4.25,0.0,0.0,4.555,0.103
1789099687,2,sana,100.0,57.849,64.913,148.571,0.222,95.556,0.0,0.0,0.0,3.5,0.0,0.0,4.491,0.103
1789099688,3,sana,100.0,57.831,64.878,146.667,0.222,96.0,0.0,0.0,0.0,3.25,0.0,0.0,4.555,0.1
1789099689,4,sana,100.25,57.794,64.809,140.0,0.111,96.333,0.0,0.0,0.0,2.75,0.0,0.0,4.55,0.098
1789099690,5,sana,99.75,57.75,64.724,136.923,0.111,96.778,0.0,0.0,0.0,2.0,0.0,0.0,4.486,0.092
1789099691,6,sana,99.75,57.75,64.724,136.667,0.111,96.778,0.0,0.0,0.0,2.5,0.0,0.0,4.486,0.095
1789099692,7,sana,100.0,57.75,64.724,138.0,0.111,96.778,0.0,0.0,0.0,3.5,0.0,0.0,4.64,0.095
1789099693,8,sana,100.0,57.75,64.724,137.778,0.111,96.778,0.0,0.0,0.0,3.25,0.0,0.0,4.64,0.097
1789099694,9,sana,100.25,57.723,64.673,137.114,0.111,97.222,0.0,0.0,0.0,3.0,0.0,0.0,4.6,0.1
1789099695,10,sana,100.25,57.697,64.624,132.0,0.0,97.444,0.0,0.0,0.0,2.75,0.0,0.0,4.55,0.097
1789099696,11,sana,100.025,57.697,64.624,135.0,0.0,97.444,0.0,0.0,0.0,2.001,0.0,0.0,4.486,0.095
1789099697,12,sana,100.025,57.732,64.691,152.0,0.111,97.0,0.0,0.0,0.0,2.751,0.0,0.0,4.55,0.095
1789099698,13,sana,100.025,57.759,64.741,146.667,0.111,96.556,0.0,1.0,1.0,4.001,0.0,0.0,4.6,0.095
