t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789097137,0,sana,99.975,57.831,64.878,136.364,0.333,95.778,0.0,0.0,0.0,3.749,0.0,0.0,4.11,0.095
1789097138,1,sana,99.775,57.813,64.844,136.382,0.334,95.884,0.0,1.0,1.0,3.751,0.0,0.0,4.407,0.098
1789097139,2,sana,99.775,57.803,64.827,140.0,0.444,96.107,0.0,0.0,0.0,3.751,0.0,0.0,4.407,0.095
1789097140,3,sana,99.975,57.786,64.793,144.04,0.445,96.222,0.0,1.0,1.0,3.249,0.0,0.0,4.288,0.09
1789097141,4,sana,100.0,57.803,64.827,140.0,0.333,96.222,0.0,0.0,0.0,4.0,0.0,0.0,4.11,0.09
1789097142,5,sana,99.75,57.822,64.862,136.4,0.334,95.778,0.0,0.0,0.0,5.25,0.0,0.0,4.11,0.088
1789097143,6,sana,100.225,57.858,64.93,140.0,0.444,95.333,0.0,1.0,1.0,5.749,0.0,0.0,4.288,0.092
1789097144,7,sana,100.0,57.868,64.948,140.067,0.334,95.444,0.0,0.0,0.0,5.5,0.0,0.0,4.288,0.09
1789097145,8,sana,100.025,57.83,64.877,138.164,0.222,95.893,0.0,0.0,0.0,4.751,0.0,0.0,4.28,0.093
1789097146,9,sana,100.575,57.822,64.861,138.182,0.222,95.889,0.0,0.0,0.0,3.503,0.0,0.0,3.8,0.095
1789097147,10,sana,100.1,57.83,64.877,138.164,0.222,95.893,0.0,0.0,0.0,3.003,0.0,0.0,1.4,0.09
1789097148,11,sana,100.325,57.867,64.947,134.527,0.111,95.228,0.0,1.0,1.0,3.753,0.0,0.0,1.4,0.095
1789097149,12,sana,99.825,57.858,64.93,137.778,0.111,95.551,0.0,0.0,0.0,4.003,0.0,0.0,1.4,0.095
1789097150,13,sana,99.75,57.813,64.844,134.314,0.111,95.884,0.0,1.0,1.0,3.75,0.0,0.0,1.4,0.087
1789097151,14,sana,99.75,57.812,64.843,144.95,0.222,96.111,0.0,0.0,0.0,4.5,0.0,0.0,1.4,0.09
1789097152,15,sana,100.0,57.785,64.792,140.0,0.222,96.444,0.0,0.0,0.0,3.5,0.0,0.0,1.4,0.087
1789097153,16,sana,100.0,57.776,64.775,145.0,0.333,96.44,0.0,0.0,0.0,3.25,0.0,0.0,3.2,0.085
1789097154,17,sana,99.975,57.786,64.793,145.05,0.445,96.333,0.0,0.0,0.0,3.999,0.0,0.0,4.1,0.09
1789097155,18,sana,99.975,57.777,64.776,145.05,0.445,96.444,0.0,0.0,0.0,2.749,0.0,0.0,4.1,0.087
1789097156,19,sana,100.025,57.803,64.827,148.0,0.444,96.111,0.0,0.0,0.0,3.501,0.0,0.0,4.1,0.088
1789097157,20,sana,100.225,57.759,64.741,148.0,0.444,96.778,0.0,0.0,0.0,3.249,0.0,0.0,4.1,0.087
1789097158,21,sana,100.25,57.749,64.724,139.986,0.444,96.781,0.0,0.0,0.0,3.0,0.0,0.0,4.28,0.088
1789097159,22,sana,100.0,57.768,64.758,140.0,0.444,96.67,0.0,0.0,0.0,3.5,0.0,0.0,4.4,0.09
1789097160,23,sana,100.0,57.741,64.707,135.369,0.333,96.889,0.0,0.0,0.0,2.75,0.0,0.0,4.4,0.09
1789097161,24,sana,99.75,57.741,64.708,134.3,0.222,96.667,0.0,1.0,1.0,3.25,0.0,0.0,4.486,0.09
1789097162,25,sana,100.025,57.758,64.741,131.987,0.111,96.67,0.0,0.0,0.0,3.501,0.0,0.0,4.486,0.09
1789097163,26,sana,100.25,57.732,64.69,129.983,0.0,97.0,0.0,0.0,0.0,3.0,0.0,0.0,4.28,0.09
1789097164,27,sana,99.75,57.759,64.741,130.769,0.0,96.663,0.0,0.0,0.0,3.25,0.0,0.0,4.28,0.09
1789097165,28,sana,100.25,57.759,64.741,130.0,0.0,96.667,0.0,0.0,0.0,3.75,0.0,0.0,4.28,0.093
1789097166,29,sana,99.75,57.777,64.776,132.013,0.0,96.44,0.0,0.0,0.0,3.75,0.0,0.0,4.28,0.095
1789097167,30,sana,99.775,57.777,64.776,131.443,0.0,96.44,0.0,0.0,0.0,4.251,0.0,0.0,4.1,0.093
1789097168,31,sana,100.0,57.831,64.878,136.25,0.0,95.773,0.0,0.0,0.0,5.5,0.0,0.0,3.8,0.098
1789097169,32,sana,99.775,57.822,64.862,136.263,0.0,95.889,0.0,0.0,0.0,4.501,0.0,0.0,3.8,0.095
1789097170,33,sana,99.975,57.849,64.913,136.842,0.0,95.667,0.0,0.0,0.0,5.249,0.0,0.0,1.4,0.092
1789097171,34,sana,99.75,57.859,64.932,145.771,0.0,95.328,0.0,0.0,0.0,6.0,0.0,0.0,1.4,0.097
1789097172,35,sana,100.0,57.904,87.0,145.743,0.0,94.883,0.0,0.0,0.0,5.0,0.0,0.0,1.4,0.093
1789097173,36,sana,100.25,57.904,89.5,148.543,0.111,94.895,0.0,0.0,0.0,5.5,0.0,0.0,1.4,0.093
1789097174,37,sana,100.0,57.849,64.914,146.7,0.111,95.556,0.0,0.0,0.0,3.75,0.0,0.0,3.8,0.09
1789097175,38,sana,100.25,57.849,64.913,146.667,0.111,95.45,0.0,1.0,1.0,3.25,0.0,0.0,3.8,0.088
1789097176,39,sana,100.25,57.858,64.929,153.3,0.333,95.45,0.0,0.0,0.0,3.0,0.0,0.0,4.28,0.09
1789097177,40,sana,99.975,57.794,64.809,148.543,0.333,96.226,0.0,0.0,0.0,2.499,0.0,0.0,4.28,0.09
1789097178,41,sana,100.0,57.812,64.844,151.429,0.333,95.889,0.0,1.0,1.0,3.5,0.0,0.0,4.28,0.09
1789097179,42,sana,100.0,57.803,64.827,154.0,0.333,96.107,0.0,1.0,1.0,3.75,0.0,0.0,4.28,0.092
1789097180,43,sana,99.75,57.776,64.775,146.633,0.333,96.556,0.0,0.0,0.0,3.5,0.0,0.0,4.4,0.09
1789097181,44,sana,99.775,57.759,64.741,148.571,0.333,96.667,0.0,0.0,0.0,4.001,0.0,0.0,4.6,0.09
1789097182,45,sana,100.0,57.759,64.742,145.743,0.222,96.556,0.0,0.0,0.0,4.25,0.0,0.0,4.673,0.092
1789097183,46,sana,100.225,57.803,64.826,154.975,0.444,96.111,0.0,0.0,0.0,3.999,0.0,0.0,4.6,0.09
1789097184,47,sana,100.225,57.821,64.86,157.475,0.444,96.0,0.0,0.0,0.0,4.749,0.0,0.0,4.6,0.092
1789097185,48,sana,99.725,57.804,64.828,152.55,0.223,95.996,0.0,0.0,0.0,4.499,0.0,0.0,4.486,0.092
1789097186,49,sana,100.275,57.84,64.895,151.429,0.222,95.662,0.0,0.0,0.0,4.501,0.0,0.0,4.55,0.093
1789097187,50,sana,99.75,57.831,64.878,150.0,0.222,95.782,0.0,0.0,0.0,4.5,0.0,0.0,4.6,0.092
1789097188,51,sana,99.775,57.803,64.827,144.0,0.222,96.0,0.0,0.0,0.0,3.751,0.0,0.0,4.6,0.09
1789097189,52,sana,100.525,57.821,64.86,146.633,0.222,95.889,0.0,0.0,0.0,3.751,0.0,0.0,4.486,0.093
1789097190,53,sana,99.975,57.83,64.877,144.95,0.333,95.556,0.0,2.0,2.0,3.749,0.0,0.0,4.1,0.095
1789097191,54,sana,100.25,57.821,64.86,144.95,0.333,95.889,0.0,1.0,1.0,3.5,0.0,0.0,4.1,0.093
1789097192,55,sana,100.0,57.786,64.793,137.157,0.111,96.329,0.0,0.0,0.0,3.0,0.0,0.0,4.4,0.093
1789097193,56,sana,99.5,57.768,64.76,136.954,0.111,96.44,0.0,0.0,0.0,3.5,0.0,0.0,4.4,0.087
1789097194,57,sana,100.0,57.776,64.774,139.969,0.222,96.559,0.0,0.0,0.0,2.75,0.0,0.0,4.4,0.085
1789097195,58,sana,100.025,57.75,64.724,140.0,0.222,96.781,0.0,0.0,0.0,2.751,0.0,0.0,4.28,0.088
1789097196,59,sana,100.25,57.741,64.707,139.98,0.222,97.0,0.0,0.0,0.0,3.0,0.0,0.0,4.1,0.087
1789097197,60,sana,100.225,57.785,64.792,143.333,0.222,96.444,0.0,1.0,1.0,3.499,0.0,0.0,4.407,0.092
1789097198,61,sana,99.75,57.759,64.742,140.04,0.222,96.67,0.0,0.0,0.0,3.5,0.0,0.0,4.555,0.093
1789097199,62,sana,100.0,57.732,64.691,135.0,0.111,97.0,0.0,2.0,2.0,3.25,0.0,0.0,4.555,0.092
1789097200,63,sana,100.0,57.759,64.741,145.0,0.111,96.778,0.0,0.0,0.0,4.25,0.0,0.0,4.407,0.093
1789097201,64,sana,100.025,57.794,64.809,145.0,0.111,96.222,0.0,0.0,0.0,3.751,0.0,0.0,4.11,0.09
1789097202,65,sana,100.275,57.812,64.842,142.8,0.111,96.115,0.0,0.0,0.0,4.751,0.0,0.0,4.11,0.093
1789097203,66,sana,99.725,57.813,64.844,137.171,0.0,95.889,0.0,0.0,0.0,5.249,0.0,0.0,4.288,0.092
1789097204,67,sana,99.975,57.822,64.861,134.286,0.0,95.889,0.0,0.0,0.0,4.499,0.0,0.0,4.555,0.09
1789097205,68,sana,100.225,57.812,64.844,134.286,0.0,96.0,0.0,0.0,0.0,3.499,0.0,0.0,4.604,0.09
1789097206,69,sana,100.025,57.758,64.741,129.967,0.0,96.67,0.0,1.0,1.0,2.251,0.0,0.0,4.55,0.088
1789097207,70,sana,100.3,57.794,64.809,137.114,0.0,96.0,0.0,2.0,2.0,2.751,0.0,0.0,4.55,0.09
1789097208,71,sana,99.825,57.831,64.879,140.033,0.0,96.0,0.0,0.0,0.0,3.503,0.0,0.0,4.6,0.093
1789097209,72,sana,99.55,57.795,64.811,134.04,0.0,96.111,0.0,0.0,0.0,4.002,0.0,0.0,4.64,0.093
1789097210,73,sana,100.025,57.776,64.775,136.345,0.0,96.448,0.0,0.0,0.0,4.251,0.0,0.0,4.673,0.093
1789097211,74,sana,99.525,57.741,64.709,137.55,0.0,96.663,0.0,1.0,1.0,3.501,0.0,0.0,4.673,0.09
1789097212,75,sana,99.975,57.75,64.724,137.778,0.0,96.889,0.0,0.0,0.0,2.749,0.0,0.0,4.673,0.09
1789097213,76,sana,100.5,57.741,64.708,138.0,0.0,96.778,0.0,1.0,1.0,2.75,0.0,0.0,4.6,0.087
1789097214,77,sana,99.725,57.786,64.793,145.05,0.0,96.333,0.0,0.0,0.0,3.749,0.0,0.0,4.55,0.087
1789097215,78,sana,100.225,57.822,64.862,150.033,0.0,95.778,0.0,1.0,1.0,4.499,0.0,0.0,4.486,0.087
1789097216,79,sana,100.25,57.812,64.844,145.714,0.0,96.218,0.0,0.0,0.0,4.75,0.0,0.0,4.28,0.09
1789097217,80,sana,100.0,57.758,64.741,142.829,0.0,96.67,0.0,0.0,0.0,4.0,0.0,0.0,4.28,0.09
1789097218,81,sana,100.25,57.749,64.723,144.95,0.0,96.889,0.0,0.0,0.0,2.75,0.0,0.0,4.55,0.09
1789097219,82,sana,100.0,57.75,64.725,142.886,0.0,96.774,0.0,0.0,0.0,2.0,0.0,0.0,4.486,0.09
1789097220,83,sana,100.0,57.758,64.74,139.96,0.0,96.781,0.0,1.0,1.0,1.75,0.0,0.0,4.55,0.087
1789097221,84,sana,100.0,57.758,64.741,139.98,0.111,96.667,0.0,0.0,0.0,2.75,0.0,0.0,4.55,0.09
1789097222,85,sana,100.0,57.741,64.708,140.0,0.111,97.0,0.0,0.0,0.0,2.75,0.0,0.0,4.486,0.087
1789097223,86,sana,100.0,57.732,64.691,137.5,0.222,97.0,0.0,0.0,0.0,3.25,0.0,0.0,4.55,0.09
1789097224,87,sana,99.75,57.705,64.64,135.0,0.222,97.553,0.0,0.0,0.0,3.0,0.0,0.0,4.55,0.087
1789097225,88,sana,100.0,57.67,64.574,128.0,0.222,97.78,0.0,0.0,0.0,2.25,0.0,0.0,4.55,0.088
1789097226,89,sana,99.775,57.723,64.674,134.314,0.222,97.108,0.0,0.0,0.0,3.501,0.0,0.0,4.486,0.09
1789097227,90,sana,100.0,57.732,64.691,135.025,0.222,96.885,0.0,1.0,1.0,2.75,0.0,0.0,4.28,0.09
1789097228,91,sana,100.25,57.732,64.69,137.475,0.222,97.003,0.0,0.0,0.0,3.0,0.0,0.0,4.4,0.095
1789097229,92,sana,100.0,57.732,64.691,136.667,0.222,97.0,0.0,1.0,1.0,3.5,0.0,0.0,4.486,0.095
1789097230,93,sana,100.225,57.732,64.691,140.0,0.111,96.889,0.0,1.0,1.0,2.999,0.0,0.0,4.4,0.095
1789097231,94,sana,100.025,57.777,64.776,142.886,0.111,96.44,0.0,0.0,0.0,4.001,0.0,0.0,4.4,0.095
1789097232,95,sana,100.0,57.767,64.758,137.98,0.0,96.444,0.0,0.0,0.0,4.5,0.0,0.0,4.28,0.093
1789097233,96,sana,100.0,57.785,64.792,139.982,0.0,96.337,0.0,0.0,0.0,4.5,0.0,0.0,4.28,0.093
1789097234,97,sana,99.75,57.786,64.793,140.029,0.0,96.333,0.0,0.0,0.0,3.75,0.0,0.0,4.28,0.09
1789097235,98,sana,100.25,57.758,64.741,137.98,0.0,96.667,0.0,0.0,0.0,3.0,0.0,0.0,4.28,0.087
1789097236,99,sana,100.025,57.776,64.775,142.2,0.0,96.559,0.0,0.0,0.0,2.751,0.0,0.0,3.8,0.088
1789097237,100,sana,99.55,57.777,64.777,142.267,0.0,96.333,0.0,0.0,0.0,3.002,0.0,0.0,3.8,0.088
1789097238,101,sana,100.05,57.786,64.793,142.244,0.0,96.44,0.0,0.0,0.0,3.502,0.0,0.0,1.4,0.09
1789097239,102,sana,99.75,57.786,64.793,138.02,0.0,96.333,0.0,0.0,0.0,4.0,0.0,0.0,1.4,0.092
1789097240,103,sana,100.0,57.767,64.758,137.756,0.0,96.448,0.0,1.0,1.0,3.75,0.0,0.0,1.4,0.092
1789097241,104,sana,100.5,57.785,64.792,140.0,0.111,96.444,0.0,0.0,0.0,4.25,0.0,0.0,3.2,0.092
1789097242,105,sana,100.25,57.785,64.792,140.0,0.222,96.333,0.0,0.0,0.0,4.5,0.0,0.0,3.8,0.092
1789097243,106,sana,99.775,57.804,64.827,140.033,0.222,95.996,0.0,0.0,0.0,4.251,0.0,0.0,4.1,0.09
1789097244,107,sana,100.025,57.831,64.878,143.333,0.222,95.782,0.0,0.0,0.0,4.751,0.0,0.0,4.486,0.09
1789097245,108,sana,99.75,57.822,64.862,137.157,0.222,95.778,0.0,0.0,0.0,4.25,0.0,0.0,4.55,0.093
1789097246,109,sana,99.75,57.83,64.877,135.282,0.222,95.884,0.0,0.0,0.0,4.0,0.0,0.0,4.486,0.093
1789097247,110,sana,100.0,57.822,64.862,136.013,0.334,95.671,0.0,1.0,1.0,4.0,0.0,0.0,4.486,0.093
1789097248,111,sana,100.0,57.821,64.86,137.488,0.444,96.0,0.0,0.0,0.0,3.5,0.0,0.0,4.55,0.095
1789097249,112,sana,100.0,57.813,64.844,138.763,0.556,96.107,0.0,0.0,0.0,3.25,0.0,0.0,4.55,0.093
