t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789089988,0,sana,100.225,57.822,64.861,144.0,0.111,96.0,0.0,0.0,0.0,3.499,0.0,0.0,,0.102
1789089989,1,sana,100.0,57.804,64.827,140.05,0.111,96.111,0.0,0.0,0.0,4.5,0.0,0.0,,0.105
1789089990,2,sana,100.275,57.821,64.86,138.446,0.0,96.0,0.0,0.0,0.0,3.501,0.0,0.0,,0.105
1789089991,3,sana,100.0,57.812,64.844,135.385,0.0,96.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.103
1789089992,4,sana,100.0,57.84,64.895,136.0,0.0,95.667,0.0,0.0,0.0,4.25,0.0,0.0,,0.103
1789089993,5,sana,100.275,57.785,64.792,133.317,0.0,96.444,0.0,0.0,0.0,3.251,0.0,0.0,,0.095
1789089994,6,sana,100.0,57.767,64.758,133.317,0.0,96.667,0.0,0.0,0.0,2.5,0.0,0.0,,0.093
1789089995,7,sana,100.025,57.749,64.724,129.98,0.0,96.889,0.0,0.0,0.0,2.751,0.0,0.0,,0.095
1789089996,8,sana,100.0,57.759,64.741,128.889,0.0,96.667,0.0,0.0,0.0,2.0,0.0,0.0,,0.09
1789089997,9,sana,99.975,57.75,64.724,131.111,0.0,96.667,0.0,1.0,1.0,2.749,0.0,0.0,,0.095
1789089998,10,sana,99.975,57.749,64.724,131.4,0.111,96.778,0.0,1.0,1.0,3.749,0.0,0.0,,0.097
1789089999,11,sana,100.0,57.741,64.708,135.556,0.222,96.889,0.0,0.0,0.0,3.5,0.0,0.0,,0.095
1789090000,12,sana,100.025,57.75,64.724,136.0,0.222,96.778,0.0,0.0,0.0,3.751,0.0,0.0,,0.098
1789090001,13,sana,100.0,57.732,64.691,134.0,0.222,97.0,0.0,0.0,0.0,3.75,0.0,0.0,,0.097
1789090002,14,sana,100.0,57.741,64.708,135.556,0.222,96.889,0.0,0.0,0.0,3.25,0.0,0.0,,0.095
1789090003,15,sana,99.975,57.75,64.724,135.556,0.222,96.778,0.0,0.0,0.0,2.749,0.0,0.0,,0.095
1789090004,16,sana,99.75,57.732,64.691,132.525,0.222,96.778,0.0,1.0,1.0,2.5,0.0,0.0,,0.095
1789090005,17,sana,99.8,57.732,64.691,137.525,0.222,96.778,0.0,1.0,1.0,2.251,0.0,0.0,,0.095
1789090006,18,sana,100.075,57.741,64.708,140.0,0.222,97.0,0.0,0.0,0.0,2.752,0.0,0.0,,0.095
1789090007,19,sana,99.8,57.741,64.708,134.314,0.111,96.889,0.0,0.0,0.0,3.752,0.0,0.0,,0.098
1789090008,20,sana,100.275,57.785,64.792,135.0,0.0,96.333,0.0,0.0,0.0,4.751,0.0,0.0,,0.098
1789090009,21,sana,100.25,57.785,64.792,137.5,0.0,96.333,0.0,0.0,0.0,5.0,0.0,0.0,,0.098
1789090010,22,sana,99.975,57.785,64.792,137.143,0.0,96.333,0.0,0.0,0.0,4.999,0.0,0.0,,0.1
1789090011,23,sana,100.275,57.803,64.827,140.0,0.0,96.111,0.0,0.0,0.0,4.751,0.0,0.0,,0.1
1789090012,24,sana,100.0,57.812,64.844,142.857,0.0,96.0,0.0,0.0,0.0,3.5,0.0,0.0,,0.097
1789090013,25,sana,100.0,57.812,64.843,144.975,0.0,96.0,0.0,2.0,2.0,3.0,0.0,0.0,,0.097
1789090014,26,sana,100.0,57.83,64.877,144.422,0.0,96.0,0.0,0.0,0.0,3.25,0.0,0.0,,0.098
1789090015,27,sana,99.975,57.822,64.861,142.5,0.0,95.889,0.0,0.0,0.0,3.249,0.0,0.0,,0.095
1789090016,28,sana,100.0,57.803,64.826,144.422,0.0,96.222,0.0,0.0,0.0,3.25,0.0,0.0,,0.095
1789090017,29,sana,99.75,57.732,64.691,142.525,0.0,96.889,0.0,0.0,0.0,3.0,0.0,0.0,,0.093
1789090018,30,sana,100.0,57.75,64.724,144.444,0.0,96.778,0.0,0.0,0.0,3.0,0.0,0.0,,0.095
1789090019,31,sana,99.75,57.75,64.725,142.525,0.0,96.556,0.0,1.0,1.0,3.25,0.0,0.0,,0.097
1789090020,32,sana,99.75,57.759,64.742,144.467,0.0,96.556,0.0,0.0,0.0,4.0,0.0,0.0,,0.1
1789090021,33,sana,100.25,57.776,64.775,146.0,0.0,96.444,0.0,0.0,0.0,4.5,0.0,0.0,,0.1
1789090022,34,sana,100.0,57.794,64.809,146.0,0.0,96.222,0.0,2.0,2.0,4.25,0.0,0.0,,0.098
1789090023,35,sana,100.25,57.803,64.827,146.667,0.0,96.111,0.0,0.0,0.0,4.5,0.0,0.0,,0.098
1789090024,36,sana,100.25,57.794,64.809,145.0,0.0,96.222,0.0,0.0,0.0,4.0,0.0,0.0,,0.098
1789090025,37,sana,100.0,57.776,64.775,142.857,0.0,96.444,0.0,0.0,0.0,3.25,0.0,0.0,,0.097
1789090026,38,sana,100.025,57.803,64.826,142.829,0.0,96.222,0.0,0.0,0.0,3.001,0.0,0.0,,0.095
1789090027,39,sana,100.0,57.759,64.741,138.0,0.0,96.667,0.0,0.0,0.0,1.75,0.0,0.0,,0.092
1789090028,40,sana,100.025,57.732,64.69,139.971,0.0,97.222,0.0,0.0,0.0,1.25,0.0,0.0,,0.09
1789090029,41,sana,100.025,57.723,64.673,131.4,0.0,97.222,0.0,0.0,0.0,2.251,0.0,0.0,,0.095
1789090030,42,sana,99.975,57.732,64.691,127.5,0.0,97.0,0.0,0.0,0.0,2.749,0.0,0.0,,0.097
1789090031,43,sana,100.0,57.723,64.674,130.0,0.0,97.333,0.0,0.0,0.0,3.25,0.0,0.0,,0.098
1789090032,44,sana,100.0,57.705,64.64,122.857,0.0,97.333,0.0,0.0,0.0,4.0,0.0,0.0,,0.098
1789090033,45,sana,99.975,57.714,64.657,127.5,0.0,97.111,0.0,1.0,1.0,3.999,0.0,0.0,,0.097
1789090034,46,sana,100.0,57.732,64.691,131.111,0.111,97.0,0.0,0.0,0.0,3.25,0.0,0.0,,0.095
1789090035,47,sana,100.025,57.723,64.674,135.0,0.222,97.111,0.0,0.0,0.0,3.001,0.0,0.0,,0.095
1789090036,48,sana,99.975,57.75,64.724,136.364,0.222,96.778,0.0,0.0,0.0,2.999,0.0,0.0,,0.095
1789090037,49,sana,100.025,57.759,64.741,135.0,0.222,96.667,0.0,0.0,0.0,2.501,0.0,0.0,,0.093
1789090038,50,sana,100.025,57.776,64.775,138.182,0.333,96.444,0.0,0.0,0.0,3.501,0.0,0.0,,0.098
1789090039,51,sana,100.0,57.759,64.741,145.0,0.444,96.667,0.0,0.0,0.0,3.75,0.0,0.0,,0.098
1789090040,52,sana,100.025,57.75,64.724,140.0,0.556,96.556,0.0,2.0,2.0,3.251,0.0,0.0,,0.098
1789090041,53,sana,100.0,57.768,64.758,153.333,0.556,96.556,0.0,0.0,0.0,4.25,0.0,0.0,,0.097
1789090042,54,sana,99.775,57.75,64.725,146.733,0.556,96.778,0.0,0.0,0.0,3.501,0.0,0.0,,0.093
1789090043,55,sana,100.0,57.768,64.758,146.667,0.444,96.444,0.0,1.0,1.0,3.5,0.0,0.0,,0.095
1789090044,56,sana,100.0,57.794,64.809,140.0,0.333,96.222,0.0,0.0,0.0,4.25,0.0,0.0,,0.095
1789090045,57,sana,99.725,57.759,64.742,140.067,0.334,96.556,0.0,0.0,0.0,2.999,0.0,0.0,,0.095
1789090046,58,sana,100.225,57.768,64.758,145.0,0.333,96.556,0.0,0.0,0.0,2.749,0.0,0.0,,0.095
1789090047,59,sana,100.0,57.741,64.708,137.143,0.222,96.889,0.0,0.0,0.0,2.75,0.0,0.0,,0.095
1789090048,60,sana,100.025,57.776,64.775,140.0,0.222,96.444,0.0,0.0,0.0,3.251,0.0,0.0,,0.098
1789090049,61,sana,100.275,57.803,64.827,140.0,0.222,96.444,0.0,0.0,0.0,4.001,0.0,0.0,,0.1
1789090050,62,sana,99.75,57.786,64.793,136.382,0.222,96.333,0.0,1.0,1.0,4.5,0.0,0.0,,0.102
1789090051,63,sana,100.0,57.812,64.843,143.3,0.222,96.222,0.0,0.0,0.0,5.0,0.0,0.0,,0.105
1789090052,64,sana,99.725,57.804,64.827,140.033,0.222,96.222,0.0,0.0,0.0,4.249,0.0,0.0,,0.105
