t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789095864,0,sana,100.0,57.812,64.843,145.686,0.111,96.111,0.0,0.0,0.0,3.5,0.0,0.0,4.64,0.097
1789095865,1,sana,100.025,57.794,64.809,140.0,0.111,96.222,0.0,0.0,0.0,4.501,0.0,0.0,4.6,0.103
1789095866,2,sana,100.0,57.812,64.844,144.444,0.111,96.111,0.0,0.0,0.0,4.5,0.0,0.0,4.6,0.1
1789095867,3,sana,99.975,57.785,64.792,142.5,0.111,96.444,0.0,0.0,0.0,3.999,0.0,0.0,4.486,0.1
1789095868,4,sana,99.975,57.759,64.741,136.364,0.111,96.556,0.0,1.0,1.0,3.249,0.0,0.0,4.28,0.097
1789095869,5,sana,99.975,57.794,64.809,142.857,0.111,96.222,0.0,0.0,0.0,3.749,0.0,0.0,4.1,0.095
1789095870,6,sana,99.75,57.84,64.896,148.911,0.111,95.556,0.0,0.0,1.0,4.25,0.0,0.0,4.1,0.1
1789095871,7,sana,99.775,57.831,64.879,152.02,0.111,95.667,0.0,0.0,0.0,5.001,0.0,0.0,3.8,0.1
1789095872,8,sana,100.0,57.822,64.861,150.0,0.111,95.889,0.0,1.0,1.0,4.75,0.0,0.0,3.2,0.1
1789095873,9,sana,99.75,57.822,64.862,148.911,0.0,95.778,0.0,0.0,0.0,4.5,0.0,0.0,1.4,0.1
1789095874,10,sana,100.25,57.822,64.861,148.889,0.0,95.889,0.0,0.0,0.0,3.75,0.0,0.0,1.4,0.098
1789095875,11,sana,100.25,57.812,64.844,145.0,0.0,96.0,0.0,0.0,0.0,3.75,0.0,0.0,3.2,0.098
1789095876,12,sana,99.775,57.849,64.914,148.911,0.0,95.444,0.0,1.0,1.0,4.751,0.0,0.0,3.8,0.098
1789095877,13,sana,100.275,57.895,65.0,160.0,0.0,95.111,0.0,0.0,0.0,5.001,0.0,0.0,3.8,0.1
1789095878,14,sana,100.0,57.849,64.913,157.143,0.0,95.556,0.0,0.0,0.0,4.5,0.0,0.0,3.8,0.098
1789095879,15,sana,100.0,57.821,64.86,151.96,0.0,96.0,0.0,0.0,0.0,4.25,0.0,0.0,3.8,0.098
1789095880,16,sana,100.25,57.803,64.826,149.95,0.0,96.111,0.0,1.0,1.0,3.5,0.0,0.0,4.1,0.1
1789095881,17,sana,100.0,57.812,64.844,152.0,0.0,96.111,0.0,0.0,0.0,2.5,0.0,0.0,4.11,0.095
1789095882,18,sana,99.975,57.821,64.86,149.95,0.0,96.0,0.0,0.0,0.0,3.499,0.0,0.0,4.11,0.095
1789095883,19,sana,99.475,57.813,64.845,155.1,0.0,95.667,0.0,0.0,0.0,4.499,0.0,0.0,4.288,0.1
1789095884,20,sana,100.0,57.831,64.878,160.0,0.0,95.778,0.0,0.0,0.0,4.75,0.0,0.0,4.407,0.098
1789095885,21,sana,100.0,57.839,64.895,157.475,0.0,95.778,0.0,0.0,0.0,5.5,0.0,0.0,4.407,0.1
1789095886,22,sana,100.075,57.831,64.878,145.714,0.111,95.778,0.0,0.0,0.0,5.504,0.0,0.0,4.288,0.103
1789095887,23,sana,100.3,57.822,64.862,145.743,0.111,95.778,0.0,0.0,0.0,4.252,0.0,0.0,4.288,0.098
1789095888,24,sana,100.05,57.858,64.93,147.5,0.111,95.667,0.0,0.0,0.0,4.502,0.0,0.0,4.407,0.103
1789095889,25,sana,99.8,57.886,64.983,147.525,0.222,95.333,0.0,0.0,0.0,4.502,0.0,0.0,4.407,0.103
1789095890,26,sana,99.975,57.932,90.0,152.5,0.222,94.778,0.0,0.0,0.0,4.749,0.0,0.0,4.55,0.102
1789095891,27,sana,99.775,57.905,73.25,155.05,0.223,94.889,0.0,0.0,0.0,5.501,0.0,0.0,4.6,0.103
1789095892,28,sana,99.75,57.894,64.999,152.475,0.222,95.333,0.0,1.0,1.0,5.0,0.0,0.0,4.673,0.097
1789095893,29,sana,100.25,57.876,64.965,151.429,0.222,95.444,0.0,0.0,0.0,4.25,0.0,0.0,4.6,0.095
1789095894,30,sana,99.75,57.858,64.931,150.05,0.334,95.556,0.0,0.0,0.0,3.75,0.0,0.0,4.6,0.095
1789095895,31,sana,100.5,57.867,64.948,150.0,0.222,95.556,0.0,0.0,0.0,4.0,0.0,0.0,4.64,0.095
1789095896,32,sana,100.225,57.885,64.982,151.96,0.222,95.444,0.0,0.0,0.0,4.249,0.0,0.0,4.723,0.095
1789095897,33,sana,100.0,57.849,64.913,152.0,0.222,95.444,0.0,1.0,1.0,4.25,0.0,0.0,4.723,0.098
1789095898,34,sana,100.025,57.849,64.913,151.429,0.111,95.444,0.0,1.0,1.0,4.501,0.0,0.0,4.723,0.098
1789095899,35,sana,100.0,57.822,64.861,145.714,0.111,95.889,0.0,0.0,0.0,4.0,0.0,0.0,4.7,0.097
1789095900,36,sana,100.025,57.803,64.825,142.8,0.111,96.333,0.0,0.0,0.0,3.501,0.0,0.0,4.723,0.098
1789095901,37,sana,99.975,57.794,64.809,139.978,0.111,96.444,0.0,0.0,0.0,3.249,0.0,0.0,4.64,0.095
1789095902,38,sana,100.225,57.776,64.775,135.556,0.111,96.333,0.0,1.0,1.0,2.249,0.0,0.0,4.673,0.095
1789095903,39,sana,100.0,57.776,64.775,134.527,0.0,96.556,0.0,0.0,0.0,2.25,0.0,0.0,4.64,0.093
1789095904,40,sana,99.975,57.759,64.741,135.0,0.0,96.667,0.0,0.0,0.0,3.249,0.0,0.0,4.6,0.092
1789095905,41,sana,100.025,57.75,64.724,134.286,0.0,96.667,0.0,0.0,0.0,3.501,0.0,0.0,4.4,0.095
1789095906,42,sana,99.775,57.75,64.725,131.457,0.0,96.778,0.0,0.0,0.0,3.751,0.0,0.0,4.4,0.095
1789095907,43,sana,99.975,57.714,64.657,128.543,0.0,97.444,0.0,0.0,0.0,2.749,0.0,0.0,4.4,0.095
1789095908,44,sana,100.025,57.679,64.59,125.714,0.0,97.667,0.0,0.0,0.0,1.75,0.0,0.0,4.28,0.095
1789095909,45,sana,99.975,57.732,64.691,134.286,0.0,97.0,0.0,0.0,0.0,2.749,0.0,0.0,4.1,0.095
1789095910,46,sana,100.25,57.776,64.775,140.0,0.0,96.444,0.0,0.0,0.0,3.75,0.0,0.0,4.28,0.095
1789095911,47,sana,100.0,57.785,64.792,146.667,0.0,96.444,0.0,0.0,0.0,4.5,0.0,0.0,4.28,0.097
