t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789102246,0,sana,100.3,84.571,164.5,183.85,1.774,49.111,0.0,3.0,3.0,52.026,0.0,0.0,4.28,0.188
1789102247,1,sana,99.275,84.054,163.773,183.579,1.891,49.333,0.0,3.0,3.0,52.513,0.0,0.0,4.407,0.19
1789102248,2,sana,100.025,89.268,161.935,182.5,1.778,47.889,0.0,1.0,1.0,53.013,0.0,0.0,4.491,0.193
1789102249,3,sana,100.0,93.171,162.143,181.0,1.444,47.222,0.0,1.0,1.0,53.25,0.0,0.0,4.288,0.193
1789102250,4,sana,100.0,86.667,159.971,179.592,1.22,48.556,0.0,4.0,4.0,50.75,0.0,0.0,4.407,0.188
1789102251,5,sana,100.725,88.5,159.394,181.0,1.222,48.111,0.0,3.0,3.0,51.737,0.0,0.0,4.491,0.185
1789102252,6,sana,100.5,87.297,159.984,181.553,1.221,48.333,0.0,4.0,4.0,48.75,0.0,0.0,4.491,0.178
1789102253,7,sana,99.25,81.795,160.543,182.068,1.335,49.39,0.0,5.0,5.0,47.5,0.0,0.0,4.491,0.175
1789102254,8,sana,100.0,81.765,160.0,182.059,1.444,49.778,0.0,4.0,4.0,49.25,0.0,0.0,4.407,0.178
1789102255,9,sana,99.775,84.848,159.75,182.517,1.67,49.0,0.0,3.0,3.0,50.263,0.0,0.0,4.407,0.178
1789102256,10,sana,100.5,89.091,161.558,183.823,1.876,48.556,0.0,2.0,2.0,52.5,0.0,0.0,4.28,0.18
1789102257,11,sana,100.5,83.333,161.125,183.564,1.776,49.222,0.0,3.0,3.0,53.0,0.0,0.0,4.1,0.18
1789102258,12,sana,100.0,82.759,159.737,183.571,1.667,49.222,0.0,3.0,3.0,54.5,0.0,0.0,4.1,0.185
1789102259,13,sana,100.25,88.286,160.033,183.87,1.78,48.556,0.0,3.0,3.0,52.0,0.0,0.0,3.8,0.183
1789102260,14,sana,98.5,88.71,159.79,183.593,1.784,48.444,0.0,5.0,5.0,51.25,0.0,0.0,4.1,0.185
1789102261,15,sana,100.25,88.75,159.302,183.571,1.778,48.667,0.0,2.0,2.0,51.0,0.0,0.0,3.8,0.183
1789102262,16,sana,100.0,89.118,158.83,184.111,1.883,48.61,0.0,2.0,2.0,50.0,0.0,0.0,3.8,0.18
1789102263,17,sana,100.25,88.889,157.857,183.571,1.556,48.556,0.0,0.0,0.0,50.0,0.0,0.0,4.1,0.178
1789102264,18,sana,100.75,83.143,157.053,182.492,1.221,49.667,0.0,3.0,3.0,48.0,0.0,0.0,4.1,0.173
