t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789080929,0,sana,10.0,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,,0.02
1789080930,1,sana,9.998,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,,0.017
1789080931,2,sana,9.998,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,,0.017
1789080932,3,sana,10.003,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,,0.02
1789080933,4,sana,10.0,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,,0.015
1789080934,5,sana,10.0,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.25,0.0,0.0,,0.018
1789080935,6,sana,10.0,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080936,7,sana,9.998,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080937,8,sana,10.0,57.67,64.574,122.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.017
1789080938,9,sana,10.0,57.759,64.741,122.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,,0.015
1789080939,10,sana,10.0,57.759,64.741,122.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,,0.018
1789080940,11,sana,10.0,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,,0.015
1789080941,12,sana,10.0,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,,0.015
1789080942,13,sana,10.0,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080943,14,sana,10.003,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080944,15,sana,10.0,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080945,16,sana,10.003,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080946,17,sana,10.005,57.67,64.574,111.0,0.0,97.778,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080947,18,sana,10.003,57.5,64.25,64.85,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080948,19,sana,10.005,57.5,64.25,64.85,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080949,20,sana,10.003,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.25,0.0,0.0,,0.018
1789080950,21,sana,9.998,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.25,0.0,0.0,,0.017
1789080951,22,sana,10.0,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.25,0.0,0.0,,0.017
1789080952,23,sana,10.0,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.25,0.0,0.0,,0.017
1789080953,24,sana,10.0,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
1789080954,25,sana,10.0,57.584,64.41,122.0,0.0,98.889,0.0,0.0,0.0,0.0,0.0,0.0,,0.015
