t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789082206,0,sana,199.75,64.86,163.259,184.453,1.832,51.056,0.0,7.0,7.0,103.25,0.0,0.0,,0.348
1789082207,1,sana,201.351,70.0,163.517,184.307,1.715,50.667,0.0,6.0,6.0,103.802,0.0,0.0,,0.363
1789082208,2,sana,200.35,80.0,163.621,184.333,1.667,50.278,0.0,4.0,4.0,103.552,0.0,0.0,,0.36
1789082209,3,sana,201.05,81.591,163.777,184.581,1.613,49.556,0.0,8.0,8.0,103.526,0.0,0.0,,0.345
1789082210,4,sana,199.55,83.0,163.211,184.218,1.503,49.389,0.0,5.0,5.0,103.276,0.0,0.0,,0.348
1789082211,5,sana,199.45,82.949,162.208,184.066,1.555,49.611,0.0,5.0,5.0,98.225,0.0,0.0,,0.33
1789082212,6,sana,200.75,77.188,162.329,183.77,1.553,50.195,0.0,7.0,7.0,93.25,0.0,0.0,,0.37
1789082213,7,sana,199.25,64.967,162.132,183.632,1.557,50.5,0.0,9.0,9.0,93.0,0.0,0.0,,0.375
1789082214,8,sana,201.0,64.942,161.569,183.546,1.605,51.0,0.0,6.0,6.0,92.25,0.0,0.0,,0.375
1789082215,9,sana,199.3,64.746,161.457,183.724,1.723,51.222,0.0,7.0,7.0,95.024,0.0,0.0,,0.375
1789082216,10,sana,200.25,64.446,160.628,183.724,1.723,52.5,0.0,1.0,1.0,95.25,0.0,0.0,,0.32
1789082217,11,sana,200.75,64.469,159.683,183.25,1.611,52.222,0.0,6.0,6.0,96.25,0.0,0.0,,0.313
1789082218,12,sana,200.0,64.34,158.756,181.548,1.387,53.0,0.0,3.0,3.0,95.25,0.0,0.0,,0.298
1789082219,13,sana,200.7,64.302,158.179,180.669,1.275,52.722,0.0,10.0,10.0,95.226,0.0,0.0,,0.302
1789082220,14,sana,199.75,64.516,158.182,181.562,1.389,52.111,0.0,6.0,6.0,98.5,0.0,0.0,,0.308
1789082221,15,sana,200.7,64.674,158.548,182.286,1.5,51.222,0.0,7.0,8.0,98.225,0.0,0.0,,0.305
1789082222,16,sana,199.75,64.525,159.303,182.682,1.607,51.833,0.0,7.0,7.0,97.5,0.0,0.0,,0.32
1789082223,17,sana,199.25,64.586,158.913,182.072,1.558,51.5,0.0,3.0,3.0,99.75,0.0,0.0,,0.32
1789082224,18,sana,199.95,64.666,159.366,181.548,1.442,51.444,0.0,4.0,4.0,98.975,0.0,0.0,,0.325
1789082225,19,sana,199.75,64.77,159.279,182.294,1.557,50.667,0.0,7.0,7.0,96.25,0.0,0.0,,0.343
1789082226,20,sana,199.25,64.794,159.174,181.823,1.445,50.722,0.0,8.0,8.0,100.25,0.0,0.0,,0.37
1789082227,21,sana,200.8,64.868,159.441,183.077,1.667,50.333,0.0,8.0,8.0,98.525,0.0,0.0,,0.385
1789082228,22,sana,200.05,64.983,160.294,183.25,1.667,50.389,0.0,7.0,7.0,100.025,0.0,0.0,,0.378
1789082229,23,sana,198.8,64.933,161.575,182.525,1.449,50.5,0.0,6.0,6.0,100.775,0.0,0.0,,0.365
1789082230,24,sana,199.95,64.737,160.054,182.076,1.392,51.222,0.0,7.0,7.0,96.476,0.0,0.0,,0.33
1789082231,25,sana,200.0,64.843,159.857,182.496,1.499,51.0,0.0,6.0,6.0,96.0,0.0,0.0,,0.315
1789082232,26,sana,198.5,64.794,160.597,182.907,1.614,50.889,0.0,7.0,7.0,95.75,0.0,0.0,,0.33
1789082233,27,sana,201.2,64.811,160.603,183.418,1.668,50.722,0.0,8.0,8.0,96.976,0.0,0.0,,0.34
1789082234,28,sana,200.0,64.794,160.875,183.088,1.725,51.0,0.0,6.0,6.0,97.5,0.0,0.0,,0.35
1789082235,29,sana,198.55,64.594,163.241,184.137,2.002,51.611,0.0,7.0,7.0,97.524,0.0,0.0,,0.36
1789082236,30,sana,201.05,64.547,163.275,183.728,1.891,51.916,0.0,4.0,4.0,96.024,0.0,0.0,,0.35
1789082237,31,sana,199.85,64.5,163.525,183.87,2.002,51.833,0.0,7.0,7.0,96.048,0.0,0.0,,0.338
1789082238,32,sana,200.85,64.588,162.431,183.983,2.05,51.444,0.0,8.0,8.0,98.049,0.0,0.0,,0.328
1789082239,33,sana,200.5,64.69,162.778,184.13,2.056,51.111,0.0,5.0,5.0,99.0,0.0,0.0,,0.312
1789082240,34,sana,199.5,64.77,161.964,183.586,1.893,50.611,0.0,9.0,9.0,100.0,0.0,0.0,,0.31
1789082241,35,sana,199.0,64.754,160.9,183.721,1.833,50.778,0.0,6.0,6.0,100.75,0.0,0.0,,0.305
1789082242,36,sana,199.5,64.722,161.309,184.262,2.002,51.444,0.0,1.0,1.0,99.25,0.0,0.0,,0.318
1789082243,37,sana,200.0,64.77,160.667,184.255,2.0,50.889,0.0,4.0,4.0,98.5,0.0,0.0,,0.32
1789082244,38,sana,200.5,64.723,159.19,183.4,1.774,51.389,0.0,5.0,5.0,95.25,0.0,0.0,,0.323
1789082245,39,sana,201.5,64.706,158.549,183.242,1.776,51.084,0.0,7.0,7.0,93.5,0.0,0.0,,0.327
1789082246,40,sana,200.5,64.682,159.591,183.86,1.943,51.333,0.0,9.0,9.0,94.25,0.0,0.0,,0.317
1789082247,41,sana,200.5,64.827,159.593,184.134,2.001,50.667,0.0,8.0,8.0,98.5,0.0,0.0,,0.32
1789082248,42,sana,200.45,64.803,161.295,184.588,2.162,51.111,0.0,4.0,4.0,99.975,0.0,0.0,,0.315
1789082249,43,sana,199.5,64.674,161.709,184.802,2.22,51.444,0.0,6.0,6.0,100.0,0.0,0.0,,0.31
1789082250,44,sana,199.25,64.579,161.33,184.594,2.22,51.667,0.0,4.0,4.0,100.25,0.0,0.0,,0.308
1789082251,45,sana,199.5,64.618,160.017,184.134,2.112,51.0,0.0,7.0,7.0,96.25,0.0,0.0,,0.303
1789082252,46,sana,199.8,64.666,161.653,184.697,2.329,50.944,0.0,10.0,10.0,97.524,0.0,0.0,,0.315
1789082253,47,sana,199.5,64.802,162.08,184.813,2.392,50.722,0.0,6.0,6.0,97.5,0.0,0.0,,0.323
1789082254,48,sana,200.5,64.77,163.102,185.096,2.447,50.833,0.0,11.0,11.0,95.75,0.0,0.0,,0.325
1789082255,49,sana,200.25,64.786,161.464,184.813,2.336,50.833,0.0,8.0,8.0,96.75,0.0,0.0,,0.325
1789082256,50,sana,199.5,64.634,161.089,184.709,2.279,51.778,0.0,2.0,2.0,97.75,0.0,0.0,,0.315
1789082257,51,sana,200.5,64.658,160.384,184.381,2.113,51.222,0.0,7.0,7.0,97.25,0.0,0.0,,0.307
1789082258,52,sana,200.0,64.674,160.638,184.0,1.944,51.111,0.0,9.0,9.0,99.0,0.0,0.0,,0.315
1789082259,53,sana,200.5,64.635,159.684,183.71,1.886,51.667,0.0,4.0,4.0,96.25,0.0,0.0,,0.307
1789082260,54,sana,200.2,64.486,159.287,183.069,1.72,52.167,0.0,5.0,5.0,93.477,0.0,0.0,,0.302
1789082261,55,sana,199.5,64.555,159.743,183.731,1.892,51.944,0.0,4.0,4.0,96.5,0.0,0.0,,0.3
1789082262,56,sana,199.25,64.539,159.731,184.003,1.834,51.611,0.0,6.0,6.0,96.0,0.0,0.0,,0.302
1789082263,57,sana,198.75,64.917,159.627,183.429,1.726,50.222,0.0,8.0,8.0,103.0,0.0,0.0,,0.315
1789082264,58,sana,199.3,80.247,160.67,184.007,1.835,49.944,0.0,4.0,4.0,107.277,0.0,0.0,,0.33
1789082265,59,sana,200.55,80.588,160.31,183.997,1.888,49.722,0.0,5.0,5.0,105.526,0.0,0.0,,0.333
1789082266,60,sana,200.55,80.588,160.017,184.003,1.834,49.778,0.0,5.0,6.0,106.027,0.0,0.0,,0.32
1789082267,61,sana,201.3,64.958,159.289,183.717,1.777,50.222,0.0,9.0,9.0,98.275,0.0,0.0,,0.31
1789082268,62,sana,201.3,82.967,159.564,183.411,1.666,49.278,0.0,5.0,5.0,98.025,0.0,0.0,,0.308
1789082269,63,sana,199.0,83.75,161.34,184.268,1.949,48.806,0.0,4.0,4.0,98.75,0.0,0.0,,0.307
1789082270,64,sana,199.75,83.958,159.716,183.25,1.667,48.833,0.0,7.0,7.0,99.5,0.0,0.0,,0.307
1789082271,65,sana,199.25,84.891,159.437,183.073,1.721,48.722,0.0,6.0,6.0,102.75,0.0,0.0,,0.312
1789082272,66,sana,199.0,83.061,160.663,184.484,2.109,49.389,0.0,8.0,8.0,102.75,0.0,0.0,,0.317
1789082273,67,sana,201.5,83.465,159.552,183.983,1.994,49.167,0.0,8.0,8.0,104.25,0.0,0.0,,0.322
1789082274,68,sana,200.5,84.0,159.857,183.864,1.944,48.833,0.0,8.0,8.0,105.5,0.0,0.0,,0.333
1789082275,69,sana,200.75,85.049,160.594,183.857,2.053,48.667,0.0,5.0,5.0,106.25,0.0,0.0,,0.335
1789082276,70,sana,201.0,84.369,160.331,184.372,2.221,48.917,0.0,4.0,4.0,101.75,0.0,0.0,,0.32
1789082277,71,sana,199.5,83.0,164.181,185.184,2.503,49.111,0.0,4.0,4.0,99.5,0.0,0.0,,0.322
1789082278,72,sana,198.75,85.484,162.35,184.811,2.223,48.638,0.0,8.0,8.0,99.25,0.0,0.0,,0.322
