t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789102671,0,sana,201.25,58.146,114.302,164.975,0.555,92.222,0.0,1.0,1.0,15.25,0.0,0.0,4.4,0.177
1789102672,1,sana,200.0,58.09,110.86,163.045,0.556,92.611,0.0,2.0,2.0,14.5,0.0,0.0,4.407,0.18
1789102673,2,sana,200.0,58.133,113.352,165.468,0.611,92.167,0.0,1.0,1.0,14.5,0.0,0.0,4.407,0.18
1789102674,3,sana,200.05,58.118,113.617,166.25,0.611,92.444,0.0,0.0,0.0,16.254,0.0,0.0,4.288,0.18
1789102675,4,sana,199.75,58.128,114.188,168.763,0.723,92.056,0.0,3.0,3.0,15.5,0.0,0.0,4.288,0.18
1789102676,5,sana,200.5,58.175,119.455,169.96,0.721,92.0,0.0,0.0,0.0,19.0,0.0,0.0,4.11,0.183
1789102677,6,sana,200.5,58.156,116.378,169.611,0.721,92.111,0.0,1.0,1.0,15.5,0.0,0.0,4.288,0.178
1789102678,7,sana,198.95,58.148,116.864,170.85,0.723,92.111,0.0,0.0,0.0,17.496,0.0,0.0,3.813,0.182
1789102679,8,sana,199.8,58.158,117.0,169.724,0.667,91.833,0.0,2.0,2.0,16.004,0.0,0.0,3.813,0.178
1789102680,9,sana,200.25,58.172,119.556,172.5,0.833,91.833,0.0,1.0,1.0,15.25,0.0,0.0,3.813,0.175
1789102681,10,sana,200.0,58.181,120.486,172.475,0.832,91.889,0.0,1.0,1.0,16.0,0.0,0.0,3.2,0.177
1789102682,11,sana,200.5,58.157,117.826,170.588,0.722,92.056,0.0,0.0,0.0,14.75,0.0,0.0,4.1,0.172
1789102683,12,sana,200.25,58.143,117.295,170.597,0.723,92.162,0.0,0.0,0.0,15.25,0.0,0.0,4.1,0.172
1789102684,13,sana,200.05,58.162,117.0,166.168,0.444,92.333,0.0,0.0,0.0,14.004,0.0,0.0,4.28,0.178
1789102685,14,sana,200.0,58.103,113.614,165.616,0.444,92.778,0.0,0.0,0.0,14.75,0.0,0.0,4.28,0.178
1789102686,15,sana,200.3,58.143,115.122,163.759,0.334,92.167,0.0,2.0,2.0,14.504,0.0,0.0,4.1,0.183
1789102687,16,sana,199.2,58.103,113.636,160.0,0.389,92.556,0.0,3.0,3.0,14.996,0.0,0.0,4.1,0.185
1789102688,17,sana,199.45,58.142,114.4,160.0,0.389,92.167,0.0,4.0,4.0,15.496,0.0,0.0,4.28,0.18
1789102689,18,sana,200.0,58.108,113.043,159.13,0.389,92.722,0.0,0.0,0.0,15.75,0.0,0.0,4.28,0.178
1789102690,19,sana,199.7,58.143,114.84,162.331,0.389,92.167,0.0,0.0,0.0,16.496,0.0,0.0,4.28,0.175
1789102691,20,sana,201.0,58.151,116.553,162.98,0.333,92.278,0.0,0.0,0.0,16.75,0.0,0.0,4.1,0.175
1789102692,21,sana,200.25,58.152,116.596,162.143,0.333,92.115,0.0,0.0,0.0,16.0,0.0,0.0,4.28,0.172
1789102693,22,sana,199.8,58.157,117.22,162.01,0.278,91.889,0.0,1.0,1.0,17.254,0.0,0.0,4.1,0.175
1789102694,23,sana,200.0,58.143,115.959,162.331,0.389,91.944,0.0,2.0,2.0,15.0,0.0,0.0,4.28,0.175
1789102695,24,sana,199.35,58.143,116.04,162.331,0.389,92.111,0.0,0.0,0.0,15.758,0.0,0.0,4.28,0.175
