t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789175847,0,sana,199.5,58.084,113.191,167.059,0.5,92.778,0.0,3.0,3.0,15.5,0.0,0.0,3.2,0.175
1789175848,1,sana,200.3,58.078,113.0,166.544,0.499,92.889,0.0,0.0,0.0,13.753,0.0,0.0,3.2,0.173
1789175849,2,sana,200.0,58.099,113.62,169.01,0.667,92.393,0.0,2.0,2.0,15.0,0.0,0.0,3.2,0.175
1789175850,3,sana,200.8,58.132,116.714,169.992,0.666,92.227,0.0,0.0,0.0,16.004,0.0,0.0,3.2,0.175
1789175851,4,sana,199.75,58.085,113.66,169.183,0.612,92.607,0.0,2.0,2.0,14.75,0.0,0.0,3.2,0.175
1789175852,5,sana,199.7,58.133,116.755,170.007,0.611,92.111,0.0,2.0,2.0,16.996,0.0,0.0,1.4,0.18
1789175853,6,sana,199.8,58.109,115.143,168.586,0.501,92.496,0.0,0.0,0.0,14.754,0.0,0.0,1.4,0.173
1789175854,7,sana,199.95,58.127,115.878,169.271,0.555,92.444,0.0,0.0,0.0,15.746,0.0,0.0,0.99,0.172
1789175855,8,sana,200.45,58.127,115.56,169.271,0.555,92.444,0.0,1.0,1.0,15.246,0.0,0.0,0.99,0.167
1789175856,9,sana,199.75,58.147,117.551,168.182,0.444,92.167,0.0,0.0,0.0,16.5,0.0,0.0,0.99,0.17
1789175857,10,sana,200.5,58.143,116.42,167.864,0.445,92.107,0.0,0.0,0.0,15.25,0.0,0.0,0.99,0.168
1789175858,11,sana,199.55,58.123,116.087,167.174,0.333,92.385,0.0,2.0,2.0,15.004,0.0,0.0,0.99,0.17
1789175859,12,sana,200.05,58.113,114.489,166.007,0.334,92.389,0.0,1.0,1.0,15.504,0.0,0.0,0.99,0.175
1789175860,13,sana,199.8,58.137,116.522,167.5,0.444,92.278,0.0,1.0,1.0,13.753,0.0,0.0,0.99,0.173
1789175861,14,sana,200.0,58.118,114.894,166.176,0.444,92.496,0.0,0.0,0.0,15.75,0.0,0.0,0.99,0.175
1789175862,15,sana,200.5,58.097,113.413,165.268,0.388,92.722,0.0,0.0,0.0,13.25,0.0,0.0,0.99,0.175
1789175863,16,sana,200.2,58.128,114.783,165.0,0.444,92.5,0.0,0.0,0.0,15.496,0.0,0.0,0.99,0.19
1789175864,17,sana,200.5,58.118,113.75,165.0,0.444,92.718,0.0,0.0,0.0,13.25,0.0,0.0,3.2,0.183
1789175865,18,sana,199.95,58.132,114.761,165.99,0.5,92.389,0.0,1.0,2.0,16.246,0.0,0.0,3.8,0.187
1789175866,19,sana,199.75,58.142,114.615,166.0,0.5,92.333,0.0,0.0,0.0,17.0,0.0,0.0,3.8,0.18
1789175867,20,sana,198.5,58.129,114.367,163.508,0.445,92.06,0.0,5.0,5.0,16.25,0.0,0.0,3.8,0.172
1789175868,21,sana,200.05,58.133,114.231,166.0,0.5,92.444,0.0,0.0,0.0,16.754,0.0,0.0,3.8,0.173
1789175869,22,sana,199.85,58.113,112.922,162.99,0.333,92.778,0.0,0.0,0.0,12.506,0.0,0.0,3.8,0.168
1789175870,23,sana,200.3,58.113,113.18,165.285,0.389,92.671,0.0,0.0,0.0,14.254,0.0,0.0,3.8,0.175
1789175871,24,sana,201.3,58.123,113.353,165.303,0.389,92.449,0.0,1.0,1.0,12.003,0.0,0.0,3.8,0.168
1789175872,25,sana,199.75,58.114,113.245,164.429,0.334,92.385,0.0,0.0,0.0,15.5,0.0,0.0,3.8,0.183
1789175873,26,sana,200.25,58.123,113.333,164.412,0.333,92.333,0.0,0.0,0.0,15.0,0.0,0.0,1.4,0.182
1789175874,27,sana,199.5,58.123,114.25,167.903,0.445,92.444,0.0,1.0,1.0,17.25,0.0,0.0,0.99,0.185
1789175875,28,sana,199.8,58.108,113.49,167.903,0.445,92.389,0.0,2.0,2.0,17.004,0.0,0.0,0.99,0.18
1789175876,29,sana,199.75,58.122,115.255,168.843,0.388,92.718,0.0,3.0,3.0,15.25,0.0,0.0,0.99,0.175
1789175877,30,sana,200.0,58.128,114.8,167.5,0.389,92.385,0.0,0.0,0.0,16.5,0.0,0.0,0.99,0.175
