t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789079655,0,sana,200.3,57.776,64.775,136.842,0.056,96.444,0.0,0.0,0.0,7.002,0.0,0.0,,0.175
1789079656,1,sana,200.1,57.79,64.801,139.082,0.111,96.333,0.0,1.0,1.0,7.504,0.0,0.0,,0.18
1789079657,2,sana,199.85,57.781,64.784,139.0,0.056,96.444,0.0,0.0,0.0,7.254,0.0,0.0,,0.198
1789079658,3,sana,200.05,57.785,64.792,136.19,0.056,96.333,0.0,0.0,0.0,7.752,0.0,0.0,,0.19
1789079659,4,sana,200.0,57.812,64.843,138.392,0.111,96.056,0.0,0.0,0.0,8.25,0.0,0.0,,0.175
1789079660,5,sana,199.95,57.79,64.801,139.048,0.111,96.333,0.0,0.0,0.0,7.748,0.0,0.0,,0.175
1789079661,6,sana,200.2,57.794,64.809,139.99,0.111,96.278,0.0,0.0,0.0,7.498,0.0,0.0,,0.157
1789079662,7,sana,199.75,57.79,64.801,141.347,0.111,96.278,0.0,0.0,0.0,7.75,0.0,0.0,,0.16
1789079663,8,sana,200.05,57.808,64.835,146.25,0.222,96.0,0.0,1.0,1.0,7.502,0.0,0.0,,0.168
1789079664,9,sana,200.3,57.803,64.827,146.25,0.222,96.056,0.0,1.0,1.0,7.752,0.0,0.0,,0.158
1789079665,10,sana,199.75,57.799,64.818,144.0,0.167,96.222,0.0,1.0,1.0,7.75,0.0,0.0,,0.155
1789079666,11,sana,200.3,57.803,64.826,141.414,0.167,96.056,0.0,1.0,1.0,7.752,0.0,0.0,,0.153
1789079667,12,sana,200.0,57.803,64.827,146.25,0.222,96.111,0.0,0.0,0.0,7.5,0.0,0.0,,0.147
1789079668,13,sana,199.95,57.803,64.827,145.333,0.222,96.056,0.0,1.0,1.0,8.248,0.0,0.0,,0.152
1789079669,14,sana,200.25,57.808,64.835,144.271,0.222,96.111,0.0,0.0,0.0,8.25,0.0,0.0,,0.158
1789079670,15,sana,199.95,57.817,64.852,148.333,0.222,95.889,0.0,1.0,1.0,8.248,0.0,0.0,,0.175
1789079671,16,sana,199.75,57.803,64.827,146.0,0.222,96.111,0.0,0.0,0.0,7.75,0.0,0.0,,0.188
1789079672,17,sana,199.55,57.795,64.81,140.04,0.111,96.167,0.0,0.0,0.0,7.502,0.0,0.0,,0.205
1789079673,18,sana,199.55,57.808,64.836,139.324,0.111,96.111,0.0,0.0,0.0,8.002,0.0,0.0,,0.21
1789079674,19,sana,200.0,57.821,64.861,139.327,0.111,96.0,0.0,0.0,0.0,7.75,0.0,0.0,,0.193
1789079675,20,sana,199.95,57.817,64.853,140.022,0.167,96.0,0.0,0.0,0.0,8.498,0.0,0.0,,0.187
1789079676,21,sana,200.25,57.813,64.844,138.007,0.167,96.0,0.0,0.0,0.0,8.0,0.0,0.0,,0.167
1789079677,22,sana,199.95,57.813,64.844,137.945,0.111,95.889,0.0,2.0,2.0,8.748,0.0,0.0,,0.165
1789079678,23,sana,200.0,57.844,64.904,145.714,0.167,95.667,0.0,0.0,0.0,9.5,0.0,0.0,,0.167
1789079679,24,sana,200.25,57.831,64.878,141.429,0.167,95.889,0.0,0.0,0.0,8.75,0.0,0.0,,0.157
1789079680,25,sana,199.7,57.822,64.861,141.443,0.167,95.889,0.0,0.0,0.0,8.248,0.0,0.0,,0.165
1789079681,26,sana,200.5,57.826,64.869,142.829,0.222,96.0,0.0,0.0,0.0,7.25,0.0,0.0,,0.165
1789079682,27,sana,200.05,57.817,64.852,146.64,0.222,96.0,0.0,0.0,0.0,6.502,0.0,0.0,,0.163
1789079683,28,sana,200.0,57.808,64.835,148.235,0.222,96.056,0.0,0.0,0.0,6.75,0.0,0.0,,0.167
1789079684,29,sana,200.5,57.803,64.826,148.224,0.222,96.167,0.0,0.0,0.0,7.25,0.0,0.0,,0.16
1789079685,30,sana,200.1,57.803,64.826,148.411,0.167,96.111,0.0,1.0,1.0,7.254,0.0,0.0,,0.158
1789079686,31,sana,199.55,57.808,64.835,147.5,0.167,96.167,0.0,1.0,1.0,8.252,0.0,0.0,,0.155
1789079687,32,sana,200.05,57.776,64.775,140.0,0.111,96.389,0.0,1.0,1.0,7.752,0.0,0.0,,0.153
1789079688,33,sana,200.05,57.776,64.775,142.667,0.111,96.444,0.0,0.0,0.0,7.502,0.0,0.0,,0.153
1789079689,34,sana,199.45,57.803,64.827,142.667,0.111,96.056,0.0,1.0,1.0,8.498,0.0,0.0,,0.152
1789079690,35,sana,200.5,57.812,64.844,141.429,0.056,96.0,0.0,0.0,0.0,7.75,0.0,0.0,,0.16
1789079691,36,sana,200.05,57.785,64.792,137.391,0.056,96.278,0.0,1.0,1.0,7.002,0.0,0.0,,0.155
