t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789105267,0,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.25,0.25,0.0,4.1,0.03
1789105268,1,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,0.75,0.25,0.0,1.4,0.033
1789105269,2,r20,19.995,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.0,0.25,0.0,0.99,0.027
1789105270,3,r20,20.0,57.542,64.33,64.933,4.444,95.0,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.03
1789105271,4,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,0.99,0.028
1789105272,5,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.027
1789105273,6,r20,20.0,57.542,64.33,64.933,4.444,95.556,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.03
1789105274,7,r20,19.995,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.03
1789105275,8,r20,20.01,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,1.001,0.0,0.0,0.99,0.03
1789105276,9,r20,20.005,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,1.25,0.0,0.0,0.99,0.028
1789105277,10,r20,20.01,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.251,0.0,0.0,0.99,0.03
1789105278,11,r20,20.005,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,1.25,0.0,0.0,0.99,0.03
1789105279,12,r20,19.995,57.5,64.25,64.85,5.556,95.0,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.03
1789105280,13,r20,20.005,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,0.75,0.0,0.0,0.99,0.03
1789105281,14,r20,20.0,57.542,64.33,64.933,5.556,94.444,1.0,1.0,1.0,0.75,0.0,0.0,0.99,0.027
1789105282,15,r20,20.005,57.542,64.33,64.933,5.556,94.444,2.0,0.0,0.0,1.0,0.25,0.0,0.99,0.028
1789105283,16,r20,20.0,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.25,0.0,0.99,0.027
1789105284,17,r20,19.995,57.542,64.33,64.933,5.0,95.0,2.0,0.0,0.0,1.0,0.25,0.0,0.99,0.03
1789105285,18,r20,20.0,57.542,64.33,64.933,6.111,93.889,2.0,0.0,0.0,1.75,0.25,0.0,0.99,0.03
1789105286,19,r20,19.995,57.542,64.33,64.933,6.111,93.889,2.0,0.0,0.0,1.5,0.0,0.0,0.99,0.03
1789105287,20,r20,20.005,57.542,64.33,64.933,6.667,93.333,2.0,0.0,0.0,2.001,0.0,0.0,0.99,0.03
1789105288,21,r20,20.0,57.542,64.33,64.933,6.667,93.333,2.0,0.0,0.0,1.75,0.0,0.0,1.4,0.027
1789105289,22,r20,19.995,57.542,64.33,64.933,7.222,92.778,2.0,0.0,0.0,1.25,0.0,0.0,3.8,0.027
1789105290,23,r20,20.0,57.5,64.25,64.85,6.111,93.889,2.0,0.0,0.0,1.0,0.0,0.0,4.28,0.028
1789105291,24,r20,19.995,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,0.5,0.0,0.0,4.28,0.027
1789105292,25,r20,20.0,57.5,64.25,64.85,6.111,93.889,2.0,0.0,0.0,0.75,0.0,0.0,4.407,0.03
1789105293,26,r20,20.0,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,0.25,0.0,0.0,4.407,0.027
1789105294,27,r20,20.005,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.25,0.0,0.0,4.491,0.028
1789105295,28,r20,20.005,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.25,0.0,0.0,4.555,0.028
1789105296,29,r20,20.0,57.5,64.25,64.85,1.667,98.333,2.0,0.0,0.0,0.0,0.0,0.0,4.644,0.027
1789105297,30,r20,20.0,57.5,64.25,64.85,1.667,98.333,2.0,0.0,0.0,0.0,0.0,0.0,4.644,0.03
1789105298,31,r20,19.995,57.542,64.33,64.933,1.111,98.889,2.0,0.0,0.0,0.25,0.25,0.0,4.644,0.03
1789105299,32,r20,19.995,57.542,64.33,64.933,1.667,98.333,2.0,0.0,0.0,0.5,0.25,0.0,4.644,0.032
1789105300,33,r20,20.0,57.542,64.33,64.933,1.667,98.333,2.0,0.0,0.0,0.5,0.25,0.0,4.644,0.03
1789105301,34,r20,20.0,57.542,64.33,64.933,1.667,98.333,2.0,0.0,0.0,0.75,0.25,0.0,4.6,0.03
1789105302,35,r20,20.005,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.75,0.0,0.0,4.6,0.03
1789105303,36,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,1.0,0.0,0.0,4.55,0.027
1789105304,37,r20,20.005,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,1.0,0.0,0.0,4.486,0.03
1789105305,38,r20,20.01,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,1.001,0.0,0.0,4.28,0.028
1789105306,39,r20,20.005,57.542,64.33,64.933,3.889,96.111,2.0,0.0,0.0,0.75,0.0,0.0,4.1,0.028
1789105307,40,r20,20.01,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.25,0.0,0.0,3.2,0.028
1789105308,41,r20,20.005,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.028
1789105309,42,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.0,0.0,0.0,0.99,0.027
1789105310,43,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.03
1789105311,44,r20,20.0,57.5,64.25,64.85,2.778,97.222,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.028
1789105312,45,r20,20.0,57.5,64.25,64.85,1.667,98.333,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.028
1789105313,46,r20,20.0,57.5,64.25,64.85,1.667,98.333,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.028
1789105314,47,r20,20.0,57.5,64.25,64.85,1.111,98.889,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.028
1789105315,48,r20,20.0,57.542,64.33,64.933,1.667,98.333,1.0,1.0,1.0,0.0,0.0,0.0,3.2,0.03
1789105316,49,r20,20.0,57.542,64.33,64.933,1.667,98.333,2.0,0.0,0.0,0.25,0.25,0.0,3.8,0.027
1789105317,50,r20,20.0,57.542,64.33,64.933,2.778,97.222,2.0,0.0,0.0,0.75,0.25,0.0,3.8,0.03
1789105318,51,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,1.0,0.25,0.0,4.28,0.027
1789105319,52,r20,20.0,57.542,64.33,64.933,2.778,97.222,2.0,0.0,0.0,1.0,0.25,0.0,4.486,0.027
1789105320,53,r20,20.0,57.542,64.33,64.933,2.778,97.222,2.0,0.0,0.0,1.0,0.0,0.0,4.55,0.032
1789105321,54,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,0.75,0.0,0.0,4.64,0.032
1789105322,55,r20,20.0,57.542,64.33,64.933,3.333,96.667,2.0,0.0,0.0,0.5,0.0,0.0,4.7,0.03
