t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789104099,0,r20,20.25,57.895,65.0,131.0,0.506,94.475,0.0,0.0,0.0,1.5,0.0,0.0,4.64,0.032
1789104100,1,r20,20.26,57.849,64.913,122.0,0.506,95.028,0.0,0.0,0.0,1.501,0.0,0.0,11.65,0.035
1789104101,2,r20,20.0,57.849,64.913,122.0,0.506,95.028,0.0,0.0,0.0,1.0,0.0,0.0,11.65,0.03
1789104102,3,r20,20.0,57.803,64.827,122.0,0.506,95.58,0.0,0.0,0.0,0.75,0.0,0.0,11.65,0.03
1789104103,4,r20,20.0,57.759,64.741,122.0,0.506,96.133,0.0,0.0,0.0,0.25,0.0,0.0,11.65,0.033
1789104104,5,r20,20.0,57.895,65.0,131.0,0.506,94.475,0.0,0.0,0.0,0.75,0.0,0.0,11.65,0.03
1789104105,6,r20,20.005,57.892,64.996,130.95,0.0,95.0,0.0,0.0,0.0,0.75,0.0,0.0,11.65,0.03
1789104106,7,r20,20.0,57.895,65.0,134.667,0.0,95.0,0.0,0.0,0.0,1.25,0.0,0.0,11.65,0.03
1789104107,8,r20,20.005,57.849,64.913,134.667,0.0,95.556,0.0,0.0,0.0,1.25,0.0,0.0,11.65,0.028
1789104108,9,r20,20.005,57.803,64.827,132.0,0.0,96.111,0.0,0.0,0.0,0.75,0.0,0.0,11.65,0.03
1789104109,10,r20,20.0,57.803,64.827,144.0,0.0,96.111,0.0,0.0,0.0,1.0,0.0,0.0,4.6,0.032
1789104110,11,r20,20.005,57.803,64.827,144.0,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,4.486,0.03
1789104111,12,r20,20.0,57.803,64.827,144.0,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,4.55,0.032
1789104112,13,r20,19.995,57.849,64.913,144.0,0.0,95.556,0.0,0.0,0.0,0.5,0.0,0.0,4.4,0.027
1789104113,14,r20,20.0,57.714,64.657,144.0,0.0,97.222,0.0,0.0,0.0,0.25,0.0,0.0,4.28,0.027
1789104114,15,r20,19.995,57.759,64.741,144.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.4,0.03
1789104115,16,r20,20.0,57.67,64.574,124.0,0.0,97.778,0.0,0.0,0.0,0.5,0.0,0.0,4.55,0.028
1789104116,17,r20,20.0,57.714,64.657,124.0,0.0,96.667,0.0,1.0,1.0,0.5,0.0,0.0,4.486,0.03
1789104117,18,r20,20.005,57.803,64.827,132.0,0.0,96.111,0.0,0.0,0.0,1.25,0.0,0.0,4.486,0.03
1789104118,19,r20,20.005,57.759,64.741,122.0,0.0,96.667,0.0,0.0,0.0,1.0,0.0,0.0,4.6,0.03
1789104119,20,r20,20.0,57.803,64.827,122.0,0.0,96.111,0.0,0.0,0.0,1.25,0.0,0.0,4.6,0.032
1789104120,21,r20,20.005,57.849,64.913,122.0,0.0,95.556,0.0,0.0,0.0,1.25,0.0,0.0,4.6,0.033
1789104121,22,r20,19.995,57.803,64.827,117.333,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,4.64,0.03
1789104122,23,r20,19.995,57.803,64.827,117.333,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,4.673,0.03
1789104123,24,r20,20.0,57.803,64.827,117.333,0.0,96.111,0.0,0.0,0.0,0.5,0.0,0.0,4.673,0.025
1789104124,25,r20,20.0,57.895,65.0,122.0,0.0,95.0,0.0,0.0,0.0,0.75,0.0,0.0,4.6,0.027
1789104125,26,r20,20.0,57.849,64.913,122.0,0.0,96.111,0.0,0.0,0.0,0.75,0.0,0.0,4.6,0.03
1789104126,27,r20,20.005,57.714,64.657,116.0,0.0,97.222,0.0,0.0,0.0,0.75,0.0,0.0,4.6,0.03
1789104127,28,r20,20.0,57.759,64.741,116.8,0.0,96.667,0.0,0.0,0.0,0.75,0.0,0.0,4.55,0.033
1789104128,29,r20,20.0,57.759,64.741,124.0,0.0,96.667,0.0,0.0,0.0,0.5,0.0,0.0,4.6,0.03
