t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789175262,0,r20,20.0,57.542,64.33,64.933,6.667,93.333,2.0,0.0,0.0,1.0,0.0,0.0,0.99,0.027
1789175263,1,r20,20.0,57.5,64.25,64.85,5.556,94.444,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789175264,2,r20,19.995,57.5,64.25,64.85,5.0,95.0,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789175265,3,r20,20.005,57.5,64.25,64.85,4.444,95.556,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.03
1789175266,4,r20,20.0,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.25,0.0,0.0,0.99,0.03
1789175267,5,r20,20.005,57.5,64.25,64.85,3.333,96.667,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.028
1789175268,6,r20,20.01,57.5,64.25,64.85,2.222,97.778,2.0,0.0,0.0,0.5,0.0,0.0,0.99,0.025
1789175269,7,r20,19.75,57.5,64.25,64.85,2.235,97.222,1.0,1.0,1.0,0.25,0.0,0.0,0.99,0.03
1789175270,8,r20,20.005,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.25,0.0,1.4,0.03
1789175271,9,r20,20.005,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.25,0.0,3.2,0.03
1789175272,10,r20,19.995,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.25,0.0,3.8,0.032
1789175273,11,r20,20.25,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.25,0.0,4.1,0.027
1789175274,12,r20,20.005,57.542,64.33,64.933,1.667,98.333,2.0,0.0,0.0,0.25,0.0,0.0,4.1,0.028
1789175275,13,r20,20.0,57.542,64.33,64.933,2.222,97.222,2.0,0.0,0.0,0.5,0.0,0.0,4.1,0.028
1789175276,14,r20,20.0,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.0,0.0,4.4,0.027
1789175277,15,r20,20.005,57.542,64.33,64.933,2.222,97.778,2.0,0.0,0.0,0.5,0.0,0.0,4.486,0.03
1789175278,16,r20,20.0,57.542,64.329,64.933,2.762,97.778,2.0,0.0,0.0,0.75,0.0,0.0,4.55,0.03
1789175279,17,r20,19.995,57.5,64.25,64.85,2.222,97.778,2.0,0.0,0.0,0.25,0.0,0.0,4.55,0.03
1789175280,18,r20,20.005,57.5,64.25,64.85,2.222,97.778,2.0,0.0,0.0,0.5,0.0,0.0,4.55,0.03
