t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789174086,0,r20,20.25,57.939,89.5,161.425,0.0,94.475,0.0,0.0,0.0,1.25,0.0,0.0,4.4,0.03
1789174087,1,r20,20.0,57.939,89.5,154.6,0.0,94.475,0.0,0.0,0.0,1.75,0.0,0.0,4.28,0.035
1789174088,2,r20,19.995,57.892,64.996,151.9,0.0,95.028,0.0,0.0,0.0,1.0,0.0,0.0,4.1,0.032
1789174089,3,r20,20.005,57.892,64.996,151.9,0.0,95.028,0.0,0.0,0.0,1.0,0.0,0.0,3.8,0.033
1789174090,4,r20,19.75,57.941,106.667,152.0,0.0,93.923,0.0,0.0,0.0,1.5,0.0,0.0,3.2,0.033
1789174091,5,r20,19.995,58.08,115.8,154.6,0.0,92.818,0.0,0.0,0.0,1.5,0.0,0.0,4.1,0.03
1789174092,6,r20,20.0,58.133,120.0,154.667,0.0,92.222,0.0,0.0,0.0,1.75,0.0,0.0,4.28,0.03
1789174093,7,r20,20.0,58.036,112.0,154.667,0.0,93.333,0.0,0.0,0.0,1.75,0.0,0.0,4.28,0.03
1789174094,8,r20,20.25,58.036,112.0,154.667,0.0,93.333,0.0,0.0,0.0,1.25,0.0,0.0,4.4,0.032
1789174095,9,r20,20.0,58.084,113.333,148.0,0.0,92.778,0.0,0.0,0.0,1.25,0.0,0.0,4.486,0.032
1789174096,10,r20,20.005,58.036,110.0,142.0,0.0,93.333,0.0,0.0,0.0,1.25,0.0,0.0,4.6,0.035
1789174097,11,r20,20.0,58.036,110.0,142.0,0.0,93.333,0.0,0.0,0.0,1.0,0.0,0.0,4.64,0.035
1789174098,12,r20,20.005,58.133,116.0,152.0,0.556,92.222,0.0,0.0,0.0,1.5,0.0,0.0,4.64,0.035
1789174099,13,r20,20.01,58.08,109.833,151.9,0.552,93.333,0.0,0.0,0.0,1.251,0.0,0.0,4.6,0.035
1789174100,14,r20,20.005,58.036,110.0,144.0,0.556,93.333,0.0,0.0,0.0,1.5,0.0,0.0,4.486,0.035
1789174101,15,r20,20.005,57.988,105.0,144.0,0.556,93.889,0.0,0.0,0.0,1.5,0.0,0.0,4.4,0.035
1789174102,16,r20,20.0,57.988,104.0,136.0,0.556,93.889,0.0,0.0,0.0,1.0,0.0,0.0,4.6,0.03
1789174103,17,r20,20.0,57.988,105.0,144.0,0.556,93.889,0.0,0.0,0.0,1.0,0.0,0.0,4.604,0.033
1789174104,18,r20,20.0,57.895,65.0,144.0,0.556,95.0,0.0,0.0,0.0,0.5,0.0,0.0,4.555,0.028
1789174105,19,r20,20.0,57.895,65.0,144.0,0.556,95.0,0.0,0.0,0.0,0.75,0.0,0.0,4.491,0.03
