t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789173069,0,sana,200.0,57.886,64.982,154.667,0.222,95.111,0.0,1.0,1.0,11.0,0.0,0.0,4.55,0.158
1789173070,1,sana,200.8,57.853,64.921,152.0,0.167,95.556,0.0,0.0,0.0,9.502,0.0,0.0,4.55,0.163
1789173071,2,sana,200.8,57.89,64.991,151.987,0.167,95.167,0.0,0.0,0.0,9.002,0.0,0.0,4.486,0.16
1789173072,3,sana,199.8,57.9,80.083,150.012,0.111,94.889,0.0,2.0,2.0,8.752,0.0,0.0,4.486,0.16
1789173073,4,sana,200.25,57.894,64.999,150.565,0.111,95.222,0.0,1.0,1.0,8.5,0.0,0.0,4.486,0.16
1789173074,5,sana,199.75,57.886,64.982,146.667,0.056,95.111,0.0,0.0,0.0,9.5,0.0,0.0,4.486,0.155
1789173075,6,sana,199.95,57.908,85.7,144.963,0.055,94.944,0.0,1.0,1.0,10.497,0.0,0.0,4.486,0.157
1789173076,7,sana,200.2,57.88,64.972,142.627,0.0,95.333,0.0,0.0,0.0,9.998,0.0,0.0,4.486,0.152
1789173077,8,sana,199.85,57.854,64.922,139.293,0.0,95.444,0.0,1.0,1.0,9.505,0.0,0.0,4.486,0.155
1789173078,9,sana,200.25,57.844,64.904,139.993,0.0,95.667,0.0,1.0,1.0,8.5,0.0,0.0,4.486,0.158
1789173079,10,sana,199.55,57.849,64.914,140.031,0.056,95.389,0.0,1.0,1.0,7.252,0.0,0.0,4.28,0.153
1789173080,11,sana,199.85,57.849,64.913,143.092,0.056,95.5,0.0,0.0,0.0,8.004,0.0,0.0,4.28,0.155
1789173081,12,sana,200.2,57.844,64.904,143.062,0.056,95.722,0.0,0.0,0.0,8.248,0.0,0.0,4.28,0.155
1789173082,13,sana,200.0,57.84,64.895,140.0,0.056,95.611,0.0,2.0,2.0,8.5,0.0,0.0,4.28,0.155
1789173083,14,sana,200.3,57.849,64.913,143.75,0.111,95.556,0.0,0.0,0.0,9.002,0.0,0.0,4.28,0.155
1789173084,15,sana,199.95,57.799,64.818,142.512,0.111,96.167,0.0,1.0,1.0,7.498,0.0,0.0,4.1,0.152
1789173085,16,sana,200.05,57.79,64.801,141.429,0.167,96.222,0.0,1.0,1.0,7.002,0.0,0.0,3.8,0.158
1789173086,17,sana,200.0,57.817,64.852,138.878,0.167,95.944,0.0,1.0,1.0,8.25,0.0,0.0,4.1,0.163
1789173087,18,sana,200.2,57.831,64.878,135.556,0.167,95.778,0.0,1.0,1.0,7.498,0.0,0.0,4.4,0.162
1789173088,19,sana,200.05,57.835,64.886,135.99,0.167,95.889,0.0,0.0,0.0,8.752,0.0,0.0,4.4,0.168
1789173089,20,sana,200.0,57.84,64.895,134.992,0.167,95.722,0.0,1.0,1.0,10.25,0.0,0.0,4.407,0.165
1789173090,21,sana,199.3,57.836,64.888,134.837,0.167,95.556,0.0,1.0,1.0,9.752,0.0,0.0,4.491,0.153
1789173091,22,sana,200.0,57.844,64.904,134.815,0.167,95.722,0.0,1.0,1.0,9.0,0.0,0.0,4.491,0.155
1789173092,23,sana,199.95,57.835,64.887,133.077,0.111,95.778,0.0,0.0,0.0,9.248,0.0,0.0,4.491,0.15
1789173093,24,sana,199.95,57.849,64.912,134.66,0.111,95.667,0.0,0.0,0.0,8.248,0.0,0.0,4.407,0.147
1789173094,25,sana,200.75,57.84,64.895,134.483,0.056,95.778,0.0,0.0,0.0,6.5,0.0,0.0,4.555,0.15
1789173095,26,sana,199.75,57.844,64.905,135.158,0.056,95.667,0.0,0.0,0.0,8.5,0.0,0.0,4.407,0.147
1789173096,27,sana,200.05,57.831,64.879,135.764,0.056,95.778,0.0,0.0,0.0,7.752,0.0,0.0,4.288,0.143
1789173097,28,sana,199.8,57.867,64.948,137.838,0.0,95.333,0.0,0.0,0.0,10.003,0.0,0.0,4.288,0.15
1789173098,29,sana,199.75,57.849,64.913,139.4,0.0,95.556,0.0,0.0,0.0,11.25,0.0,0.0,4.1,0.152
1789173099,30,sana,200.25,57.853,64.92,141.617,0.0,95.722,0.0,0.0,0.0,9.5,0.0,0.0,3.8,0.153
1789173100,31,sana,200.0,57.831,64.879,139.293,0.0,95.778,0.0,0.0,0.0,9.0,0.0,0.0,3.8,0.155
1789173101,32,sana,199.95,57.812,64.844,138.462,0.0,96.0,0.0,0.0,0.0,6.248,0.0,0.0,3.8,0.147
1789173102,33,sana,199.75,57.813,64.844,137.616,0.0,95.889,0.0,0.0,0.0,6.5,0.0,0.0,3.8,0.147
1789173103,34,sana,199.8,57.854,64.922,139.293,0.0,95.444,0.0,0.0,0.0,7.502,0.0,0.0,1.4,0.15
1789173104,35,sana,200.25,57.812,64.843,139.122,0.0,96.056,0.0,0.0,0.0,7.0,0.0,0.0,1.4,0.153
1789173105,36,sana,199.5,57.813,64.844,141.36,0.0,95.944,0.0,0.0,0.0,8.0,0.0,0.0,0.99,0.152
