t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789172212,0,sana,200.05,57.79,64.801,134.992,0.056,96.389,0.0,0.0,0.0,7.752,0.0,0.0,4.28,0.165
1789172213,1,sana,200.0,57.772,64.767,133.333,0.056,96.611,0.0,0.0,0.0,6.25,0.0,0.0,4.1,0.167
1789172214,2,sana,200.0,57.754,64.733,131.0,0.0,96.778,0.0,0.0,0.0,5.5,0.0,0.0,4.1,0.167
1789172215,3,sana,199.95,57.759,64.741,132.0,0.056,96.667,0.0,1.0,1.0,4.999,0.0,0.0,3.8,0.167
1789172216,4,sana,199.95,57.763,64.75,132.222,0.056,96.609,0.0,1.0,1.0,5.499,0.0,0.0,3.2,0.165
1789172217,5,sana,200.05,57.754,64.733,134.118,0.056,96.776,0.0,0.0,0.0,5.751,0.0,0.0,3.2,0.165
1789172218,6,sana,199.75,57.754,64.733,133.01,0.056,96.722,0.0,1.0,1.0,7.5,0.0,0.0,3.2,0.167
1789172219,7,sana,200.05,57.759,64.741,134.0,0.056,96.667,0.0,1.0,1.0,8.252,0.0,0.0,3.2,0.163
1789172220,8,sana,200.0,57.75,64.724,133.684,0.056,96.833,0.0,0.0,0.0,7.0,0.0,0.0,1.4,0.163
1789172221,9,sana,200.0,57.728,64.682,131.765,0.056,96.944,0.0,2.0,2.0,6.5,0.0,0.0,3.2,0.165
1789172222,10,sana,200.05,57.745,64.716,135.567,0.056,96.778,0.0,0.0,0.0,6.002,0.0,0.0,3.2,0.17
1789172223,11,sana,199.95,57.781,64.784,146.0,0.167,96.389,0.0,0.0,0.0,6.998,0.0,0.0,3.8,0.177
1789172224,12,sana,200.0,57.799,64.818,145.455,0.111,96.222,0.0,0.0,0.0,7.75,0.0,0.0,4.1,0.18
1789172225,13,sana,198.95,57.768,64.76,142.08,0.167,96.222,0.0,2.0,2.0,8.998,0.0,0.0,4.28,0.18
1789172226,14,sana,200.25,57.812,64.844,143.636,0.222,96.0,0.0,0.0,0.0,9.25,0.0,0.0,4.1,0.173
1789172227,15,sana,200.0,57.799,64.818,146.65,0.278,96.278,0.0,0.0,0.0,8.25,0.0,0.0,4.1,0.167
1789172228,16,sana,200.25,57.772,64.767,143.98,0.278,96.557,0.0,0.0,0.0,6.75,0.0,0.0,4.1,0.17
1789172229,17,sana,201.0,57.772,64.767,144.444,0.389,96.5,0.0,0.0,0.0,6.0,0.0,0.0,4.4,0.168
1789172230,18,sana,200.0,57.785,64.792,150.0,0.389,96.444,0.0,0.0,0.0,5.0,0.0,0.0,4.28,0.167
