t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789615951,0,sana,200.35,57.812,64.843,138.504,0.055,96.111,0.0,0.0,0.0,8.754,0.0,0.0,3.2,0.17
1789615952,1,sana,200.1,57.803,64.827,137.857,0.056,96.111,0.0,0.0,0.0,9.005,0.0,0.0,3.8,0.17
1789615953,2,sana,200.25,57.817,64.852,138.667,0.056,95.889,0.0,2.0,2.0,9.5,0.0,0.0,3.2,0.177
1789615954,3,sana,200.05,57.835,64.887,139.394,0.111,95.722,0.0,1.0,1.0,9.502,0.0,0.0,3.2,0.175
1789615955,4,sana,199.95,57.83,64.878,139.369,0.111,95.833,0.0,0.0,0.0,8.748,0.0,0.0,3.2,0.17
1789615956,5,sana,200.2,57.821,64.861,139.369,0.111,95.833,0.0,1.0,1.0,7.498,0.0,0.0,3.8,0.167
1789615957,6,sana,199.8,57.799,64.818,139.333,0.111,96.111,0.0,1.0,1.0,6.502,0.0,0.0,3.8,0.163
1789615958,7,sana,199.75,57.826,64.87,140.0,0.111,95.833,0.0,0.0,0.0,6.75,0.0,0.0,4.1,0.17
1789615959,8,sana,200.0,57.849,64.913,138.824,0.056,95.556,0.0,1.0,1.0,8.75,0.0,0.0,4.28,0.175
1789615960,9,sana,199.8,57.831,64.879,137.582,0.111,95.722,0.0,0.0,0.0,9.252,0.0,0.0,4.4,0.178
1789615961,10,sana,200.25,57.812,64.843,136.123,0.111,96.056,0.0,0.0,0.0,9.25,0.0,0.0,4.28,0.175
1789615962,11,sana,200.2,57.812,64.844,136.0,0.111,96.111,0.0,0.0,0.0,8.748,0.0,0.0,4.1,0.165
1789615963,12,sana,199.8,57.804,64.827,135.392,0.056,96.167,0.0,0.0,0.0,7.002,0.0,0.0,4.1,0.16
1789615964,13,sana,199.45,57.795,64.81,135.224,0.056,96.111,0.0,0.0,0.0,6.998,0.0,0.0,4.1,0.16
1789615965,14,sana,200.0,57.835,64.887,136.923,0.056,95.889,0.0,0.0,0.0,8.5,0.0,0.0,3.8,0.163
1789615966,15,sana,199.25,57.845,64.905,137.255,0.056,95.611,0.0,1.0,1.0,8.25,0.0,0.0,3.8,0.165
1789615967,16,sana,200.2,57.826,64.869,136.915,0.111,95.833,0.0,2.0,2.0,7.498,0.0,0.0,3.8,0.167
1789615968,17,sana,200.75,57.79,64.801,135.455,0.111,96.389,0.0,0.0,0.0,7.75,0.0,0.0,3.8,0.165
1789615969,18,sana,199.95,57.808,64.835,136.99,0.056,96.111,0.0,1.0,1.0,7.748,0.0,0.0,4.4,0.17
1789615970,19,sana,200.75,57.812,64.844,138.095,0.056,96.056,0.0,0.0,0.0,7.25,0.0,0.0,4.4,0.167
1789615971,20,sana,200.05,57.794,64.809,138.095,0.056,96.222,0.0,1.0,1.0,7.252,0.0,0.0,4.4,0.165
1789615972,21,sana,199.75,57.785,64.792,138.333,0.111,96.278,0.0,1.0,1.0,7.0,0.0,0.0,4.4,0.165
1789615973,22,sana,199.75,57.781,64.783,139.113,0.111,96.556,0.0,0.0,0.0,5.25,0.0,0.0,4.4,0.16
1789615974,23,sana,200.0,57.741,64.708,138.095,0.111,96.833,0.0,1.0,1.0,4.75,0.0,0.0,4.486,0.157
1789615975,24,sana,200.0,57.727,64.682,137.863,0.111,97.222,0.0,0.0,0.0,4.25,0.0,0.0,4.55,0.157
1789615976,25,sana,200.05,57.719,64.666,136.2,0.111,97.222,0.0,1.0,1.0,3.751,0.0,0.0,4.486,0.16
1789615977,26,sana,200.25,57.732,64.691,136.522,0.111,97.0,0.0,0.0,0.0,5.75,0.0,0.0,4.486,0.158
1789615978,27,sana,200.0,57.71,64.649,136.364,0.167,97.333,0.0,0.0,0.0,6.0,0.0,0.0,3.8,0.16
1789615979,28,sana,200.05,57.688,64.607,134.737,0.167,97.556,0.0,0.0,0.0,5.501,0.0,0.0,3.8,0.158
1789615980,29,sana,200.3,57.679,64.59,134.118,0.167,97.722,0.0,0.0,0.0,5.001,0.0,0.0,4.28,0.155
1789615981,30,sana,200.15,57.683,64.599,131.753,0.111,97.722,0.0,0.0,0.0,4.003,0.0,0.0,4.28,0.155
1789615982,31,sana,199.85,57.705,64.64,132.632,0.111,97.278,0.0,0.0,0.0,5.253,0.0,0.0,4.4,0.163
1789615983,32,sana,199.5,57.719,64.666,131.02,0.111,97.111,0.0,0.0,0.0,7.0,0.0,0.0,4.28,0.167
1789615984,33,sana,200.05,57.754,64.733,134.783,0.167,96.722,0.0,0.0,0.0,8.502,0.0,0.0,4.1,0.173
