t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789615096,0,sana,199.8,57.817,64.853,137.248,0.056,95.833,0.0,1.0,1.0,9.002,0.0,0.0,4.4,0.175
1789615097,1,sana,200.05,57.84,64.895,138.667,0.056,95.611,0.0,1.0,1.0,8.502,0.0,0.0,4.1,0.17
1789615098,2,sana,200.0,57.853,64.921,139.333,0.0,95.609,0.0,0.0,0.0,9.0,0.0,0.0,4.1,0.178
1789615099,3,sana,200.0,57.853,64.921,137.327,0.0,95.611,0.0,0.0,0.0,8.0,0.0,0.0,4.1,0.173
1789615100,4,sana,200.2,57.817,64.852,136.414,0.0,96.058,0.0,1.0,1.0,6.998,0.0,0.0,4.1,0.167
1789615101,5,sana,199.95,57.812,64.844,136.8,0.0,96.056,0.0,1.0,1.0,6.748,0.0,0.0,3.8,0.172
1789615102,6,sana,200.0,57.799,64.818,137.273,0.0,96.222,0.0,0.0,0.0,6.0,0.0,0.0,3.2,0.165
1789615103,7,sana,200.0,57.808,64.835,138.095,0.056,96.111,0.0,1.0,1.0,7.0,0.0,0.0,3.2,0.165
1789615104,8,sana,199.25,57.799,64.819,138.124,0.056,96.056,0.0,2.0,2.0,8.0,0.0,0.0,1.4,0.168
1789615105,9,sana,199.75,57.817,64.852,139.091,0.056,96.056,0.0,0.0,0.0,9.25,0.0,0.0,0.99,0.17
1789615106,10,sana,200.0,57.808,64.835,140.0,0.056,96.056,0.0,2.0,2.0,9.0,0.0,0.0,0.99,0.165
1789615107,11,sana,200.0,57.799,64.818,140.0,0.056,96.167,0.0,0.0,0.0,9.0,0.0,0.0,1.4,0.165
1789615108,12,sana,200.5,57.822,64.861,145.012,0.111,95.889,0.0,1.0,1.0,9.0,0.0,0.0,3.2,0.167
1789615109,13,sana,200.05,57.84,64.896,147.071,0.111,95.775,0.0,0.0,0.0,8.252,0.0,0.0,3.2,0.163
1789615110,14,sana,200.05,57.849,64.913,145.333,0.111,95.667,0.0,0.0,0.0,9.002,0.0,0.0,3.8,0.168
1789615111,15,sana,199.8,57.844,64.905,144.3,0.111,95.556,0.0,1.0,1.0,8.502,0.0,0.0,3.8,0.168
1789615112,16,sana,200.05,57.849,64.913,144.013,0.056,95.611,0.0,0.0,0.0,8.752,0.0,0.0,4.28,0.165
1789615113,17,sana,200.0,57.83,64.877,144.975,0.055,95.944,0.0,1.0,1.0,7.25,0.0,0.0,4.28,0.165
1789615114,18,sana,200.05,57.803,64.826,143.062,0.111,96.222,0.0,0.0,0.0,6.502,0.0,0.0,4.4,0.163
1789615115,19,sana,200.0,57.817,64.853,142.871,0.167,96.056,0.0,0.0,0.0,7.5,0.0,0.0,4.486,0.165
1789615116,20,sana,200.0,57.804,64.827,142.871,0.167,96.056,0.0,1.0,1.0,6.5,0.0,0.0,4.4,0.162
1789615117,21,sana,200.0,57.79,64.801,141.333,0.111,96.222,0.0,1.0,1.0,7.5,0.0,0.0,4.4,0.165
1789615118,22,sana,199.95,57.785,64.792,137.767,0.111,96.389,0.0,0.0,0.0,7.498,0.0,0.0,4.4,0.165
1789615119,23,sana,200.0,57.763,64.75,140.013,0.111,96.556,0.0,0.0,0.0,6.25,0.0,0.0,4.4,0.165
1789615120,24,sana,200.0,57.781,64.784,142.5,0.167,96.444,0.0,0.0,0.0,7.25,0.0,0.0,4.4,0.167
1789615121,25,sana,200.25,57.754,64.733,142.653,0.167,96.778,0.0,0.0,0.0,6.25,0.0,0.0,4.1,0.165
1789615122,26,sana,200.0,57.741,64.707,139.985,0.167,96.944,0.0,0.0,0.0,5.0,0.0,0.0,4.1,0.162
1789615123,27,sana,200.0,57.759,64.742,141.443,0.111,96.611,0.0,0.0,0.0,6.25,0.0,0.0,4.1,0.162
1789615124,28,sana,200.25,57.767,64.758,142.843,0.167,96.611,0.0,0.0,0.0,6.5,0.0,0.0,3.8,0.16
1789615125,29,sana,200.0,57.79,64.801,145.7,0.333,96.389,0.0,0.0,0.0,8.5,0.0,0.0,4.28,0.168
1789615126,30,sana,199.75,57.776,64.775,143.333,0.333,96.444,0.0,2.0,2.0,9.25,0.0,0.0,4.4,0.17
1789615127,31,sana,200.0,57.786,64.793,147.157,0.334,96.167,0.0,1.0,1.0,9.25,0.0,0.0,4.4,0.17
1789615128,32,sana,199.75,57.803,64.827,147.143,0.333,96.111,0.0,0.0,0.0,8.5,0.0,0.0,4.28,0.172
1789615129,33,sana,199.75,57.808,64.835,147.143,0.278,96.056,0.0,0.0,0.0,8.5,0.0,0.0,4.28,0.167
1789615130,34,sana,200.25,57.826,64.87,148.75,0.333,95.889,0.0,0.0,0.0,9.0,0.0,0.0,4.28,0.173
1789615131,35,sana,200.0,57.858,64.931,150.537,0.334,95.444,0.0,0.0,0.0,8.5,0.0,0.0,4.28,0.173
1789615132,36,sana,200.25,57.84,64.895,150.516,0.389,95.778,0.0,0.0,0.0,7.75,0.0,0.0,4.4,0.173
1789615133,37,sana,200.25,57.822,64.861,150.0,0.278,95.944,0.0,0.0,0.0,7.0,0.0,0.0,4.4,0.173
1789615134,38,sana,199.75,57.795,64.81,148.247,0.111,96.222,0.0,0.0,0.0,7.0,0.0,0.0,4.4,0.17
1789615135,39,sana,199.75,57.799,64.818,150.6,0.167,96.167,0.0,1.0,1.0,6.25,0.0,0.0,4.4,0.168
1789615136,40,sana,200.0,57.84,64.895,149.4,0.167,95.891,0.0,0.0,0.0,9.0,0.0,0.0,4.486,0.17
1789615137,41,sana,199.75,57.817,64.852,147.143,0.167,95.947,0.0,0.0,0.0,8.5,0.0,0.0,4.55,0.168
1789615138,42,sana,200.0,57.799,64.818,148.571,0.222,96.222,0.0,0.0,0.0,8.5,0.0,0.0,4.6,0.167
1789615139,43,sana,200.1,57.808,64.836,146.7,0.222,95.944,0.0,0.0,0.0,9.755,0.0,0.0,4.6,0.173
1789615140,44,sana,200.1,57.781,64.784,144.422,0.222,96.389,0.0,1.0,1.0,5.753,0.0,0.0,4.6,0.168
1789615141,45,sana,200.1,57.781,64.784,140.029,0.167,96.333,0.0,0.0,0.0,6.003,0.0,0.0,4.486,0.17
1789615142,46,sana,199.8,57.786,64.793,142.267,0.167,96.167,0.0,1.0,1.0,7.002,0.0,0.0,4.486,0.173
1789615143,47,sana,200.5,57.808,64.835,141.98,0.222,96.111,0.0,0.0,0.0,6.25,0.0,0.0,4.28,0.17
1789615144,48,sana,199.75,57.812,64.843,139.082,0.167,95.947,0.0,2.0,2.0,8.25,0.0,0.0,3.8,0.17
1789615145,49,sana,200.2,57.768,64.758,138.571,0.167,96.498,0.0,0.0,0.0,8.248,0.0,0.0,4.1,0.167
