t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789176702,0,sana,200.0,85.065,164.246,184.591,2.108,49.056,0.0,3.0,3.0,108.5,0.0,0.0,3.2,0.322
1789176703,1,sana,199.5,83.125,163.697,184.259,1.946,49.417,0.0,8.0,8.0,105.5,0.0,0.0,3.8,0.325
1789176704,2,sana,200.7,82.346,164.93,184.493,2.168,49.333,0.0,6.0,6.0,102.224,0.0,0.0,3.8,0.32
1789176705,3,sana,200.5,83.864,163.245,184.249,2.053,49.056,0.0,7.0,7.0,100.75,0.0,0.0,3.8,0.315
1789176706,4,sana,201.2,83.75,162.194,183.857,1.942,48.889,0.0,9.0,9.0,96.226,0.0,0.0,3.8,0.307
1789176707,5,sana,200.75,85.714,161.953,183.857,1.998,48.5,0.0,7.0,7.0,100.5,0.0,0.0,3.2,0.308
1789176708,6,sana,199.9,85.464,161.995,183.867,2.001,48.556,0.0,6.0,6.0,103.828,0.0,0.0,3.2,0.308
1789176709,7,sana,199.85,85.106,161.096,183.557,1.996,48.889,0.0,4.0,4.0,104.802,0.0,0.0,3.2,0.31
1789176710,8,sana,199.4,85.0,159.993,182.891,1.832,49.0,0.0,7.0,7.0,103.327,0.0,0.0,3.2,0.31
1789176711,9,sana,200.4,82.209,159.559,182.488,1.664,49.389,0.0,7.0,7.0,103.077,0.0,0.0,3.2,0.31
1789176712,10,sana,200.55,81.646,159.979,183.71,1.941,49.75,0.0,6.0,6.0,100.275,0.0,0.0,1.4,0.305
1789176713,11,sana,199.0,83.69,159.199,183.582,1.892,48.833,0.0,10.0,10.0,99.75,0.0,0.0,1.4,0.303
1789176714,12,sana,199.25,88.974,159.211,183.429,1.837,48.167,0.0,5.0,5.0,104.75,0.0,0.0,3.8,0.308
1789176715,13,sana,199.7,84.286,159.438,183.582,1.781,48.944,0.0,10.0,10.0,98.975,0.0,0.0,4.1,0.3
1789176716,14,sana,199.7,83.521,158.872,183.575,1.723,49.278,0.0,9.0,9.0,101.725,0.0,0.0,4.28,0.325
1789176717,15,sana,201.0,83.797,158.403,183.242,1.609,49.278,0.0,5.0,5.0,103.0,0.0,0.0,4.28,0.322
1789176718,16,sana,201.05,83.766,158.26,183.246,1.61,49.278,0.0,4.0,4.0,99.275,0.0,0.0,4.28,0.318
1789176719,17,sana,199.3,85.769,158.228,183.731,1.836,48.778,0.0,8.0,8.0,104.026,0.0,0.0,4.4,0.373
1789176720,18,sana,199.75,83.151,157.923,183.582,1.836,49.222,0.0,8.0,9.0,103.5,0.0,0.0,4.55,0.378
1789176721,19,sana,200.05,85.479,156.667,182.703,1.611,48.722,0.0,8.0,8.0,102.026,0.0,0.0,4.486,0.39
1789176722,20,sana,199.75,87.105,156.615,182.483,1.552,48.778,0.0,10.0,10.0,102.0,0.0,0.0,4.55,0.395
1789176723,21,sana,200.45,81.408,156.446,183.243,1.776,49.5,0.0,11.0,11.0,100.225,0.0,0.0,4.4,0.345
1789176724,22,sana,200.25,85.692,156.741,183.418,1.89,49.333,0.0,4.0,4.0,100.25,0.0,0.0,4.4,0.33
1789176725,23,sana,199.95,82.676,157.384,183.411,1.888,49.444,0.0,8.0,8.0,99.225,0.0,0.0,4.28,0.325
1789176726,24,sana,199.45,82.333,156.979,182.903,1.835,49.556,0.0,7.0,7.0,98.975,0.0,0.0,4.28,0.327
1789176727,25,sana,200.5,82.712,157.143,182.703,1.778,49.611,0.0,7.0,7.0,99.5,0.0,0.0,4.28,0.345
1789176728,26,sana,200.3,64.925,157.021,182.487,1.719,50.278,0.0,9.0,9.0,98.025,0.0,0.0,4.28,0.365
1789176729,27,sana,200.5,64.836,157.524,182.879,1.718,50.944,0.0,4.0,4.0,97.5,0.0,0.0,5.5,0.377
1789176730,28,sana,200.25,64.762,158.385,183.081,1.779,51.056,0.0,5.0,5.0,96.5,0.0,0.0,5.5,0.368
1789176731,29,sana,198.5,64.892,159.049,183.096,1.671,50.222,0.0,7.0,7.0,100.75,0.0,0.0,5.5,0.357
1789176732,30,sana,199.7,64.786,158.873,182.059,1.389,50.916,0.0,5.0,6.0,99.225,0.0,0.0,5.5,0.322
1789176733,31,sana,199.5,64.746,159.531,182.699,1.61,50.778,0.0,7.0,7.0,99.25,0.0,0.0,5.5,0.303
1789176734,32,sana,200.05,64.876,159.125,182.707,1.668,50.444,0.0,8.0,8.0,101.275,0.0,0.0,5.5,0.31
1789176735,33,sana,201.5,64.666,159.82,183.239,1.83,51.167,0.0,7.0,7.0,94.0,0.0,0.0,5.5,0.295
1789176736,34,sana,200.8,64.619,160.805,182.891,1.721,51.222,0.0,7.0,7.0,96.524,0.0,0.0,5.5,0.303
1789176737,35,sana,200.5,64.852,161.475,182.492,1.609,50.833,0.0,4.0,4.0,99.75,0.0,0.0,5.5,0.303
1789176738,36,sana,200.05,64.843,160.566,182.299,1.558,50.333,0.0,6.0,6.0,97.524,0.0,0.0,4.1,0.298
1789176739,37,sana,199.35,64.958,160.276,182.063,1.501,50.111,0.0,6.0,6.0,101.051,0.0,0.0,3.8,0.305
1789176740,38,sana,199.3,64.723,159.967,182.686,1.663,51.0,0.0,10.0,10.0,101.025,0.0,0.0,4.1,0.303
1789176741,39,sana,199.1,80.455,161.403,183.418,1.89,49.917,0.0,6.0,6.0,101.801,0.0,0.0,3.8,0.308
1789176742,40,sana,200.25,83.056,162.143,183.571,1.889,49.389,0.0,5.0,5.0,104.5,0.0,0.0,3.8,0.312
1789176743,41,sana,201.0,64.893,160.763,182.691,1.608,50.444,0.0,7.0,7.0,100.25,0.0,0.0,3.2,0.305
1789176744,42,sana,199.75,64.876,160.325,182.907,1.669,50.389,0.0,8.0,8.0,97.25,0.0,0.0,1.4,0.305
1789176745,43,sana,201.5,64.942,160.995,183.881,1.887,50.0,0.0,7.0,7.0,96.5,0.0,0.0,1.4,0.302
1789176746,44,sana,200.5,64.835,162.4,184.375,2.056,50.389,0.0,7.0,7.0,94.0,0.0,0.0,4.1,0.31
1789176747,45,sana,200.25,64.901,163.404,184.588,2.217,50.5,0.0,7.0,7.0,96.75,0.0,0.0,4.1,0.315
1789176748,46,sana,201.0,64.755,163.981,184.796,2.273,51.056,0.0,4.0,4.0,98.75,0.0,0.0,4.28,0.312
1789176749,47,sana,198.75,64.884,163.75,184.375,2.0,50.389,0.0,10.0,10.0,99.25,0.0,0.0,4.1,0.313
1789176750,48,sana,198.5,64.69,163.03,184.606,2.002,51.0,0.0,9.0,9.0,99.0,0.0,0.0,4.28,0.295
1789176751,49,sana,197.75,64.625,162.147,184.15,1.784,51.222,0.0,4.0,4.0,101.75,0.0,0.0,4.28,0.3
1789176752,50,sana,199.75,80.345,162.899,184.378,1.89,49.944,0.0,6.0,6.0,105.0,0.0,0.0,4.28,0.305
1789176753,51,sana,199.95,83.407,162.87,184.372,1.888,49.278,0.0,6.0,6.0,102.724,0.0,0.0,4.4,0.302
1789176754,52,sana,201.0,82.941,161.132,183.71,1.726,49.667,0.0,4.0,4.0,104.0,0.0,0.0,4.4,0.31
1789176755,53,sana,202.0,80.698,159.161,183.077,1.556,49.889,0.0,8.0,8.0,99.5,0.0,0.0,3.8,0.303
1789176756,54,sana,199.5,64.967,158.715,182.303,1.281,50.111,0.0,5.0,5.0,96.25,0.0,0.0,3.8,0.298
1789176757,55,sana,199.75,64.983,158.51,182.303,1.336,49.889,0.0,8.0,8.0,94.5,0.0,0.0,3.2,0.305
1789176758,56,sana,200.0,64.762,158.062,182.054,1.388,51.056,0.0,7.0,7.0,93.0,0.0,0.0,3.2,0.3
1789176759,57,sana,200.25,64.636,157.596,180.965,1.328,51.5,0.0,7.0,7.0,92.5,0.0,0.0,1.4,0.295
1789176760,58,sana,199.75,64.803,157.433,181.271,1.441,50.75,0.0,7.0,7.0,97.75,0.0,0.0,1.4,0.32
1789176761,59,sana,200.05,64.461,157.863,182.072,1.558,51.833,0.0,6.0,6.0,97.274,0.0,0.0,3.813,0.308
1789176762,60,sana,200.0,64.477,156.962,180.995,1.333,51.611,0.0,8.0,8.0,99.0,0.0,0.0,3.813,0.313
1789176763,61,sana,199.5,64.493,156.605,180.995,1.277,51.778,0.0,5.0,5.0,102.0,0.0,0.0,3.813,0.315
1789176764,62,sana,200.75,64.618,157.675,181.567,1.334,51.389,0.0,4.0,4.0,98.25,0.0,0.0,3.813,0.297
1789176765,63,sana,200.0,64.571,157.646,181.823,1.445,51.444,0.0,5.0,5.0,98.0,0.0,0.0,3.813,0.297
1789176766,64,sana,199.25,64.811,157.352,181.823,1.334,50.611,0.0,9.0,9.0,99.25,0.0,0.0,3.813,0.297
1789176767,65,sana,198.5,80.37,157.39,182.307,1.448,49.722,0.0,6.0,6.0,102.75,0.0,0.0,3.813,0.31
1789176768,66,sana,200.4,84.245,157.705,182.504,1.445,48.889,0.0,8.0,8.0,102.577,0.0,0.0,3.813,0.315
1789176769,67,sana,199.85,82.674,158.123,183.081,1.278,49.361,0.0,7.0,7.0,107.054,0.0,0.0,4.11,0.348
1789176770,68,sana,200.35,84.286,158.102,182.703,1.222,49.111,0.0,4.0,4.0,104.802,0.0,0.0,3.2,0.348
1789176771,69,sana,201.601,81.392,159.177,183.717,1.499,49.889,0.0,7.0,7.0,98.299,0.0,0.0,1.4,0.335
1789176772,70,sana,199.0,80.972,159.497,183.731,1.558,49.556,0.0,8.0,8.0,98.5,0.0,0.0,1.4,0.323
1789176773,71,sana,200.5,81.644,159.64,184.007,1.724,49.667,0.0,5.0,5.0,96.75,0.0,0.0,1.4,0.297
1789176774,72,sana,200.5,84.11,159.987,184.369,1.942,49.222,0.0,7.0,7.0,96.5,0.0,0.0,1.4,0.295
1789176775,73,sana,199.05,82.703,161.395,184.706,2.222,49.444,0.0,9.0,9.0,101.025,0.0,0.0,1.4,0.303
1789176776,74,sana,200.2,80.811,161.851,184.478,2.162,50.111,0.0,6.0,6.0,100.975,0.0,0.0,1.4,0.305
1789176777,75,sana,200.0,64.778,163.345,184.715,2.226,51.0,0.0,9.0,9.0,96.5,0.0,0.0,3.2,0.3
1789176778,76,sana,200.0,64.698,162.234,184.697,2.385,51.278,0.0,6.0,6.0,98.5,0.0,0.0,3.2,0.3
1789176779,77,sana,200.45,64.555,163.245,184.997,2.443,51.5,0.0,9.0,9.0,94.226,0.0,0.0,3.8,0.295
1789176780,78,sana,200.0,64.594,163.223,184.911,2.392,51.389,0.0,7.0,7.0,92.5,0.0,0.0,3.8,0.295
1789176781,79,sana,201.0,64.494,162.853,184.892,2.327,52.056,0.0,7.0,7.0,94.25,0.0,0.0,4.1,0.295
1789176782,80,sana,200.05,64.447,161.029,184.597,1.999,52.056,0.0,4.0,4.0,93.273,0.0,0.0,4.28,0.295
1789176783,81,sana,201.0,64.651,159.648,183.853,1.719,51.278,0.0,8.0,8.0,98.5,0.0,0.0,4.4,0.317
1789176784,82,sana,199.55,64.722,160.577,183.25,1.444,51.027,0.0,6.0,6.0,103.526,0.0,0.0,4.4,0.333
1789176785,83,sana,199.5,64.579,161.387,183.564,1.498,51.333,0.0,6.0,6.0,104.0,0.0,0.0,4.4,0.333
1789176786,84,sana,199.2,64.917,159.085,182.711,1.279,50.333,0.0,5.0,5.0,104.974,0.0,0.0,4.28,0.335
1789176787,85,sana,199.5,64.843,158.89,182.281,1.277,50.611,0.0,5.0,5.0,102.0,0.0,0.0,4.1,0.312
1789176788,86,sana,200.95,65.0,158.266,181.553,1.221,50.028,0.0,7.0,7.0,98.475,0.0,0.0,3.8,0.302
1789176789,87,sana,199.75,82.603,157.452,180.352,0.999,49.556,0.0,5.0,5.0,101.0,0.0,0.0,4.1,0.32
1789176790,88,sana,201.05,82.286,157.515,180.7,1.112,49.444,0.0,8.0,8.0,97.024,0.0,0.0,4.1,0.325
1789176791,89,sana,200.0,84.085,158.081,181.285,1.388,49.028,0.0,7.0,7.0,99.5,0.0,0.0,4.1,0.33
1789176792,90,sana,200.05,81.333,159.0,182.068,1.557,49.667,0.0,7.0,7.0,99.775,0.0,0.0,3.8,0.348
1789176793,91,sana,200.05,64.959,159.28,182.701,1.664,50.75,0.0,4.0,4.0,98.025,0.0,0.0,11.5,0.345
1789176794,92,sana,200.0,64.95,159.32,182.714,1.667,50.611,0.0,9.0,9.0,98.25,0.0,0.0,11.5,0.338
1789176795,93,sana,199.5,64.852,159.841,183.617,1.831,51.0,0.0,5.0,5.0,96.75,0.0,0.0,11.5,0.34
1789176796,94,sana,199.7,64.762,159.288,183.112,1.723,51.138,0.0,5.0,5.0,95.226,0.0,0.0,11.5,0.325
1789176797,95,sana,199.7,64.819,159.716,183.297,1.724,51.14,0.0,7.0,7.0,96.226,0.0,0.0,11.5,0.315
1789176798,96,sana,199.55,64.811,160.016,183.784,1.89,51.194,0.0,3.0,3.0,99.775,0.0,0.0,11.5,0.31
1789176799,97,sana,200.1,64.917,161.5,184.077,1.78,50.611,0.0,8.0,8.0,98.799,0.0,0.0,11.5,0.308
1789176800,98,sana,200.35,64.901,160.849,183.462,1.5,50.862,0.0,8.0,8.0,100.3,0.0,0.0,11.5,0.31
1789176801,99,sana,200.6,64.754,160.9,183.929,1.444,51.5,0.0,4.0,4.0,99.05,0.0,0.0,11.5,0.31
1789176802,100,sana,200.0,64.925,159.856,184.134,1.612,50.278,0.0,7.0,7.0,100.75,0.0,0.0,4.1,0.318
1789176803,101,sana,199.5,64.851,159.591,184.502,1.726,50.5,0.0,7.0,7.0,99.25,0.0,0.0,4.1,0.317
1789176804,102,sana,199.25,80.505,160.017,184.259,1.723,49.889,0.0,4.0,4.0,101.75,0.0,0.0,4.28,0.31
1789176805,103,sana,199.5,64.958,159.862,184.134,1.612,50.083,0.0,8.0,8.0,100.0,0.0,0.0,4.28,0.303
1789176806,104,sana,200.25,64.942,160.731,184.805,1.943,50.333,0.0,4.0,4.0,97.5,0.0,0.0,4.28,0.307
1789176807,105,sana,201.0,64.803,159.842,184.369,1.72,50.695,0.0,4.0,4.0,98.0,0.0,0.0,4.28,0.31
1789176808,106,sana,200.25,64.563,158.947,184.13,1.722,51.611,0.0,11.0,11.0,90.0,0.0,0.0,4.28,0.303
1789176809,107,sana,200.0,64.61,158.775,184.496,1.947,51.278,0.0,8.0,8.0,95.75,0.0,0.0,4.28,0.31
1789176810,108,sana,200.5,64.811,158.629,184.372,1.999,50.611,0.0,6.0,6.0,96.5,0.0,0.0,4.4,0.305
1789176811,109,sana,198.75,64.649,158.659,184.01,1.836,50.944,0.0,7.0,7.0,100.0,0.0,0.0,4.28,0.307
1789176812,110,sana,200.0,64.95,158.724,183.857,1.831,50.0,0.0,11.0,11.0,106.25,0.0,0.0,4.28,0.315
1789176813,111,sana,200.75,64.819,159.508,183.707,1.829,50.722,0.0,5.0,5.0,104.0,0.0,0.0,4.1,0.317
1789176814,112,sana,199.8,64.77,160.293,183.993,1.942,50.944,0.0,5.0,5.0,99.775,0.0,0.0,4.1,0.31
1789176815,113,sana,200.5,64.95,161.794,184.007,1.891,50.222,0.0,9.0,9.0,99.5,0.0,0.0,27.75,0.312
