t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789081774,0,sana,199.7,57.786,64.793,138.27,0.167,96.278,0.0,1.0,1.0,6.998,0.0,0.0,,0.165
1789081775,1,sana,200.0,57.776,64.775,137.383,0.222,96.389,0.0,3.0,3.0,6.75,0.0,0.0,,0.165
1789081776,2,sana,200.25,57.759,64.742,135.248,0.167,96.665,0.0,0.0,0.0,7.75,0.0,0.0,,0.17
1789081777,3,sana,200.3,57.754,64.733,137.143,0.222,96.722,0.0,1.0,1.0,6.502,0.0,0.0,,0.165
1789081778,4,sana,200.25,57.768,64.758,138.261,0.222,96.557,0.0,1.0,1.0,6.5,0.0,0.0,,0.163
1789081779,5,sana,199.7,57.794,64.809,140.0,0.278,96.167,0.0,1.0,1.0,8.748,0.0,0.0,,0.167
1789081780,6,sana,199.5,57.795,64.81,143.673,0.278,96.111,0.0,0.0,0.0,8.75,0.0,0.0,,0.163
1789081781,7,sana,199.75,57.826,64.87,149.333,0.278,95.944,0.0,0.0,0.0,9.75,0.0,0.0,,0.165
1789081782,8,sana,200.05,57.808,64.835,147.143,0.222,96.111,0.0,0.0,0.0,9.252,0.0,0.0,,0.165
1789081783,9,sana,200.05,57.821,64.861,149.215,0.278,95.944,0.0,0.0,0.0,8.502,0.0,0.0,,0.165
1789081784,10,sana,200.5,57.849,64.913,154.286,0.333,95.722,0.0,0.0,0.0,9.25,0.0,0.0,,0.165
1789081785,11,sana,200.05,57.844,64.905,155.017,0.334,95.556,0.0,0.0,0.0,9.002,0.0,0.0,,0.168
1789081786,12,sana,200.55,57.853,64.921,153.32,0.278,95.502,0.0,1.0,1.0,9.002,0.0,0.0,,0.165
1789081787,13,sana,200.05,57.858,64.93,155.0,0.278,95.442,0.0,0.0,0.0,8.752,0.0,0.0,,0.165
1789081788,14,sana,200.05,57.83,64.878,154.106,0.222,95.889,0.0,0.0,0.0,7.502,0.0,0.0,,0.173
1789081789,15,sana,200.0,57.83,64.878,152.843,0.278,95.833,0.0,1.0,1.0,7.25,0.0,0.0,,0.175
1789081790,16,sana,199.75,57.835,64.886,150.891,0.278,95.833,0.0,0.0,0.0,8.25,0.0,0.0,,0.18
1789081791,17,sana,200.25,57.835,64.886,149.98,0.278,95.833,0.0,0.0,0.0,7.25,0.0,0.0,,0.17
1789081792,18,sana,200.0,57.808,64.835,144.422,0.167,96.167,0.0,0.0,0.0,7.0,0.0,0.0,,0.165
1789081793,19,sana,200.0,57.781,64.784,137.789,0.056,96.389,0.0,1.0,1.0,6.75,0.0,0.0,,0.16
1789081794,20,sana,200.0,57.785,64.792,141.8,0.056,96.389,0.0,1.0,1.0,6.25,0.0,0.0,,0.157
1789081795,21,sana,200.0,57.772,64.767,137.347,0.056,96.609,0.0,0.0,0.0,5.75,0.0,0.0,,0.16
1789081796,22,sana,200.0,57.763,64.75,138.653,0.111,96.722,0.0,0.0,0.0,6.25,0.0,0.0,,0.155
1789081797,23,sana,200.0,57.759,64.742,135.567,0.111,96.667,0.0,0.0,0.0,6.5,0.0,0.0,,0.158
1789081798,24,sana,199.2,57.754,64.733,136.027,0.056,96.667,0.0,0.0,0.0,6.498,0.0,0.0,,0.157
1789081799,25,sana,199.75,57.745,64.716,135.017,0.111,96.778,0.0,0.0,0.0,7.25,0.0,0.0,,0.158
1789081800,26,sana,199.25,57.75,64.725,138.508,0.167,96.5,0.0,2.0,2.0,7.75,0.0,0.0,,0.162
1789081801,27,sana,200.5,57.776,64.775,138.738,0.222,96.444,0.0,0.0,0.0,8.0,0.0,0.0,,0.16
1789081802,28,sana,200.8,57.767,64.758,141.8,0.278,96.611,0.0,0.0,0.0,7.002,0.0,0.0,,0.16
1789081803,29,sana,199.75,57.759,64.742,136.275,0.278,96.611,0.0,0.0,0.0,7.25,0.0,0.0,,0.165
1789081804,30,sana,200.7,57.763,64.75,138.667,0.278,96.611,0.0,0.0,0.0,5.749,0.0,0.0,,0.162
