t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789103092,0,sana,199.7,58.075,102.295,152.513,0.222,92.667,0.0,0.0,0.0,8.748,0.0,6.748,4.6,0.165
1789103093,1,sana,200.05,58.089,102.958,152.027,0.222,92.611,0.0,0.0,0.0,9.252,0.0,7.252,4.64,0.168
1789103094,2,sana,200.75,58.079,104.167,153.333,0.222,92.722,0.0,0.0,0.0,8.75,0.0,6.25,4.64,0.17
1789103095,3,sana,199.2,58.085,104.667,153.8,0.223,92.5,0.0,1.0,1.0,9.748,0.0,5.999,4.64,0.167
1789103096,4,sana,200.25,58.098,105.451,153.725,0.222,92.667,0.0,0.0,0.0,9.75,0.0,6.0,4.6,0.172
1789103097,5,sana,200.45,58.128,105.2,153.333,0.222,92.333,0.0,2.0,2.0,8.748,0.0,5.749,4.55,0.187
1789103098,6,sana,199.55,58.147,105.882,153.75,0.222,92.278,0.0,2.0,2.0,9.502,0.0,4.751,4.486,0.208
1789103099,7,sana,201.0,58.131,105.14,153.293,0.222,92.722,0.0,0.0,0.0,9.0,0.0,5.0,4.4,0.21
1789103100,8,sana,200.0,58.132,105.863,153.32,0.222,92.389,0.0,1.0,1.0,9.0,0.0,5.75,4.1,0.203
1789103101,9,sana,199.25,58.143,106.314,156.275,0.222,92.167,0.0,1.0,1.0,9.75,0.0,6.75,3.2,0.185
1789103102,10,sana,200.25,58.157,106.647,154.987,0.222,92.167,0.0,0.0,0.0,9.5,0.0,7.25,1.4,0.165
1789103103,11,sana,199.5,58.123,105.24,154.693,0.222,92.389,0.0,0.0,0.0,9.25,0.0,7.25,1.4,0.16
1789103104,12,sana,199.8,58.186,108.019,156.435,0.222,91.944,0.0,0.0,0.0,9.752,0.0,8.252,0.99,0.168
1789103105,13,sana,200.75,58.142,105.833,155.294,0.222,92.167,0.0,1.0,1.0,9.25,0.0,6.5,1.4,0.163
