t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789176270,0,sana,200.0,58.147,106.341,155.789,0.278,91.671,0.0,2.0,2.0,9.5,0.0,8.5,1.4,0.16
1789176271,1,sana,200.0,58.142,105.558,155.544,0.278,91.833,0.0,1.0,1.0,9.0,0.0,7.75,1.4,0.163
1789176272,2,sana,200.25,58.157,106.953,157.635,0.278,91.616,0.0,2.0,2.0,8.75,0.0,7.0,1.4,0.163
1789176273,3,sana,200.45,58.162,106.957,160.0,0.278,91.667,0.0,1.0,1.0,9.498,0.0,7.498,1.4,0.162
1789176274,4,sana,200.0,58.162,106.386,157.347,0.222,91.606,0.0,1.0,1.0,8.75,0.0,6.75,1.4,0.16
1789176275,5,sana,199.45,58.133,105.356,157.347,0.222,91.727,0.0,1.0,1.0,9.248,0.0,7.248,1.4,0.16
1789176276,6,sana,199.0,58.174,105.0,157.706,0.223,91.329,0.0,0.0,0.0,9.5,0.0,8.0,3.22,0.16
1789176277,7,sana,199.8,58.137,105.311,158.812,0.222,92.051,0.0,0.0,0.0,9.252,0.0,6.252,3.22,0.155
1789176278,8,sana,200.0,58.167,105.936,157.635,0.222,91.773,0.0,2.0,2.0,9.0,0.0,7.0,3.22,0.155
1789176279,9,sana,200.5,58.142,106.2,159.988,0.222,92.167,0.0,0.0,0.0,9.75,0.0,7.0,3.22,0.158
1789176280,10,sana,201.2,58.152,106.667,160.0,0.222,91.889,0.0,0.0,0.0,8.998,0.0,5.249,3.22,0.155
1789176281,11,sana,199.5,58.153,106.267,157.916,0.222,91.996,0.0,0.0,0.0,10.0,0.0,6.5,3.813,0.157
1789176282,12,sana,200.0,58.138,106.07,158.105,0.222,92.329,0.0,0.0,0.0,9.5,0.0,5.75,3.813,0.16
1789176283,13,sana,199.8,58.133,106.667,158.095,0.222,92.222,0.0,0.0,0.0,9.752,0.0,5.251,3.22,0.16
1789176284,14,sana,199.55,58.142,106.818,159.091,0.222,92.273,0.0,0.0,0.0,9.252,0.0,5.501,3.22,0.158
1789176285,15,sana,200.5,58.112,106.273,157.96,0.222,92.504,0.0,1.0,1.0,9.25,0.0,5.25,1.4,0.158
1789176286,16,sana,199.25,58.095,104.159,157.03,0.223,92.282,0.0,1.0,1.0,9.0,0.0,6.25,3.2,0.155
1789176287,17,sana,200.0,58.108,106.364,158.0,0.222,92.5,0.0,0.0,0.0,9.0,0.0,6.0,3.2,0.155
1789176288,18,sana,200.3,58.099,103.744,156.2,0.222,92.333,0.0,1.0,1.0,9.002,0.0,7.002,3.2,0.158
1789176289,19,sana,199.8,58.109,104.933,156.02,0.222,92.333,0.0,0.0,0.0,9.002,0.0,6.252,3.2,0.163
