t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789098837,0,sana,100.0,122.698,169.683,207.886,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.4,0.23
1789098838,1,sana,100.525,122.677,171.054,211.622,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.4,0.23
1789098839,2,sana,100.0,123.607,171.397,210.686,0.0,,0.0,5.0,0.0,100.75,0.0,0.0,4.1,0.235
1789098840,3,sana,100.225,123.464,171.397,208.3,0.0,,0.0,5.0,0.0,100.475,0.0,0.0,4.28,0.232
1789098841,4,sana,100.225,122.721,171.591,205.0,0.0,,0.0,8.0,0.0,99.975,0.0,0.0,4.4,0.232
1789098842,5,sana,99.725,121.887,171.477,203.823,0.0,,0.0,9.0,0.0,99.475,0.0,0.0,4.28,0.23
1789098843,6,sana,100.0,122.481,173.238,204.99,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,4.28,0.23
1789098844,7,sana,99.75,123.58,175.079,211.733,0.0,,0.0,5.0,0.0,100.0,0.0,0.0,4.28,0.232
1789098845,8,sana,99.75,122.823,175.0,211.667,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.4,0.23
1789098846,9,sana,99.75,123.412,174.642,208.3,0.0,,0.0,9.0,0.0,100.0,0.0,0.0,4.486,0.233
1789098847,10,sana,99.775,123.154,175.868,215.1,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.55,0.228
1789098848,11,sana,100.0,122.471,173.461,204.02,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,4.6,0.228
1789098849,12,sana,100.525,123.08,172.479,204.986,0.0,,0.0,5.0,0.0,100.525,0.0,0.0,4.6,0.23
1789098850,13,sana,100.0,124.638,171.707,203.333,0.0,,0.0,7.0,0.0,100.5,0.0,0.0,4.64,0.228
1789098851,14,sana,100.0,124.568,172.394,205.04,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.64,0.228
1789098852,15,sana,99.525,124.945,171.7,205.16,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.6,0.235
1789098853,16,sana,99.5,124.731,170.875,202.5,0.0,,0.0,8.0,0.0,99.25,0.0,0.0,4.64,0.235
1789098854,17,sana,99.5,125.298,172.712,210.05,0.0,,0.0,10.0,0.0,99.25,0.0,0.0,4.64,0.24
1789098855,18,sana,99.725,125.307,174.635,215.05,0.0,,0.0,6.0,0.0,100.475,0.0,0.0,4.6,0.24
1789098856,19,sana,101.025,125.181,172.597,202.836,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.55,0.233
1789098857,20,sana,100.275,125.148,173.069,211.633,0.0,,0.0,9.0,0.0,99.775,0.0,0.0,4.55,0.23
1789098858,21,sana,100.3,125.204,174.418,213.629,0.0,,0.0,7.0,0.0,100.8,0.0,0.0,4.64,0.23
1789098859,22,sana,100.55,123.977,176.272,216.4,0.0,,0.0,5.0,0.0,100.3,0.0,0.0,4.6,0.23
1789098860,23,sana,99.5,124.601,176.398,217.525,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.673,0.23
1789098861,24,sana,100.0,124.124,176.943,217.425,0.0,,0.0,7.0,0.0,100.5,0.0,0.0,4.673,0.232
1789098862,25,sana,100.25,123.905,176.33,216.4,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.6,0.228
1789098863,26,sana,100.0,123.918,174.403,214.925,0.0,,0.0,8.0,0.0,99.25,0.0,0.0,4.55,0.228
1789098864,27,sana,100.5,124.145,174.971,214.95,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.555,0.23
1789098865,28,sana,100.25,124.769,179.286,216.111,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.604,0.232
1789098866,29,sana,99.75,124.733,177.179,213.6,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.604,0.235
1789098867,30,sana,99.75,124.306,176.272,213.543,0.0,,0.0,5.0,0.0,100.75,0.0,0.0,4.491,0.232
1789098868,31,sana,99.5,124.561,174.713,210.771,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.491,0.232
1789098869,32,sana,99.25,124.602,174.078,205.04,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,4.288,0.228
1789098870,33,sana,100.75,124.646,174.031,208.267,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.407,0.228
1789098871,34,sana,100.475,124.124,174.25,211.622,0.0,,0.0,7.0,0.0,99.475,0.0,0.0,4.604,0.227
1789098872,35,sana,100.0,124.267,176.575,211.04,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.644,0.228
1789098873,36,sana,100.5,123.322,174.017,211.02,0.0,,0.0,5.0,0.0,100.0,0.0,0.0,4.673,0.232
1789098874,37,sana,99.725,123.05,173.846,214.091,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.723,0.235
1789098875,38,sana,99.275,123.322,174.412,213.333,0.0,,0.0,5.0,0.0,100.525,0.0,0.0,4.7,0.238
1789098876,39,sana,100.25,123.082,174.712,211.0,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.7,0.232
1789098877,40,sana,100.0,123.659,177.011,214.073,0.0,,0.0,8.0,0.0,99.25,0.0,0.0,4.673,0.23
1789098878,41,sana,99.525,123.37,177.107,214.983,0.0,,0.0,8.0,0.0,99.525,0.0,0.0,4.7,0.228
1789098879,42,sana,101.0,123.41,177.107,212.98,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.64,0.232
1789098880,43,sana,100.25,124.113,176.337,207.886,0.0,,0.0,9.0,0.0,99.75,0.0,0.0,4.55,0.232
1789098881,44,sana,100.25,123.701,175.54,203.823,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.486,0.237
1789098882,45,sana,99.75,124.848,175.062,202.879,0.0,,0.0,10.0,0.0,99.5,0.0,0.0,4.6,0.235
1789098883,46,sana,99.5,124.791,174.681,199.643,0.0,,0.0,8.0,0.0,99.0,0.0,0.0,4.4,0.23
1789098884,47,sana,100.0,124.563,174.357,198.55,0.0,,0.0,7.0,0.0,100.5,0.0,0.0,4.486,0.233
1789098885,48,sana,99.75,125.128,174.388,201.786,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.55,0.228
1789098886,49,sana,100.525,124.83,173.333,198.75,0.0,,0.0,8.0,0.0,100.525,0.0,0.0,4.55,0.23
1789098887,50,sana,99.05,124.504,173.391,197.525,0.0,,0.0,7.0,0.0,100.3,0.0,0.0,4.486,0.228
1789098888,51,sana,100.025,124.247,173.42,198.367,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.6,0.23
1789098889,52,sana,100.525,124.237,173.112,200.693,0.0,,0.0,4.0,0.0,100.775,0.0,0.0,4.55,0.23
1789098890,53,sana,100.0,124.111,171.531,199.03,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.64,0.228
1789098891,54,sana,101.0,123.358,171.721,199.925,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.6,0.233
1789098892,55,sana,99.75,123.164,170.897,201.288,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.6,0.235
1789098893,56,sana,100.0,122.873,170.741,204.963,0.0,,0.0,6.0,0.0,99.5,0.0,0.0,4.6,0.24
1789098894,57,sana,99.5,122.313,170.029,193.825,0.0,,0.0,10.0,0.0,99.0,0.0,0.0,4.55,0.24
1789098895,58,sana,99.725,122.454,172.273,203.125,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.64,0.24
1789098896,59,sana,100.0,122.734,172.718,208.94,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.673,0.235
1789098897,60,sana,99.0,122.852,171.983,207.289,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.673,0.23
1789098898,61,sana,100.5,122.435,172.098,205.05,0.0,,0.0,8.0,0.0,100.5,0.0,0.0,4.673,0.235
1789098899,62,sana,99.775,122.226,173.215,209.467,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.644,0.235
1789098900,63,sana,100.0,122.797,174.132,215.02,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.604,0.232
1789098901,64,sana,101.025,122.955,174.641,215.873,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.604,0.235
1789098902,65,sana,99.5,123.008,175.947,217.8,0.0,,0.0,8.0,0.0,100.0,0.0,0.0,4.604,0.23
1789098903,66,sana,100.475,123.815,174.953,217.673,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.644,0.227
1789098904,67,sana,100.25,123.808,172.484,217.709,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.555,0.232
1789098905,68,sana,99.5,124.214,173.469,216.111,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.491,0.227
1789098906,69,sana,101.025,124.444,173.368,214.9,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.407,0.23
1789098907,70,sana,99.75,124.685,173.091,215.0,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.604,0.233
1789098908,71,sana,100.025,124.848,172.708,212.45,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.55,0.233
1789098909,72,sana,99.225,124.66,171.745,210.075,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.55,0.232
1789098910,73,sana,99.5,124.097,171.663,212.55,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.55,0.232
1789098911,74,sana,100.0,124.257,171.296,207.8,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.55,0.232
1789098912,75,sana,99.725,123.356,170.926,207.886,0.0,,0.0,7.0,0.0,100.225,0.0,0.0,4.55,0.227
1789098913,76,sana,100.75,123.085,171.755,202.03,0.0,,0.0,5.0,0.0,100.5,0.0,0.0,4.64,0.23
1789098914,77,sana,100.225,122.823,170.099,201.97,0.0,,0.0,8.0,0.0,99.725,0.0,0.0,4.673,0.232
1789098915,78,sana,101.0,122.509,171.208,209.9,0.0,,0.0,4.0,0.0,100.5,0.0,0.0,4.7,0.232
1789098916,79,sana,100.8,122.518,170.841,214.85,0.0,,0.0,9.0,0.0,99.55,0.0,0.0,4.673,0.233
1789098917,80,sana,99.8,122.5,171.614,211.8,0.0,,0.0,7.0,0.0,99.55,0.0,0.0,4.723,0.233
1789098918,81,sana,99.8,122.454,173.687,204.955,0.0,,0.0,6.0,0.0,100.55,0.0,0.0,4.7,0.23
1789098919,82,sana,99.025,123.004,174.595,203.75,0.0,,0.0,7.0,0.0,99.275,0.0,0.0,4.723,0.228
1789098920,83,sana,99.5,122.607,176.125,203.835,0.0,,0.0,6.0,0.0,100.75,0.0,0.0,4.723,0.23
1789098921,84,sana,100.25,123.047,176.731,203.929,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.673,0.227
1789098922,85,sana,99.25,123.05,175.69,205.2,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.6,0.227
1789098923,86,sana,100.025,123.13,177.25,205.05,0.0,,0.0,10.0,0.0,99.275,0.0,0.0,4.6,0.228
1789098924,87,sana,99.25,123.32,175.722,202.575,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,4.55,0.232
1789098925,88,sana,100.0,123.192,176.629,201.573,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.486,0.233
1789098926,89,sana,100.725,123.68,179.629,204.991,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.486,0.235
1789098927,90,sana,100.25,123.993,176.77,204.989,0.0,,0.0,7.0,0.0,100.75,0.0,0.0,4.55,0.235
1789098928,91,sana,100.25,124.448,176.694,202.868,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,4.6,0.232
1789098929,92,sana,100.0,124.645,176.634,202.704,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.6,0.232
1789098930,93,sana,100.025,124.53,175.577,203.75,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.6,0.235
1789098931,94,sana,99.75,124.093,176.71,207.156,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.64,0.232
1789098932,95,sana,99.75,123.564,175.75,207.267,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,4.64,0.232
1789098933,96,sana,100.0,123.927,178.848,207.178,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.673,0.232
1789098934,97,sana,100.0,124.27,178.409,207.222,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.644,0.232
1789098935,98,sana,99.5,124.229,175.75,207.55,0.0,,0.0,5.0,0.0,100.75,0.0,0.0,4.555,0.232
1789098936,99,sana,100.75,123.883,176.304,207.5,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,4.555,0.233
1789098937,100,sana,99.75,123.871,174.082,210.0,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.407,0.235
1789098938,101,sana,99.975,124.083,173.163,211.667,0.0,,0.0,5.0,0.0,100.475,0.0,0.0,4.407,0.23
1789098939,102,sana,100.5,124.326,173.776,213.0,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,4.407,0.233
1789098940,103,sana,99.75,124.965,173.824,210.0,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.491,0.23
1789098941,104,sana,100.25,125.364,174.088,209.95,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.407,0.23
1789098942,105,sana,100.275,125.199,172.75,209.975,0.0,,0.0,8.0,0.0,99.275,0.0,0.0,4.288,0.23
1789098943,106,sana,99.5,124.669,172.479,210.771,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.4,0.232
1789098944,107,sana,99.975,124.296,172.469,204.967,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.4,0.235
1789098945,108,sana,100.0,124.296,171.429,205.033,0.0,,0.0,9.0,0.0,99.25,0.0,0.0,4.486,0.232
1789098946,109,sana,99.55,124.097,172.391,205.0,0.0,,0.0,9.0,0.0,99.8,0.0,0.0,4.6,0.235
1789098947,110,sana,100.275,123.601,171.726,205.033,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.6,0.233
