t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789096289,0,sana,100.75,124.14,178.107,201.633,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.486,0.24
1789096290,1,sana,100.775,123.382,174.146,199.632,0.0,,0.0,5.0,0.0,100.525,0.0,0.0,4.55,0.24
1789096291,2,sana,100.25,123.444,173.399,199.654,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.64,0.248
1789096292,3,sana,100.25,123.755,173.837,199.975,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.64,0.247
1789096293,4,sana,99.5,122.955,173.784,203.333,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.64,0.245
1789096294,5,sana,99.5,123.934,173.911,199.975,0.0,,0.0,9.0,0.0,99.0,0.0,0.0,4.6,0.242
1789096295,6,sana,99.725,124.384,174.574,202.475,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.6,0.237
1789096296,7,sana,99.75,123.653,172.547,199.975,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.6,0.235
1789096297,8,sana,100.25,124.173,170.833,202.0,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.55,0.232
1789096298,9,sana,100.0,124.638,171.292,207.55,0.0,,0.0,4.0,0.0,101.25,0.0,0.0,4.486,0.235
1789096299,10,sana,100.0,124.342,171.797,201.325,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.28,0.232
1789096300,11,sana,99.725,124.224,171.777,205.025,0.0,,0.0,8.0,0.0,99.475,0.0,0.0,4.1,0.232
1789096301,12,sana,99.75,123.542,171.614,205.05,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.288,0.237
1789096302,13,sana,100.25,124.144,170.52,200.693,0.0,,0.0,6.0,0.0,99.5,0.0,0.0,4.288,0.24
1789096303,14,sana,100.0,124.0,168.75,202.857,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.11,0.245
1789096304,15,sana,100.275,124.155,169.356,204.975,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.288,0.245
1789096305,16,sana,99.725,124.902,169.412,205.05,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.288,0.24
1789096306,17,sana,99.775,124.116,170.262,205.022,0.0,,0.0,4.0,0.0,100.525,0.0,0.0,4.11,0.238
1789096307,18,sana,100.3,123.438,170.516,201.231,0.0,,0.0,5.0,0.0,100.3,0.0,0.0,4.288,0.233
1789096308,19,sana,99.775,123.711,170.109,201.667,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.407,0.235
1789096309,20,sana,99.825,123.878,169.926,199.412,0.0,,0.0,5.0,0.0,100.575,0.0,0.0,4.407,0.235
1789096310,21,sana,100.025,124.605,170.625,202.857,0.0,,0.0,8.0,0.0,99.025,0.0,0.0,4.4,0.233
1789096311,22,sana,99.525,125.105,171.84,203.162,0.0,,0.0,7.0,0.0,99.525,0.0,0.0,4.55,0.233
1789096312,23,sana,100.0,125.072,173.529,205.0,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.6,0.23
1789096313,24,sana,100.225,124.377,174.74,207.914,0.0,,0.0,6.0,0.0,99.725,0.0,0.0,4.55,0.232
1789096314,25,sana,100.475,124.642,176.925,207.771,0.0,,0.0,6.0,0.0,100.475,0.0,0.0,4.6,0.232
1789096315,26,sana,100.475,125.531,177.395,204.985,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.673,0.235
1789096316,27,sana,100.025,126.206,177.095,207.886,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.673,0.235
1789096317,28,sana,100.525,126.516,177.043,209.975,0.0,,0.0,8.0,0.0,99.525,0.0,0.0,4.64,0.233
1789096318,29,sana,99.525,125.857,178.45,212.96,0.0,,0.0,5.0,0.0,100.275,0.0,0.0,4.6,0.235
1789096319,30,sana,100.025,125.973,177.116,207.2,0.0,,0.0,4.0,0.0,100.525,0.0,0.0,4.6,0.233
