t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789089144,0,sana,99.75,124.596,178.861,214.98,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,,0.233
1789089145,1,sana,100.025,124.69,176.938,212.55,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,,0.243
1789089146,2,sana,99.75,124.545,177.365,212.55,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,,0.245
1789089147,3,sana,100.0,125.502,179.259,213.867,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,,0.24
1789089148,4,sana,100.0,125.035,174.335,205.029,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,,0.245
1789089149,5,sana,99.975,124.945,175.635,203.775,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,,0.235
1789089150,6,sana,100.0,125.019,175.0,203.75,0.0,,0.0,9.0,0.0,99.25,0.0,0.0,,0.23
1789089151,7,sana,99.75,124.982,173.106,204.975,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,,0.235
1789089152,8,sana,100.225,124.725,173.046,202.879,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,,0.227
1789089153,9,sana,100.775,124.681,172.932,203.087,0.0,,0.0,5.0,0.0,100.775,0.0,0.0,,0.228
1789089154,10,sana,100.75,124.312,173.362,204.944,0.0,,0.0,9.0,0.0,100.0,0.0,0.0,,0.23
1789089155,11,sana,100.0,124.844,172.987,204.973,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,,0.227
1789089156,12,sana,99.525,124.704,171.818,205.15,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,,0.233
1789089157,13,sana,100.5,124.498,171.925,208.84,0.0,,0.0,6.0,0.0,99.5,0.0,0.0,,0.232
1789089158,14,sana,99.75,124.15,170.5,208.92,0.0,,0.0,5.0,0.0,101.0,0.0,0.0,,0.242
1789089159,15,sana,100.25,124.262,170.995,212.88,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,,0.24
1789089160,16,sana,100.5,124.122,170.312,205.0,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,,0.24
1789089161,17,sana,99.25,124.041,170.851,203.5,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,,0.24
1789089162,18,sana,100.25,124.143,171.7,202.0,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,,0.232
1789089163,19,sana,99.25,124.585,171.929,202.314,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,,0.237
1789089164,20,sana,100.0,123.82,171.786,201.667,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,,0.235
1789089165,21,sana,100.05,123.911,172.178,203.3,0.0,,0.0,6.0,0.0,100.05,0.0,0.0,,0.233
1789089166,22,sana,100.275,124.317,172.979,205.04,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,,0.233
1789089167,23,sana,101.025,124.638,173.609,208.267,0.0,,0.0,5.0,0.0,100.025,0.0,0.0,,0.23
1789089168,24,sana,100.025,124.856,173.599,205.033,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,,0.23
1789089169,25,sana,99.475,124.769,173.613,207.914,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,,0.23
1789089170,26,sana,99.275,124.964,174.195,211.689,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,,0.228
1789089171,27,sana,99.5,124.831,173.033,213.02,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,,0.227
1789089172,28,sana,100.0,124.686,172.469,210.96,0.0,,0.0,9.0,0.0,99.25,0.0,0.0,,0.23
1789089173,29,sana,100.5,124.772,173.404,211.0,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,,0.235
1789089174,30,sana,100.475,124.542,173.619,211.644,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,,0.242
1789089175,31,sana,100.0,124.437,173.25,209.489,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,,0.24
1789089176,32,sana,100.25,124.256,173.921,211.689,0.0,,0.0,6.0,0.0,100.75,0.0,0.0,,0.24
1789089177,33,sana,100.25,124.603,173.796,213.867,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,,0.237
1789089178,34,sana,99.25,124.821,173.378,213.889,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,,0.235
1789089179,35,sana,99.525,124.888,172.651,219.314,0.0,,0.0,5.0,0.0,100.525,0.0,0.0,,0.243
