t_unix,t_rel_s,fase,cotizaciones_por_s,p50_ms,p95_ms,p99_ms,respaldo_pct,acierto_pct,breaker_estado,adaptador_en_vuelo,refrescos_activos,invocaciones_por_s,fallidas_por_s,coalescidas_por_s,lag_bucle_p99_ms,cpu_api_nucleos
1789097563,0,sana,100.0,124.147,173.2,195.625,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.673,0.235
1789097564,1,sana,100.25,125.559,174.078,199.559,0.0,,0.0,4.0,0.0,100.75,0.0,0.0,4.723,0.245
1789097565,2,sana,100.0,125.522,174.082,201.25,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.743,0.242
1789097566,3,sana,99.3,125.7,172.903,202.045,0.0,,0.0,6.0,0.0,99.8,0.0,0.0,4.76,0.238
1789097567,4,sana,100.275,125.243,171.932,201.25,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.775,0.238
1789097568,5,sana,100.05,125.417,171.494,199.983,0.0,,0.0,7.0,0.0,99.3,0.0,0.0,4.743,0.23
1789097569,6,sana,99.775,125.527,171.267,201.683,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.743,0.23
1789097570,7,sana,99.975,125.356,170.7,201.287,0.0,,0.0,8.0,0.0,99.475,0.0,0.0,4.743,0.227
1789097571,8,sana,99.775,125.372,170.953,201.683,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.743,0.23
1789097572,9,sana,99.5,124.596,171.804,211.733,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.7,0.23
1789097573,10,sana,100.5,123.571,171.667,209.0,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.64,0.23
1789097574,11,sana,100.75,123.569,171.723,208.3,0.0,,0.0,5.0,0.0,100.75,0.0,0.0,4.55,0.232
1789097575,12,sana,99.475,123.369,173.214,210.714,0.0,,0.0,9.0,0.0,99.225,0.0,0.0,4.28,0.227
1789097576,13,sana,99.975,123.69,173.7,212.55,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.11,0.23
1789097577,14,sana,99.775,123.593,173.653,211.689,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,3.813,0.238
1789097578,15,sana,100.5,122.529,174.93,212.92,0.0,,0.0,7.0,0.0,99.5,0.0,0.0,3.22,0.235
1789097579,16,sana,100.75,123.074,174.958,210.94,0.0,,0.0,8.0,0.0,100.25,0.0,0.0,3.22,0.238
1789097580,17,sana,100.5,123.72,176.219,210.98,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,3.22,0.235
1789097581,18,sana,99.75,124.549,174.732,205.0,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,3.813,0.23
1789097582,19,sana,99.275,125.094,173.347,202.286,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.11,0.233
1789097583,20,sana,99.75,125.849,173.674,203.763,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.11,0.23
1789097584,21,sana,99.75,125.747,173.609,203.725,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.11,0.232
1789097585,22,sana,100.225,125.096,173.177,204.986,0.0,,0.0,8.0,0.0,99.975,0.0,0.0,4.1,0.232
1789097586,23,sana,99.975,124.633,172.589,203.846,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.1,0.232
1789097587,24,sana,100.525,125.157,173.599,207.525,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.1,0.233
1789097588,25,sana,100.25,124.361,173.723,211.0,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.28,0.23
1789097589,26,sana,100.275,124.133,174.412,212.273,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.28,0.233
1789097590,27,sana,100.0,124.007,173.76,212.255,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.1,0.23
1789097591,28,sana,99.75,124.179,174.985,213.317,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.1,0.232
1789097592,29,sana,99.775,123.732,175.652,210.455,0.0,,0.0,6.0,0.0,100.525,0.0,0.0,4.28,0.235
1789097593,30,sana,99.725,124.028,175.0,209.0,0.0,,0.0,9.0,0.0,99.475,0.0,0.0,4.28,0.23
1789097594,31,sana,100.275,124.331,177.194,209.422,0.0,,0.0,7.0,0.0,100.025,0.0,0.0,4.28,0.233
1789097595,32,sana,99.975,124.574,178.595,209.422,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.4,0.232
1789097596,33,sana,100.275,124.31,175.583,203.65,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.4,0.23
1789097597,34,sana,100.05,124.216,175.583,202.512,0.0,,0.0,6.0,0.0,100.8,0.0,0.0,4.28,0.238
1789097598,35,sana,99.525,124.211,174.472,203.775,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.28,0.238
1789097599,36,sana,100.05,123.993,174.385,204.988,0.0,,0.0,7.0,0.0,100.05,0.0,0.0,4.4,0.24
1789097600,37,sana,99.5,123.883,174.452,210.1,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.486,0.24
1789097601,38,sana,100.225,123.457,174.372,219.95,0.0,,0.0,6.0,0.0,99.975,0.0,0.0,4.4,0.237
1789097602,39,sana,100.225,123.507,174.634,225.0,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.4,0.232
1789097603,40,sana,99.5,123.956,175.079,230.611,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.28,0.23
1789097604,41,sana,100.0,123.383,176.432,230.611,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.1,0.23
1789097605,42,sana,99.775,124.539,179.321,231.281,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.28,0.235
1789097606,43,sana,100.0,124.809,181.0,228.571,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.1,0.237
1789097607,44,sana,100.25,124.906,182.471,223.446,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.1,0.24
1789097608,45,sana,100.25,124.868,184.26,222.347,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,3.8,0.242
1789097609,46,sana,100.0,124.888,184.08,221.908,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,3.8,0.235
1789097610,47,sana,100.525,125.572,183.475,218.831,0.0,,0.0,6.0,0.0,100.025,0.0,0.0,4.1,0.235
1789097611,48,sana,100.0,125.461,182.759,215.909,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.28,0.235
1789097612,49,sana,100.0,125.599,182.008,210.436,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.486,0.232
1789097613,50,sana,100.25,125.903,182.19,210.96,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.486,0.232
1789097614,51,sana,99.75,125.192,179.417,204.991,0.0,,0.0,5.0,0.0,100.25,0.0,0.0,4.55,0.232
1789097615,52,sana,99.75,125.136,177.641,205.029,0.0,,0.0,5.0,0.0,100.75,0.0,0.0,4.6,0.23
1789097616,53,sana,100.25,125.034,176.844,202.492,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.676,0.228
1789097617,54,sana,99.725,124.366,175.0,200.313,0.0,,0.0,8.0,0.0,99.975,0.0,0.0,4.676,0.227
1789097618,55,sana,99.475,123.527,175.716,201.85,0.0,,0.0,9.0,0.0,98.975,0.0,0.0,4.604,0.227
1789097619,56,sana,100.25,123.249,173.806,201.683,0.0,,0.0,6.0,0.0,99.75,0.0,0.0,4.604,0.23
1789097620,57,sana,99.75,123.182,174.694,202.5,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.604,0.232
1789097621,58,sana,100.275,122.337,173.911,204.991,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.491,0.235
1789097622,59,sana,100.525,123.162,174.318,203.846,0.0,,0.0,6.0,0.0,100.775,0.0,0.0,4.604,0.235
1789097623,60,sana,100.0,123.074,175.63,203.858,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.491,0.232
1789097624,61,sana,100.225,123.466,175.562,203.907,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.491,0.232
1789097625,62,sana,99.975,123.681,173.065,202.857,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.4,0.232
1789097626,63,sana,99.8,124.71,175.0,211.667,0.0,,0.0,6.0,0.0,100.05,0.0,0.0,4.4,0.233
1789097627,64,sana,100.275,125.298,172.987,212.92,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.486,0.233
1789097628,65,sana,100.05,125.908,174.672,216.4,0.0,,0.0,6.0,0.0,100.05,0.0,0.0,4.4,0.235
1789097629,66,sana,99.3,126.051,173.265,219.343,0.0,,0.0,7.0,0.0,100.05,0.0,0.0,4.28,0.23
1789097630,67,sana,100.475,126.592,172.699,212.96,0.0,,0.0,7.0,0.0,99.725,0.0,0.0,4.4,0.232
1789097631,68,sana,99.275,125.831,171.418,213.12,0.0,,0.0,7.0,0.0,100.275,0.0,0.0,4.1,0.233
1789097632,69,sana,99.75,125.526,171.557,218.333,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.28,0.238
1789097633,70,sana,100.525,125.69,172.668,219.314,0.0,,0.0,9.0,0.0,99.525,0.0,0.0,4.28,0.238
1789097634,71,sana,99.0,125.699,174.151,225.107,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.1,0.235
1789097635,72,sana,100.75,125.76,174.548,224.975,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.28,0.237
1789097636,73,sana,100.25,125.252,176.304,222.5,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.1,0.232
1789097637,74,sana,100.0,124.618,175.685,225.028,0.0,,0.0,6.0,0.0,100.75,0.0,0.0,4.1,0.235
1789097638,75,sana,100.0,123.864,176.25,221.667,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.28,0.235
1789097639,76,sana,99.75,124.161,178.66,225.056,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.1,0.232
1789097640,77,sana,99.75,124.468,180.135,222.733,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.1,0.23
1789097641,78,sana,100.0,125.087,179.375,218.333,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.28,0.232
1789097642,79,sana,100.25,125.395,178.293,217.525,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.4,0.23
1789097643,80,sana,99.975,125.646,177.827,211.6,0.0,,0.0,7.0,0.0,99.975,0.0,0.0,4.55,0.23
1789097644,81,sana,100.25,125.537,174.674,205.0,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.55,0.23
1789097645,82,sana,100.475,126.274,176.77,213.543,0.0,,0.0,8.0,0.0,99.725,0.0,0.0,4.55,0.225
1789097646,83,sana,100.25,126.278,176.875,213.571,0.0,,0.0,6.0,0.0,100.25,0.0,0.0,4.6,0.23
1789097647,84,sana,100.0,126.646,178.052,211.6,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.55,0.23
1789097648,85,sana,99.75,126.73,176.071,203.636,0.0,,0.0,9.0,0.0,99.75,0.0,0.0,4.6,0.23
1789097649,86,sana,99.0,127.314,174.713,201.287,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.6,0.232
1789097650,87,sana,100.275,127.85,176.301,200.693,0.0,,0.0,7.0,0.0,99.775,0.0,0.0,4.486,0.233
1789097651,88,sana,99.775,127.129,176.286,202.0,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.4,0.233
1789097652,89,sana,100.25,126.722,175.944,203.106,0.0,,0.0,6.0,0.0,100.75,0.0,0.0,4.4,0.235
1789097653,90,sana,100.525,126.611,177.927,213.04,0.0,,0.0,6.0,0.0,100.275,0.0,0.0,4.288,0.235
1789097654,91,sana,99.725,126.667,175.55,205.08,0.0,,0.0,6.0,0.0,100.225,0.0,0.0,4.407,0.232
1789097655,92,sana,100.0,126.72,175.026,205.04,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.491,0.233
1789097656,93,sana,99.8,126.472,173.125,205.0,0.0,,0.0,6.0,0.0,100.05,0.0,0.0,4.555,0.235
1789097657,94,sana,100.0,125.839,173.333,208.333,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.555,0.232
1789097658,95,sana,99.8,125.169,174.212,210.686,0.0,,0.0,7.0,0.0,99.8,0.0,0.0,4.644,0.235
1789097659,96,sana,100.775,124.576,173.401,213.867,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.644,0.243
1789097660,97,sana,100.25,124.718,173.5,214.96,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.644,0.24
1789097661,98,sana,100.275,125.0,172.143,213.889,0.0,,0.0,8.0,0.0,99.525,0.0,0.0,4.555,0.245
1789097662,99,sana,100.5,125.309,172.049,209.422,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.6,0.245
1789097663,100,sana,100.0,124.884,172.469,207.45,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.55,0.242
1789097664,101,sana,99.75,124.655,173.077,204.986,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.55,0.242
1789097665,102,sana,99.5,124.629,175.685,207.244,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.486,0.24
1789097666,103,sana,99.75,124.825,177.679,205.0,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.4,0.24
1789097667,104,sana,99.25,124.714,177.679,205.0,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.28,0.235
1789097668,105,sana,100.25,124.152,177.444,201.55,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.4,0.235
1789097669,106,sana,100.0,123.864,176.5,199.254,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.4,0.237
1789097670,107,sana,100.0,123.774,176.476,199.242,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.55,0.235
1789097671,108,sana,100.0,123.769,176.329,196.03,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.6,0.238
1789097672,109,sana,100.0,124.115,176.787,199.015,0.0,,0.0,8.0,0.0,100.0,0.0,0.0,4.673,0.235
1789097673,110,sana,100.25,124.377,177.344,203.5,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.6,0.233
1789097674,111,sana,100.525,124.197,174.283,201.617,0.0,,0.0,8.0,0.0,99.775,0.0,0.0,4.64,0.233
1789097675,112,sana,100.25,124.286,173.125,203.5,0.0,,0.0,6.0,0.0,100.0,0.0,0.0,4.673,0.23
1789097676,113,sana,99.25,124.58,172.956,202.868,0.0,,0.0,6.0,0.0,100.5,0.0,0.0,4.673,0.232
1789097677,114,sana,99.75,125.22,171.482,202.525,0.0,,0.0,9.0,0.0,99.5,0.0,0.0,4.673,0.232
1789097678,115,sana,99.725,125.96,172.432,204.975,0.0,,0.0,7.0,0.0,100.225,0.0,0.0,4.673,0.235
1789097679,116,sana,100.0,126.02,172.672,205.0,0.0,,0.0,8.0,0.0,99.5,0.0,0.0,4.6,0.233
1789097680,117,sana,100.75,125.253,171.669,204.975,0.0,,0.0,7.0,0.0,99.75,0.0,0.0,4.6,0.233
1789097681,118,sana,100.5,124.899,170.789,208.333,0.0,,0.0,9.0,0.0,100.0,0.0,0.0,4.6,0.235
1789097682,119,sana,99.25,125.0,170.664,202.3,0.0,,0.0,7.0,0.0,100.0,0.0,0.0,4.64,0.235
1789097683,120,degradada,99.75,124.983,170.632,203.677,0.0,,0.0,7.0,0.0,100.25,0.0,0.0,4.6,0.237
1789097684,121,degradada,99.5,124.801,170.309,203.515,0.0,,0.0,8.0,0.0,99.75,0.0,0.0,4.64,0.238
1789097685,122,degradada,86.5,124.433,170.288,206.7,0.0,,0.0,66.0,0.0,85.75,0.0,0.0,4.64,0.24
1789097686,123,degradada,84.771,124.098,171.385,210.067,10.525,,0.0,70.0,0.0,60.265,23.046,0.0,4.64,0.26
1789097687,124,degradada,84.542,133.014,779.412,795.882,22.273,,0.0,70.0,0.0,81.324,47.064,0.0,4.676,0.285
1789097688,125,degradada,84.542,139.014,785.796,797.159,33.955,,0.0,70.0,0.0,76.553,71.076,0.0,4.703,0.303
1789097689,126,degradada,97.549,166.518,789.239,797.848,45.718,,0.0,70.0,0.0,86.045,95.088,0.0,4.644,0.32
1789097690,127,degradada,105.276,711.352,791.135,798.227,58.434,,2.0,43.0,0.0,99.775,99.775,0.0,4.604,0.313
1789097691,128,degradada,117.5,713.744,791.374,798.275,71.155,,2.0,0.0,0.0,127.14,85.5,0.0,4.555,0.263
1789097692,129,degradada,117.471,713.088,791.309,798.262,82.026,,2.0,0.0,0.0,122.097,60.485,0.0,4.604,0.202
1789097693,130,degradada,117.471,712.817,791.282,798.256,92.819,,2.0,0.0,0.0,117.106,35.491,0.0,4.555,0.14
1789097694,131,degradada,112.25,707.581,790.758,798.152,98.0,,2.0,0.0,0.0,110.75,10.75,0.0,4.555,0.085
1789097695,132,degradada,99.975,64.22,789.419,797.884,100.0,,2.0,0.0,0.0,99.975,0.0,0.0,4.555,0.07
1789097696,133,degradada,100.0,61.932,786.54,797.308,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.6,0.07
1789097697,134,degradada,100.025,60.28,781.509,796.302,100.0,,2.0,0.0,0.0,100.025,0.0,0.0,4.6,0.073
1789097698,135,degradada,100.0,59.029,770.476,794.095,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.64,0.072
1789097699,136,degradada,100.0,57.908,703.163,780.633,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.6,0.072
1789097700,137,degradada,100.0,57.5,64.25,64.85,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.673,0.075
1789097701,138,degradada,100.0,57.5,64.25,64.85,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.673,0.072
1789097702,139,degradada,100.0,57.5,64.25,64.85,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.64,0.072
1789097703,140,degradada,100.0,57.5,64.25,64.85,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.673,0.075
1789097704,141,degradada,100.0,57.5,64.25,64.85,100.0,,2.0,0.0,0.0,100.0,0.0,0.0,4.7,0.07
