timestamp,name,cpu_perc,mem_usage
2026-09-11T03:08:10Z,ha08-api,16.58%,124.7MiB / 1GiB
2026-09-11T03:08:10Z,ha08-simulator,1.37%,22.35MiB / 512MiB
2026-09-11T03:08:10Z,ha08-projector,1.05%,31.2MiB / 512MiB
2026-09-11T03:08:10Z,ha08-postgres,5.84%,94.21MiB / 2GiB
2026-09-11T03:08:10Z,ha08-redis,0.99%,22.54MiB / 512MiB
2026-09-11T03:08:10Z,ha08-prometheus,0.00%,118MiB / 512MiB
2026-09-11T03:08:10Z,ha08-grafana,0.03%,221.7MiB / 512MiB
2026-09-11T03:08:10Z,ha08-redpanda,1.12%,934.5MiB / 1GiB
2026-09-11T03:08:10Z,ha08-k6-carga,2.92%,38.21MiB / 7.654GiB
2026-09-11T03:08:23Z,ha08-k6-carga,4.40%,52.75MiB / 7.654GiB
2026-09-11T03:08:23Z,ha08-api,3.80%,125MiB / 1GiB
2026-09-11T03:08:23Z,ha08-simulator,1.01%,22.38MiB / 512MiB
2026-09-11T03:08:23Z,ha08-projector,1.34%,31.2MiB / 512MiB
2026-09-11T03:08:23Z,ha08-postgres,3.94%,113MiB / 2GiB
2026-09-11T03:08:23Z,ha08-redis,1.83%,22.66MiB / 512MiB
2026-09-11T03:08:23Z,ha08-prometheus,0.40%,118MiB / 512MiB
2026-09-11T03:08:23Z,ha08-grafana,0.17%,221.7MiB / 512MiB
2026-09-11T03:08:23Z,ha08-redpanda,1.46%,934.5MiB / 1GiB
2026-09-11T03:08:35Z,ha08-k6-carga,5.46%,54.87MiB / 7.654GiB
2026-09-11T03:08:35Z,ha08-api,3.79%,125.1MiB / 1GiB
2026-09-11T03:08:35Z,ha08-simulator,0.94%,22.41MiB / 512MiB
2026-09-11T03:08:35Z,ha08-projector,0.67%,31.2MiB / 512MiB
2026-09-11T03:08:35Z,ha08-postgres,2.69%,121.1MiB / 2GiB
2026-09-11T03:08:35Z,ha08-redis,0.81%,22.54MiB / 512MiB
2026-09-11T03:08:35Z,ha08-prometheus,0.00%,118MiB / 512MiB
2026-09-11T03:08:35Z,ha08-grafana,0.42%,221.9MiB / 512MiB
2026-09-11T03:08:35Z,ha08-redpanda,3.06%,934.5MiB / 1GiB
2026-09-11T03:08:48Z,ha08-k6-carga,5.07%,54.94MiB / 7.654GiB
2026-09-11T03:08:48Z,ha08-api,3.60%,125.1MiB / 1GiB
2026-09-11T03:08:48Z,ha08-simulator,1.35%,22.42MiB / 512MiB
2026-09-11T03:08:48Z,ha08-projector,1.03%,31.2MiB / 512MiB
2026-09-11T03:08:48Z,ha08-postgres,3.17%,127.7MiB / 2GiB
2026-09-11T03:08:48Z,ha08-redis,1.41%,22.54MiB / 512MiB
2026-09-11T03:08:48Z,ha08-prometheus,0.43%,118MiB / 512MiB
2026-09-11T03:08:48Z,ha08-grafana,0.35%,221.7MiB / 512MiB
2026-09-11T03:08:48Z,ha08-redpanda,1.23%,934.5MiB / 1GiB
2026-09-11T03:09:00Z,ha08-k6-carga,3.65%,59.6MiB / 7.654GiB
2026-09-11T03:09:00Z,ha08-api,3.13%,125.4MiB / 1GiB
2026-09-11T03:09:00Z,ha08-simulator,1.55%,22.43MiB / 512MiB
2026-09-11T03:09:00Z,ha08-projector,1.87%,31.2MiB / 512MiB
2026-09-11T03:09:00Z,ha08-postgres,4.24%,131.7MiB / 2GiB
2026-09-11T03:09:00Z,ha08-redis,0.71%,22.54MiB / 512MiB
2026-09-11T03:09:00Z,ha08-prometheus,0.00%,117.9MiB / 512MiB
2026-09-11T03:09:00Z,ha08-grafana,0.04%,221.5MiB / 512MiB
2026-09-11T03:09:00Z,ha08-redpanda,2.61%,934.5MiB / 1GiB
2026-09-11T03:09:13Z,ha08-k6-carga,3.53%,59.17MiB / 7.654GiB
2026-09-11T03:09:13Z,ha08-api,24.54%,125.2MiB / 1GiB
2026-09-11T03:09:13Z,ha08-simulator,1.02%,22.44MiB / 512MiB
2026-09-11T03:09:13Z,ha08-projector,0.88%,31.2MiB / 512MiB
2026-09-11T03:09:13Z,ha08-postgres,3.09%,136.5MiB / 2GiB
2026-09-11T03:09:13Z,ha08-redis,0.93%,22.54MiB / 512MiB
2026-09-11T03:09:13Z,ha08-prometheus,0.00%,117.9MiB / 512MiB
2026-09-11T03:09:13Z,ha08-grafana,0.01%,221.5MiB / 512MiB
2026-09-11T03:09:13Z,ha08-redpanda,0.97%,934.5MiB / 1GiB
2026-09-11T03:09:25Z,ha08-k6-carga,5.17%,59.7MiB / 7.654GiB
2026-09-11T03:09:25Z,ha08-api,5.65%,125.5MiB / 1GiB
2026-09-11T03:09:25Z,ha08-simulator,0.94%,22.45MiB / 512MiB
2026-09-11T03:09:25Z,ha08-projector,0.81%,31.2MiB / 512MiB
2026-09-11T03:09:25Z,ha08-postgres,5.27%,142.5MiB / 2GiB
2026-09-11T03:09:25Z,ha08-redis,0.75%,22.54MiB / 512MiB
2026-09-11T03:09:25Z,ha08-prometheus,0.00%,117.9MiB / 512MiB
2026-09-11T03:09:25Z,ha08-grafana,0.06%,221.5MiB / 512MiB
2026-09-11T03:09:25Z,ha08-redpanda,6.25%,934.5MiB / 1GiB
