timestamp,name,cpu_perc,mem_usage
2026-09-10T04:02:06Z,ha08-api,4.22%,124.6MiB / 1GiB
2026-09-10T04:02:06Z,ha08-simulator,1.12%,22.38MiB / 512MiB
2026-09-10T04:02:06Z,ha08-projector,0.98%,31.2MiB / 512MiB
2026-09-10T04:02:06Z,ha08-postgres,2.10%,85.34MiB / 2GiB
2026-09-10T04:02:06Z,ha08-redis,1.17%,30.32MiB / 512MiB
2026-09-10T04:02:06Z,ha08-prometheus,0.01%,102.5MiB / 512MiB
2026-09-10T04:02:06Z,ha08-grafana,0.07%,219.1MiB / 512MiB
2026-09-10T04:02:06Z,ha08-redpanda,1.29%,721.3MiB / 1GiB
2026-09-10T04:02:19Z,ha08-api,4.56%,124.9MiB / 1GiB
2026-09-10T04:02:19Z,ha08-simulator,1.82%,22.41MiB / 512MiB
2026-09-10T04:02:19Z,ha08-projector,1.22%,31.2MiB / 512MiB
2026-09-10T04:02:19Z,ha08-postgres,4.03%,103.1MiB / 2GiB
2026-09-10T04:02:19Z,ha08-redis,1.87%,30.32MiB / 512MiB
2026-09-10T04:02:19Z,ha08-prometheus,0.39%,102.5MiB / 512MiB
2026-09-10T04:02:19Z,ha08-grafana,0.02%,219.1MiB / 512MiB
2026-09-10T04:02:19Z,ha08-redpanda,1.35%,723.3MiB / 1GiB
2026-09-10T04:02:31Z,ha08-api,3.99%,125MiB / 1GiB
2026-09-10T04:02:31Z,ha08-simulator,1.19%,22.43MiB / 512MiB
2026-09-10T04:02:31Z,ha08-projector,0.97%,31.2MiB / 512MiB
2026-09-10T04:02:31Z,ha08-postgres,3.11%,109.3MiB / 2GiB
2026-09-10T04:02:31Z,ha08-redis,1.09%,30.32MiB / 512MiB
2026-09-10T04:02:31Z,ha08-prometheus,0.15%,102.5MiB / 512MiB
2026-09-10T04:02:31Z,ha08-grafana,0.13%,219.1MiB / 512MiB
2026-09-10T04:02:31Z,ha08-redpanda,1.16%,723.3MiB / 1GiB
2026-09-10T04:02:43Z,ha08-api,4.60%,125MiB / 1GiB
2026-09-10T04:02:43Z,ha08-simulator,1.44%,22.44MiB / 512MiB
2026-09-10T04:02:43Z,ha08-projector,1.37%,31.71MiB / 512MiB
2026-09-10T04:02:43Z,ha08-postgres,3.45%,114.3MiB / 2GiB
