timestamp,name,cpu_perc,mem_usage
2026-09-12T16:34:44Z,ha08-api,2.01%,124.6MiB / 1GiB
2026-09-12T16:34:44Z,ha08-postgres,8.38%,89.12MiB / 2GiB
2026-09-12T16:34:44Z,ha08-simulator,0.78%,22.38MiB / 512MiB
2026-09-12T16:34:44Z,ha08-projector,0.66%,31.21MiB / 512MiB
2026-09-12T16:34:44Z,ha08-redis,0.58%,22.73MiB / 512MiB
2026-09-12T16:34:44Z,ha08-prometheus,0.00%,118.7MiB / 512MiB
2026-09-12T16:34:44Z,ha08-grafana,0.06%,263.3MiB / 512MiB
2026-09-12T16:34:44Z,ha08-redpanda,0.95%,936.3MiB / 1GiB
2026-09-12T16:34:44Z,ha08-k6-validacion,1.71%,25.94MiB / 7.654GiB
2026-09-12T16:34:57Z,ha08-k6-validacion,3.11%,34.16MiB / 7.654GiB
2026-09-12T16:34:57Z,ha08-api,2.79%,124.9MiB / 1GiB
2026-09-12T16:34:57Z,ha08-postgres,8.16%,116MiB / 2GiB
2026-09-12T16:34:57Z,ha08-simulator,1.16%,22.43MiB / 512MiB
2026-09-12T16:34:57Z,ha08-projector,1.20%,31.21MiB / 512MiB
2026-09-12T16:34:57Z,ha08-redis,0.77%,22.73MiB / 512MiB
2026-09-12T16:34:57Z,ha08-prometheus,0.16%,118.7MiB / 512MiB
2026-09-12T16:34:57Z,ha08-grafana,0.03%,263.3MiB / 512MiB
2026-09-12T16:34:57Z,ha08-redpanda,0.98%,936.3MiB / 1GiB
2026-09-12T16:35:09Z,ha08-k6-validacion,2.87%,36.48MiB / 7.654GiB
2026-09-12T16:35:09Z,ha08-api,3.16%,124.9MiB / 1GiB
2026-09-12T16:35:09Z,ha08-postgres,7.49%,115.7MiB / 2GiB
2026-09-12T16:35:09Z,ha08-simulator,1.29%,22.51MiB / 512MiB
2026-09-12T16:35:09Z,ha08-projector,1.01%,31.21MiB / 512MiB
2026-09-12T16:35:09Z,ha08-redis,1.30%,22.48MiB / 512MiB
2026-09-12T16:35:09Z,ha08-prometheus,0.01%,118.7MiB / 512MiB
2026-09-12T16:35:09Z,ha08-grafana,0.07%,263.3MiB / 512MiB
2026-09-12T16:35:09Z,ha08-redpanda,1.30%,936.3MiB / 1GiB
2026-09-12T16:35:22Z,ha08-k6-validacion,4.20%,38.3MiB / 7.654GiB
2026-09-12T16:35:22Z,ha08-api,2.96%,124.9MiB / 1GiB
2026-09-12T16:35:22Z,ha08-postgres,9.34%,115.8MiB / 2GiB
2026-09-12T16:35:22Z,ha08-simulator,1.34%,22.5MiB / 512MiB
2026-09-12T16:35:22Z,ha08-projector,1.02%,31.21MiB / 512MiB
2026-09-12T16:35:22Z,ha08-redis,1.17%,22.5MiB / 512MiB
2026-09-12T16:35:22Z,ha08-prometheus,0.39%,118.7MiB / 512MiB
2026-09-12T16:35:22Z,ha08-grafana,0.08%,263.3MiB / 512MiB
2026-09-12T16:35:22Z,ha08-redpanda,0.93%,936.3MiB / 1GiB
2026-09-12T16:35:34Z,ha08-k6-validacion,3.53%,38.35MiB / 7.654GiB
2026-09-12T16:35:34Z,ha08-api,2.85%,124.9MiB / 1GiB
2026-09-12T16:35:34Z,ha08-postgres,7.08%,115.8MiB / 2GiB
2026-09-12T16:35:34Z,ha08-simulator,1.04%,22.71MiB / 512MiB
2026-09-12T16:35:34Z,ha08-projector,0.88%,31.2MiB / 512MiB
2026-09-12T16:35:34Z,ha08-redis,0.61%,22.48MiB / 512MiB
2026-09-12T16:35:34Z,ha08-prometheus,0.00%,118.7MiB / 512MiB
2026-09-12T16:35:34Z,ha08-grafana,0.04%,263.3MiB / 512MiB
2026-09-12T16:35:34Z,ha08-redpanda,1.06%,936.3MiB / 1GiB
