timestamp,name,cpu_perc,mem_usage
2026-09-11T03:18:40Z,ha08-api,21.24%,124.6MiB / 1GiB
2026-09-11T03:18:40Z,ha08-simulator,0.96%,22.09MiB / 512MiB
2026-09-11T03:18:40Z,ha08-projector,0.90%,31.2MiB / 512MiB
2026-09-11T03:18:40Z,ha08-postgres,2.33%,90.38MiB / 2GiB
2026-09-11T03:18:40Z,ha08-redis,1.23%,22.54MiB / 512MiB
2026-09-11T03:18:40Z,ha08-prometheus,0.09%,112.2MiB / 512MiB
2026-09-11T03:18:40Z,ha08-grafana,0.05%,221.7MiB / 512MiB
2026-09-11T03:18:40Z,ha08-redpanda,5.41%,934.7MiB / 1GiB
2026-09-11T03:18:40Z,ha08-k6-carga,1.84%,38.39MiB / 7.654GiB
2026-09-11T03:18:52Z,ha08-k6-carga,3.19%,52.88MiB / 7.654GiB
2026-09-11T03:18:52Z,ha08-api,3.79%,124.9MiB / 1GiB
2026-09-11T03:18:52Z,ha08-simulator,1.30%,22.37MiB / 512MiB
2026-09-11T03:18:52Z,ha08-projector,1.12%,31.2MiB / 512MiB
2026-09-11T03:18:52Z,ha08-postgres,2.89%,100.9MiB / 2GiB
2026-09-11T03:18:52Z,ha08-redis,1.25%,22.54MiB / 512MiB
2026-09-11T03:18:52Z,ha08-prometheus,0.25%,112.2MiB / 512MiB
2026-09-11T03:18:52Z,ha08-grafana,0.30%,221.7MiB / 512MiB
2026-09-11T03:18:52Z,ha08-redpanda,1.58%,934.6MiB / 1GiB
2026-09-11T03:19:04Z,ha08-k6-carga,4.25%,53.02MiB / 7.654GiB
2026-09-11T03:19:04Z,ha08-api,5.91%,129.8MiB / 1GiB
2026-09-11T03:19:04Z,ha08-simulator,1.37%,22.41MiB / 512MiB
2026-09-11T03:19:04Z,ha08-projector,1.13%,31.2MiB / 512MiB
2026-09-11T03:19:04Z,ha08-postgres,3.89%,109.2MiB / 2GiB
2026-09-11T03:19:04Z,ha08-redis,1.75%,22.54MiB / 512MiB
2026-09-11T03:19:04Z,ha08-prometheus,0.02%,112.3MiB / 512MiB
2026-09-11T03:19:04Z,ha08-grafana,0.01%,221.7MiB / 512MiB
2026-09-11T03:19:04Z,ha08-redpanda,1.47%,934.6MiB / 1GiB
2026-09-11T03:19:17Z,ha08-k6-carga,2.56%,55.16MiB / 7.654GiB
2026-09-11T03:19:17Z,ha08-api,3.04%,125.1MiB / 1GiB
2026-09-11T03:19:17Z,ha08-simulator,1.35%,22.34MiB / 512MiB
2026-09-11T03:19:17Z,ha08-projector,1.01%,31.2MiB / 512MiB
2026-09-11T03:19:17Z,ha08-postgres,2.51%,115.4MiB / 2GiB
2026-09-11T03:19:17Z,ha08-redis,1.32%,22.79MiB / 512MiB
2026-09-11T03:19:17Z,ha08-prometheus,0.16%,112.3MiB / 512MiB
2026-09-11T03:19:17Z,ha08-grafana,0.05%,221.7MiB / 512MiB
2026-09-11T03:19:17Z,ha08-redpanda,1.19%,934.6MiB / 1GiB
2026-09-11T03:19:30Z,ha08-k6-carga,2.07%,57.24MiB / 7.654GiB
2026-09-11T03:19:30Z,ha08-api,2.25%,125.1MiB / 1GiB
2026-09-11T03:19:30Z,ha08-simulator,1.14%,22.41MiB / 512MiB
2026-09-11T03:19:30Z,ha08-projector,1.03%,31.2MiB / 512MiB
2026-09-11T03:19:30Z,ha08-postgres,2.04%,119.4MiB / 2GiB
2026-09-11T03:19:30Z,ha08-redis,2.11%,22.55MiB / 512MiB
2026-09-11T03:19:30Z,ha08-prometheus,0.04%,112.3MiB / 512MiB
2026-09-11T03:19:30Z,ha08-grafana,0.04%,221.7MiB / 512MiB
2026-09-11T03:19:30Z,ha08-redpanda,4.75%,934.7MiB / 1GiB
2026-09-11T03:19:42Z,ha08-k6-carga,3.38%,57.29MiB / 7.654GiB
2026-09-11T03:19:42Z,ha08-api,22.03%,125.1MiB / 1GiB
2026-09-11T03:19:42Z,ha08-simulator,0.92%,22.48MiB / 512MiB
2026-09-11T03:19:42Z,ha08-projector,0.70%,31.2MiB / 512MiB
2026-09-11T03:19:42Z,ha08-postgres,2.95%,122MiB / 2GiB
2026-09-11T03:19:42Z,ha08-redis,0.67%,22.79MiB / 512MiB
2026-09-11T03:19:42Z,ha08-prometheus,0.00%,111.8MiB / 512MiB
2026-09-11T03:19:42Z,ha08-grafana,0.09%,221.7MiB / 512MiB
2026-09-11T03:19:42Z,ha08-redpanda,0.77%,934.6MiB / 1GiB
2026-09-11T03:19:54Z,ha08-k6-carga,5.68%,59.58MiB / 7.654GiB
2026-09-11T03:19:54Z,ha08-api,5.90%,125.5MiB / 1GiB
2026-09-11T03:19:54Z,ha08-simulator,1.33%,22.52MiB / 512MiB
2026-09-11T03:19:54Z,ha08-projector,0.95%,31.2MiB / 512MiB
2026-09-11T03:19:54Z,ha08-postgres,3.71%,126MiB / 2GiB
2026-09-11T03:19:54Z,ha08-redis,1.94%,22.55MiB / 512MiB
