timestamp,name,cpu_perc,mem_usage
2026-09-10T02:41:10Z,ha08-api,10.31%,122.6MiB / 1GiB
2026-09-10T02:41:10Z,ha08-simulator,1.06%,22.28MiB / 512MiB
2026-09-10T02:41:10Z,ha08-projector,0.91%,31.18MiB / 512MiB
2026-09-10T02:41:10Z,ha08-postgres,2.25%,83.16MiB / 2GiB
2026-09-10T02:41:10Z,ha08-redis,0.80%,21.24MiB / 512MiB
2026-09-10T02:41:10Z,ha08-prometheus,0.00%,96.26MiB / 512MiB
2026-09-10T02:41:10Z,ha08-grafana,0.02%,218.6MiB / 512MiB
2026-09-10T02:41:10Z,ha08-redpanda,1.25%,595.3MiB / 1GiB
2026-09-10T02:41:22Z,ha08-api,3.68%,124.9MiB / 1GiB
2026-09-10T02:41:22Z,ha08-simulator,1.57%,22.39MiB / 512MiB
2026-09-10T02:41:22Z,ha08-projector,1.01%,31.18MiB / 512MiB
2026-09-10T02:41:22Z,ha08-postgres,2.63%,91.82MiB / 2GiB
2026-09-10T02:41:22Z,ha08-redis,1.19%,21.49MiB / 512MiB
2026-09-10T02:41:22Z,ha08-prometheus,0.00%,96.26MiB / 512MiB
2026-09-10T02:41:22Z,ha08-grafana,0.06%,218.7MiB / 512MiB
2026-09-10T02:41:22Z,ha08-redpanda,1.45%,595.3MiB / 1GiB
2026-09-10T02:41:35Z,ha08-api,21.38%,124.9MiB / 1GiB
2026-09-10T02:41:35Z,ha08-simulator,1.40%,22.4MiB / 512MiB
2026-09-10T02:41:35Z,ha08-projector,0.89%,31.18MiB / 512MiB
2026-09-10T02:41:35Z,ha08-postgres,2.53%,97.41MiB / 2GiB
2026-09-10T02:41:35Z,ha08-redis,1.44%,21.89MiB / 512MiB
2026-09-10T02:41:35Z,ha08-prometheus,0.00%,96.26MiB / 512MiB
2026-09-10T02:41:35Z,ha08-grafana,0.02%,218.7MiB / 512MiB
2026-09-10T02:41:35Z,ha08-redpanda,1.50%,595.3MiB / 1GiB
2026-09-10T02:41:47Z,ha08-api,3.64%,124.9MiB / 1GiB
2026-09-10T02:41:47Z,ha08-simulator,1.41%,22.42MiB / 512MiB
2026-09-10T02:41:47Z,ha08-projector,0.86%,31.49MiB / 512MiB
2026-09-10T02:41:47Z,ha08-postgres,2.71%,102.2MiB / 2GiB
2026-09-10T02:41:47Z,ha08-redis,1.27%,21.24MiB / 512MiB
2026-09-10T02:41:47Z,ha08-prometheus,0.00%,96.27MiB / 512MiB
2026-09-10T02:41:47Z,ha08-grafana,0.28%,218.7MiB / 512MiB
2026-09-10T02:41:47Z,ha08-redpanda,1.34%,595.4MiB / 1GiB
2026-09-10T02:42:00Z,ha08-api,4.36%,124.9MiB / 1GiB
2026-09-10T02:42:00Z,ha08-simulator,1.28%,22.43MiB / 512MiB
2026-09-10T02:42:00Z,ha08-projector,1.18%,31.49MiB / 512MiB
2026-09-10T02:42:00Z,ha08-postgres,3.01%,106.1MiB / 2GiB
2026-09-10T02:42:00Z,ha08-redis,0.96%,21.74MiB / 512MiB
2026-09-10T02:42:00Z,ha08-prometheus,0.00%,96.26MiB / 512MiB
2026-09-10T02:42:00Z,ha08-grafana,0.60%,218.7MiB / 512MiB
2026-09-10T02:42:00Z,ha08-redpanda,2.12%,595.4MiB / 1GiB
2026-09-10T02:42:12Z,ha08-api,5.26%,125.3MiB / 1GiB
2026-09-10T02:42:12Z,ha08-simulator,1.12%,22.43MiB / 512MiB
2026-09-10T02:42:12Z,ha08-projector,0.86%,31.49MiB / 512MiB
2026-09-10T02:42:12Z,ha08-postgres,2.13%,108.6MiB / 2GiB
2026-09-10T02:42:12Z,ha08-redis,1.02%,21.24MiB / 512MiB
2026-09-10T02:42:12Z,ha08-prometheus,0.00%,96.26MiB / 512MiB
2026-09-10T02:42:12Z,ha08-grafana,0.12%,218.7MiB / 512MiB
2026-09-10T02:42:12Z,ha08-redpanda,1.21%,595.4MiB / 1GiB
2026-09-10T02:42:25Z,ha08-api,4.23%,125.2MiB / 1GiB
2026-09-10T02:42:25Z,ha08-simulator,1.60%,22.69MiB / 512MiB
2026-09-10T02:42:25Z,ha08-projector,1.12%,31.74MiB / 512MiB
2026-09-10T02:42:25Z,ha08-postgres,2.66%,111.5MiB / 2GiB
2026-09-10T02:42:25Z,ha08-redis,1.65%,21.24MiB / 512MiB
2026-09-10T02:42:25Z,ha08-prometheus,0.69%,96.27MiB / 512MiB
2026-09-10T02:42:25Z,ha08-grafana,0.09%,218.7MiB / 512MiB
2026-09-10T02:42:25Z,ha08-redpanda,1.37%,595.4MiB / 1GiB
2026-09-10T02:42:37Z,ha08-api,20.29%,125.3MiB / 1GiB
2026-09-10T02:42:37Z,ha08-simulator,1.29%,22.45MiB / 512MiB
2026-09-10T02:42:37Z,ha08-projector,0.82%,31.5MiB / 512MiB
