timestamp,name,cpu_perc,mem_usage
2026-09-11T03:29:10Z,ha08-api,3.77%,124.6MiB / 1GiB
2026-09-11T03:29:10Z,ha08-simulator,1.11%,22.35MiB / 512MiB
2026-09-11T03:29:10Z,ha08-projector,0.75%,31.21MiB / 512MiB
2026-09-11T03:29:10Z,ha08-postgres,2.61%,92.4MiB / 2GiB
2026-09-11T03:29:10Z,ha08-redis,1.95%,22.65MiB / 512MiB
2026-09-11T03:29:10Z,ha08-prometheus,0.22%,113.7MiB / 512MiB
2026-09-11T03:29:10Z,ha08-grafana,0.07%,221.6MiB / 512MiB
2026-09-11T03:29:10Z,ha08-redpanda,1.01%,934.6MiB / 1GiB
2026-09-11T03:29:10Z,ha08-k6-carga,2.28%,38.38MiB / 7.654GiB
2026-09-11T03:29:22Z,ha08-k6-carga,3.91%,53.14MiB / 7.654GiB
2026-09-11T03:29:22Z,ha08-api,4.32%,124.9MiB / 1GiB
2026-09-11T03:29:22Z,ha08-simulator,1.86%,22.4MiB / 512MiB
2026-09-11T03:29:22Z,ha08-projector,1.22%,31.21MiB / 512MiB
2026-09-11T03:29:22Z,ha08-postgres,3.13%,103.3MiB / 2GiB
2026-09-11T03:29:22Z,ha08-redis,1.03%,23.23MiB / 512MiB
2026-09-11T03:29:22Z,ha08-prometheus,0.99%,113.7MiB / 512MiB
2026-09-11T03:29:22Z,ha08-grafana,0.12%,221.6MiB / 512MiB
2026-09-11T03:29:22Z,ha08-redpanda,1.66%,934.6MiB / 1GiB
2026-09-11T03:29:35Z,ha08-k6-carga,3.48%,55.05MiB / 7.654GiB
2026-09-11T03:29:35Z,ha08-api,20.66%,125MiB / 1GiB
2026-09-11T03:29:35Z,ha08-simulator,0.84%,22.41MiB / 512MiB
2026-09-11T03:29:35Z,ha08-projector,1.06%,31.21MiB / 512MiB
2026-09-11T03:29:35Z,ha08-postgres,2.01%,109.6MiB / 2GiB
2026-09-11T03:29:35Z,ha08-redis,2.76%,23.86MiB / 512MiB
2026-09-11T03:29:35Z,ha08-prometheus,0.05%,113.7MiB / 512MiB
2026-09-11T03:29:35Z,ha08-grafana,0.02%,221.6MiB / 512MiB
2026-09-11T03:29:35Z,ha08-redpanda,0.88%,934.6MiB / 1GiB
2026-09-11T03:29:47Z,ha08-k6-carga,2.97%,59.13MiB / 7.654GiB
2026-09-11T03:29:47Z,ha08-api,3.60%,125MiB / 1GiB
2026-09-11T03:29:47Z,ha08-simulator,1.15%,22.43MiB / 512MiB
2026-09-11T03:29:47Z,ha08-projector,0.96%,31.21MiB / 512MiB
2026-09-11T03:29:47Z,ha08-postgres,2.24%,115.2MiB / 2GiB
2026-09-11T03:29:47Z,ha08-redis,1.20%,24.14MiB / 512MiB
2026-09-11T03:29:47Z,ha08-prometheus,0.35%,113.7MiB / 512MiB
2026-09-11T03:29:47Z,ha08-grafana,0.05%,221.6MiB / 512MiB
2026-09-11T03:29:47Z,ha08-redpanda,1.31%,934.6MiB / 1GiB
2026-09-11T03:30:00Z,ha08-k6-carga,3.39%,61.52MiB / 7.654GiB
2026-09-11T03:30:00Z,ha08-api,3.71%,125.3MiB / 1GiB
2026-09-11T03:30:00Z,ha08-simulator,0.88%,22.43MiB / 512MiB
2026-09-11T03:30:00Z,ha08-projector,0.74%,31.21MiB / 512MiB
2026-09-11T03:30:00Z,ha08-postgres,2.15%,118.8MiB / 2GiB
2026-09-11T03:30:00Z,ha08-redis,1.67%,24.23MiB / 512MiB
2026-09-11T03:30:00Z,ha08-prometheus,0.09%,113.7MiB / 512MiB
2026-09-11T03:30:00Z,ha08-grafana,0.09%,221.6MiB / 512MiB
2026-09-11T03:30:00Z,ha08-redpanda,0.96%,934.6MiB / 1GiB
2026-09-11T03:30:12Z,ha08-k6-carga,4.55%,61.32MiB / 7.654GiB
2026-09-11T03:30:12Z,ha08-api,5.15%,125.1MiB / 1GiB
2026-09-11T03:30:12Z,ha08-simulator,1.60%,22.44MiB / 512MiB
2026-09-11T03:30:12Z,ha08-projector,1.07%,31.21MiB / 512MiB
2026-09-11T03:30:12Z,ha08-postgres,2.46%,122.1MiB / 2GiB
2026-09-11T03:30:12Z,ha08-redis,1.33%,24.23MiB / 512MiB
2026-09-11T03:30:12Z,ha08-prometheus,0.42%,113.7MiB / 512MiB
2026-09-11T03:30:12Z,ha08-grafana,0.05%,221.6MiB / 512MiB
2026-09-11T03:30:12Z,ha08-redpanda,1.06%,934.6MiB / 1GiB
2026-09-11T03:30:25Z,ha08-k6-carga,5.77%,61.64MiB / 7.654GiB
2026-09-11T03:30:25Z,ha08-api,7.38%,125.4MiB / 1GiB
2026-09-11T03:30:25Z,ha08-simulator,0.93%,22.46MiB / 512MiB
2026-09-11T03:30:25Z,ha08-projector,1.01%,31.21MiB / 512MiB
2026-09-11T03:30:25Z,ha08-postgres,2.92%,125.8MiB / 2GiB
2026-09-11T03:30:25Z,ha08-redis,2.33%,24.68MiB / 512MiB
2026-09-11T03:30:25Z,ha08-prometheus,0.04%,113.7MiB / 512MiB
2026-09-11T03:30:25Z,ha08-grafana,0.26%,221.6MiB / 512MiB
2026-09-11T03:30:25Z,ha08-redpanda,1.31%,934.6MiB / 1GiB
2026-09-11T03:30:37Z,ha08-k6-carga,3.59%,62MiB / 7.654GiB
2026-09-11T03:30:37Z,ha08-api,22.72%,126.1MiB / 1GiB
2026-09-11T03:30:37Z,ha08-simulator,1.29%,22.46MiB / 512MiB
2026-09-11T03:30:37Z,ha08-projector,0.74%,31.21MiB / 512MiB
2026-09-11T03:30:37Z,ha08-postgres,2.22%,129.3MiB / 2GiB
2026-09-11T03:30:37Z,ha08-redis,0.97%,25.79MiB / 512MiB
2026-09-11T03:30:37Z,ha08-prometheus,0.13%,113.7MiB / 512MiB
2026-09-11T03:30:37Z,ha08-grafana,0.05%,221.6MiB / 512MiB
2026-09-11T03:30:37Z,ha08-redpanda,0.73%,934.6MiB / 1GiB
2026-09-11T03:30:50Z,ha08-k6-carga,6.53%,68.42MiB / 7.654GiB
2026-09-11T03:30:50Z,ha08-api,10.22%,126.2MiB / 1GiB
2026-09-11T03:30:50Z,ha08-simulator,1.05%,22.47MiB / 512MiB
2026-09-11T03:30:50Z,ha08-projector,1.00%,31.21MiB / 512MiB
2026-09-11T03:30:50Z,ha08-postgres,3.32%,133.6MiB / 2GiB
2026-09-11T03:30:50Z,ha08-redis,1.70%,27.24MiB / 512MiB
2026-09-11T03:30:50Z,ha08-prometheus,0.08%,113.7MiB / 512MiB
2026-09-11T03:30:50Z,ha08-grafana,0.37%,221.6MiB / 512MiB
2026-09-11T03:30:50Z,ha08-redpanda,1.22%,934.6MiB / 1GiB
2026-09-11T03:31:02Z,ha08-k6-carga,4.83%,70.48MiB / 7.654GiB
2026-09-11T03:31:02Z,ha08-api,8.73%,126.2MiB / 1GiB
2026-09-11T03:31:02Z,ha08-simulator,0.95%,22.48MiB / 512MiB
2026-09-11T03:31:02Z,ha08-projector,0.98%,31.21MiB / 512MiB
2026-09-11T03:31:02Z,ha08-postgres,3.94%,139.1MiB / 2GiB
2026-09-11T03:31:02Z,ha08-redis,1.18%,28.73MiB / 512MiB
2026-09-11T03:31:02Z,ha08-prometheus,0.23%,113.7MiB / 512MiB
2026-09-11T03:31:02Z,ha08-grafana,0.01%,221.6MiB / 512MiB
2026-09-11T03:31:02Z,ha08-redpanda,1.16%,934.6MiB / 1GiB
2026-09-11T03:31:15Z,ha08-k6-carga,4.78%,72.56MiB / 7.654GiB
2026-09-11T03:31:15Z,ha08-api,8.51%,126.5MiB / 1GiB
2026-09-11T03:31:15Z,ha08-simulator,0.90%,22.48MiB / 512MiB
2026-09-11T03:31:15Z,ha08-projector,0.71%,31.21MiB / 512MiB
2026-09-11T03:31:15Z,ha08-postgres,3.61%,144MiB / 2GiB
2026-09-11T03:31:15Z,ha08-redis,1.23%,30.31MiB / 512MiB
2026-09-11T03:31:15Z,ha08-prometheus,0.12%,113.7MiB / 512MiB
2026-09-11T03:31:15Z,ha08-grafana,0.01%,221.6MiB / 512MiB
2026-09-11T03:31:15Z,ha08-redpanda,0.82%,934.6MiB / 1GiB
2026-09-11T03:31:27Z,ha08-k6-carga,5.51%,72.61MiB / 7.654GiB
2026-09-11T03:31:27Z,ha08-api,11.13%,126.2MiB / 1GiB
2026-09-11T03:31:27Z,ha08-simulator,1.07%,22.5MiB / 512MiB
2026-09-11T03:31:27Z,ha08-projector,1.12%,31.21MiB / 512MiB
2026-09-11T03:31:27Z,ha08-postgres,4.09%,149.7MiB / 2GiB
2026-09-11T03:31:27Z,ha08-redis,1.56%,32.03MiB / 512MiB
2026-09-11T03:31:27Z,ha08-prometheus,0.55%,113.7MiB / 512MiB
2026-09-11T03:31:27Z,ha08-grafana,0.03%,221.6MiB / 512MiB
2026-09-11T03:31:27Z,ha08-redpanda,0.99%,934.6MiB / 1GiB
2026-09-11T03:31:40Z,ha08-k6-carga,4.96%,72.67MiB / 7.654GiB
2026-09-11T03:31:40Z,ha08-api,18.19%,136.5MiB / 1GiB
2026-09-11T03:31:40Z,ha08-simulator,0.68%,22.5MiB / 512MiB
2026-09-11T03:31:40Z,ha08-projector,0.62%,31.21MiB / 512MiB
2026-09-11T03:31:40Z,ha08-postgres,5.14%,155.2MiB / 2GiB
2026-09-11T03:31:40Z,ha08-redis,1.38%,33.43MiB / 512MiB
2026-09-11T03:31:40Z,ha08-prometheus,0.05%,114.1MiB / 512MiB
2026-09-11T03:31:40Z,ha08-grafana,0.04%,221.6MiB / 512MiB
2026-09-11T03:31:40Z,ha08-redpanda,0.78%,934.6MiB / 1GiB
2026-09-11T03:31:52Z,ha08-k6-carga,8.94%,72.75MiB / 7.654GiB
