timestamp,name,cpu_perc,mem_usage
2026-09-10T03:21:38Z,ha08-api,4.76%,124.6MiB / 1GiB
2026-09-10T03:21:38Z,ha08-simulator,1.39%,22.35MiB / 512MiB
2026-09-10T03:21:38Z,ha08-projector,1.25%,31.2MiB / 512MiB
2026-09-10T03:21:38Z,ha08-postgres,2.59%,85.19MiB / 2GiB
2026-09-10T03:21:38Z,ha08-redis,1.76%,22.7MiB / 512MiB
2026-09-10T03:21:38Z,ha08-prometheus,0.37%,100.3MiB / 512MiB
2026-09-10T03:21:38Z,ha08-grafana,0.09%,218.9MiB / 512MiB
2026-09-10T03:21:38Z,ha08-redpanda,1.82%,657.2MiB / 1GiB
2026-09-10T03:21:51Z,ha08-api,4.25%,124.9MiB / 1GiB
2026-09-10T03:21:51Z,ha08-simulator,1.64%,22.4MiB / 512MiB
2026-09-10T03:21:51Z,ha08-projector,1.03%,31.2MiB / 512MiB
2026-09-10T03:21:51Z,ha08-postgres,2.48%,93.47MiB / 2GiB
2026-09-10T03:21:51Z,ha08-redis,1.18%,22.11MiB / 512MiB
2026-09-10T03:21:51Z,ha08-prometheus,0.18%,100.3MiB / 512MiB
2026-09-10T03:21:51Z,ha08-grafana,0.09%,218.9MiB / 512MiB
2026-09-10T03:21:51Z,ha08-redpanda,1.35%,657.2MiB / 1GiB
2026-09-10T03:22:03Z,ha08-api,21.35%,124.9MiB / 1GiB
2026-09-10T03:22:03Z,ha08-simulator,1.42%,22.41MiB / 512MiB
2026-09-10T03:22:03Z,ha08-projector,1.49%,31.2MiB / 512MiB
2026-09-10T03:22:03Z,ha08-postgres,2.96%,99.05MiB / 2GiB
2026-09-10T03:22:03Z,ha08-redis,0.87%,22.52MiB / 512MiB
2026-09-10T03:22:03Z,ha08-prometheus,0.10%,100.3MiB / 512MiB
2026-09-10T03:22:03Z,ha08-grafana,0.03%,218.9MiB / 512MiB
2026-09-10T03:22:03Z,ha08-redpanda,1.48%,659.2MiB / 1GiB
2026-09-10T03:22:16Z,ha08-api,3.30%,125MiB / 1GiB
2026-09-10T03:22:16Z,ha08-simulator,1.34%,22.43MiB / 512MiB
2026-09-10T03:22:16Z,ha08-projector,0.88%,31.2MiB / 512MiB
2026-09-10T03:22:16Z,ha08-postgres,2.31%,103.7MiB / 2GiB
2026-09-10T03:22:16Z,ha08-redis,1.24%,22.77MiB / 512MiB
2026-09-10T03:22:16Z,ha08-prometheus,0.06%,100.3MiB / 512MiB
2026-09-10T03:22:16Z,ha08-grafana,0.02%,218.9MiB / 512MiB
2026-09-10T03:22:16Z,ha08-redpanda,2.09%,660MiB / 1GiB
2026-09-10T03:22:28Z,ha08-api,5.16%,125MiB / 1GiB
2026-09-10T03:22:28Z,ha08-simulator,1.79%,22.43MiB / 512MiB
2026-09-10T03:22:28Z,ha08-projector,1.50%,31.2MiB / 512MiB
2026-09-10T03:22:28Z,ha08-postgres,3.32%,106.6MiB / 2GiB
2026-09-10T03:22:28Z,ha08-redis,0.96%,22.82MiB / 512MiB
2026-09-10T03:22:28Z,ha08-prometheus,0.28%,100.3MiB / 512MiB
2026-09-10T03:22:28Z,ha08-grafana,0.09%,218.9MiB / 512MiB
2026-09-10T03:22:28Z,ha08-redpanda,1.73%,659.2MiB / 1GiB
2026-09-10T03:22:41Z,ha08-api,11.57%,125.2MiB / 1GiB
2026-09-10T03:22:41Z,ha08-simulator,1.23%,22.44MiB / 512MiB
2026-09-10T03:22:41Z,ha08-projector,0.91%,31.19MiB / 512MiB
2026-09-10T03:22:41Z,ha08-postgres,2.07%,108.8MiB / 2GiB
2026-09-10T03:22:41Z,ha08-redis,2.43%,22.87MiB / 512MiB
2026-09-10T03:22:41Z,ha08-prometheus,0.08%,100.3MiB / 512MiB
2026-09-10T03:22:41Z,ha08-grafana,0.14%,218.9MiB / 512MiB
