timestamp,name,cpu_perc,mem_usage
2026-09-11T04:37:26Z,ha08-api,20.55%,122.6MiB / 1GiB
2026-09-11T04:37:26Z,ha08-simulator,1.57%,22.38MiB / 512MiB
2026-09-11T04:37:26Z,ha08-projector,1.23%,31.2MiB / 512MiB
2026-09-11T04:37:26Z,ha08-postgres,2.98%,92.73MiB / 2GiB
2026-09-11T04:37:26Z,ha08-redis,0.76%,22.77MiB / 512MiB
2026-09-11T04:37:26Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:37:26Z,ha08-grafana,0.08%,228MiB / 512MiB
2026-09-11T04:37:26Z,ha08-redpanda,1.13%,935.3MiB / 1GiB
2026-09-11T04:37:39Z,ha08-api,3.08%,125MiB / 1GiB
2026-09-11T04:37:39Z,ha08-simulator,1.13%,22.39MiB / 512MiB
2026-09-11T04:37:39Z,ha08-projector,0.82%,31.2MiB / 512MiB
2026-09-11T04:37:39Z,ha08-postgres,3.07%,103.4MiB / 2GiB
2026-09-11T04:37:39Z,ha08-redis,1.01%,22.78MiB / 512MiB
2026-09-11T04:37:39Z,ha08-prometheus,0.02%,118.3MiB / 512MiB
2026-09-11T04:37:39Z,ha08-grafana,0.05%,228MiB / 512MiB
2026-09-11T04:37:39Z,ha08-redpanda,1.03%,935.3MiB / 1GiB
2026-09-11T04:37:51Z,ha08-api,6.68%,134.4MiB / 1GiB
2026-09-11T04:37:51Z,ha08-simulator,1.52%,22.53MiB / 512MiB
2026-09-11T04:37:51Z,ha08-projector,1.00%,31.21MiB / 512MiB
2026-09-11T04:37:51Z,ha08-postgres,2.28%,110.1MiB / 2GiB
2026-09-11T04:37:51Z,ha08-redis,2.11%,22.78MiB / 512MiB
2026-09-11T04:37:51Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:37:51Z,ha08-grafana,0.04%,228MiB / 512MiB
2026-09-11T04:37:51Z,ha08-redpanda,1.27%,935.3MiB / 1GiB
2026-09-11T04:38:03Z,ha08-api,5.18%,125MiB / 1GiB
2026-09-11T04:38:03Z,ha08-simulator,1.60%,22.54MiB / 512MiB
2026-09-11T04:38:03Z,ha08-projector,0.88%,31.21MiB / 512MiB
2026-09-11T04:38:03Z,ha08-postgres,2.65%,116.1MiB / 2GiB
2026-09-11T04:38:03Z,ha08-redis,1.16%,22.78MiB / 512MiB
2026-09-11T04:38:03Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:38:03Z,ha08-grafana,0.06%,228MiB / 512MiB
2026-09-11T04:38:03Z,ha08-redpanda,1.31%,935.3MiB / 1GiB
2026-09-11T04:38:16Z,ha08-api,4.56%,125MiB / 1GiB
2026-09-11T04:38:16Z,ha08-simulator,1.41%,22.55MiB / 512MiB
2026-09-11T04:38:16Z,ha08-projector,1.09%,31.2MiB / 512MiB
2026-09-11T04:38:16Z,ha08-postgres,2.44%,122.4MiB / 2GiB
2026-09-11T04:38:16Z,ha08-redis,1.83%,22.79MiB / 512MiB
2026-09-11T04:38:16Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:38:16Z,ha08-grafana,0.05%,228MiB / 512MiB
2026-09-11T04:38:16Z,ha08-redpanda,1.19%,935.3MiB / 1GiB
2026-09-11T04:38:29Z,ha08-api,2.92%,125MiB / 1GiB
2026-09-11T04:38:29Z,ha08-simulator,1.33%,22.57MiB / 512MiB
2026-09-11T04:38:29Z,ha08-projector,0.76%,31.21MiB / 512MiB
2026-09-11T04:38:29Z,ha08-postgres,2.98%,126.1MiB / 2GiB
2026-09-11T04:38:29Z,ha08-redis,1.26%,22.78MiB / 512MiB
2026-09-11T04:38:29Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:38:29Z,ha08-grafana,0.07%,228MiB / 512MiB
2026-09-11T04:38:29Z,ha08-redpanda,0.95%,935.3MiB / 1GiB
2026-09-11T04:38:41Z,ha08-api,3.81%,125MiB / 1GiB
2026-09-11T04:38:41Z,ha08-simulator,0.90%,22.57MiB / 512MiB
2026-09-11T04:38:41Z,ha08-projector,0.98%,31.21MiB / 512MiB
2026-09-11T04:38:41Z,ha08-postgres,2.00%,129.4MiB / 2GiB
2026-09-11T04:38:41Z,ha08-redis,2.10%,22.78MiB / 512MiB
2026-09-11T04:38:41Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:38:41Z,ha08-grafana,0.07%,228MiB / 512MiB
2026-09-11T04:38:41Z,ha08-redpanda,1.59%,935.3MiB / 1GiB
2026-09-11T04:38:53Z,ha08-api,9.70%,134.6MiB / 1GiB
2026-09-11T04:38:53Z,ha08-simulator,1.30%,22.58MiB / 512MiB
2026-09-11T04:38:53Z,ha08-projector,0.96%,31.21MiB / 512MiB
2026-09-11T04:38:53Z,ha08-postgres,2.59%,132MiB / 2GiB
2026-09-11T04:38:53Z,ha08-redis,1.10%,22.78MiB / 512MiB
2026-09-11T04:38:53Z,ha08-prometheus,0.29%,118.3MiB / 512MiB
2026-09-11T04:38:53Z,ha08-grafana,0.05%,228MiB / 512MiB
2026-09-11T04:38:53Z,ha08-redpanda,1.38%,935.3MiB / 1GiB
2026-09-11T04:39:06Z,ha08-api,3.04%,125.1MiB / 1GiB
2026-09-11T04:39:06Z,ha08-simulator,2.29%,22.51MiB / 512MiB
2026-09-11T04:39:06Z,ha08-projector,0.65%,31.2MiB / 512MiB
2026-09-11T04:39:06Z,ha08-postgres,2.79%,134MiB / 2GiB
2026-09-11T04:39:06Z,ha08-redis,1.73%,22.78MiB / 512MiB
2026-09-11T04:39:06Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:39:06Z,ha08-grafana,0.06%,228MiB / 512MiB
2026-09-11T04:39:06Z,ha08-redpanda,10.57%,935.4MiB / 1GiB
2026-09-11T04:39:19Z,ha08-api,3.44%,125.1MiB / 1GiB
2026-09-11T04:39:19Z,ha08-simulator,1.10%,22.58MiB / 512MiB
2026-09-11T04:39:19Z,ha08-projector,0.82%,31.21MiB / 512MiB
2026-09-11T04:39:19Z,ha08-postgres,3.54%,136.9MiB / 2GiB
2026-09-11T04:39:19Z,ha08-redis,0.73%,22.78MiB / 512MiB
2026-09-11T04:39:19Z,ha08-prometheus,0.20%,118.3MiB / 512MiB
2026-09-11T04:39:19Z,ha08-grafana,0.01%,228MiB / 512MiB
2026-09-11T04:39:19Z,ha08-redpanda,1.24%,935.4MiB / 1GiB
2026-09-11T04:39:31Z,ha08-api,19.43%,125.1MiB / 1GiB
2026-09-11T04:39:31Z,ha08-simulator,0.71%,22.61MiB / 512MiB
2026-09-11T04:39:31Z,ha08-projector,0.81%,31.2MiB / 512MiB
2026-09-11T04:39:31Z,ha08-postgres,1.69%,138.2MiB / 2GiB
2026-09-11T04:39:31Z,ha08-redis,1.65%,22.8MiB / 512MiB
2026-09-11T04:39:31Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:39:31Z,ha08-grafana,0.02%,228MiB / 512MiB
2026-09-11T04:39:31Z,ha08-redpanda,0.94%,935.4MiB / 1GiB
2026-09-11T04:39:43Z,ha08-api,4.73%,125.1MiB / 1GiB
2026-09-11T04:39:43Z,ha08-simulator,1.98%,22.62MiB / 512MiB
2026-09-11T04:39:43Z,ha08-projector,1.32%,31.2MiB / 512MiB
2026-09-11T04:39:43Z,ha08-postgres,2.90%,140.2MiB / 2GiB
2026-09-11T04:39:43Z,ha08-redis,1.57%,22.78MiB / 512MiB
2026-09-11T04:39:43Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:39:43Z,ha08-grafana,0.08%,228MiB / 512MiB
2026-09-11T04:39:43Z,ha08-redpanda,1.82%,935.5MiB / 1GiB
2026-09-11T04:39:56Z,ha08-api,3.68%,125.4MiB / 1GiB
2026-09-11T04:39:56Z,ha08-simulator,1.55%,22.64MiB / 512MiB
2026-09-11T04:39:56Z,ha08-projector,1.06%,31.2MiB / 512MiB
2026-09-11T04:39:56Z,ha08-postgres,2.94%,141.8MiB / 2GiB
2026-09-11T04:39:56Z,ha08-redis,2.33%,22.61MiB / 512MiB
2026-09-11T04:39:56Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:39:56Z,ha08-grafana,0.02%,228MiB / 512MiB
2026-09-11T04:39:56Z,ha08-redpanda,1.47%,935.5MiB / 1GiB
2026-09-11T04:40:09Z,ha08-api,2.82%,125.4MiB / 1GiB
2026-09-11T04:40:09Z,ha08-simulator,1.39%,22.65MiB / 512MiB
2026-09-11T04:40:09Z,ha08-projector,1.04%,31.21MiB / 512MiB
2026-09-11T04:40:09Z,ha08-postgres,2.42%,143.3MiB / 2GiB
2026-09-11T04:40:09Z,ha08-redis,0.95%,22.52MiB / 512MiB
2026-09-11T04:40:09Z,ha08-prometheus,0.02%,118.3MiB / 512MiB
2026-09-11T04:40:09Z,ha08-grafana,0.07%,228MiB / 512MiB
2026-09-11T04:40:09Z,ha08-redpanda,1.17%,935.5MiB / 1GiB
2026-09-11T04:40:21Z,ha08-api,3.43%,126.2MiB / 1GiB
2026-09-11T04:40:21Z,ha08-simulator,1.33%,22.65MiB / 512MiB
2026-09-11T04:40:21Z,ha08-projector,1.15%,31.2MiB / 512MiB
2026-09-11T04:40:21Z,ha08-postgres,3.82%,145.1MiB / 2GiB
2026-09-11T04:40:21Z,ha08-redis,0.82%,22.76MiB / 512MiB
2026-09-11T04:40:21Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:40:21Z,ha08-grafana,0.10%,228.2MiB / 512MiB
2026-09-11T04:40:21Z,ha08-redpanda,1.80%,935.5MiB / 1GiB
2026-09-11T04:40:33Z,ha08-api,21.13%,126.3MiB / 1GiB
2026-09-11T04:40:33Z,ha08-simulator,1.41%,22.67MiB / 512MiB
2026-09-11T04:40:33Z,ha08-projector,0.85%,31.21MiB / 512MiB
2026-09-11T04:40:33Z,ha08-postgres,2.40%,146.1MiB / 2GiB
2026-09-11T04:40:33Z,ha08-redis,0.74%,22.52MiB / 512MiB
2026-09-11T04:40:33Z,ha08-prometheus,0.00%,118.3MiB / 512MiB
2026-09-11T04:40:33Z,ha08-grafana,0.04%,228.2MiB / 512MiB
