timestamp,name,cpu_perc,mem_usage
2026-09-11T02:15:15Z,ha08-api,2.17%,124.9MiB / 1GiB
2026-09-11T02:15:15Z,ha08-simulator,0.98%,22.34MiB / 512MiB
2026-09-11T02:15:15Z,ha08-projector,0.64%,31.2MiB / 512MiB
2026-09-11T02:15:15Z,ha08-postgres,2.09%,90.12MiB / 2GiB
2026-09-11T02:15:15Z,ha08-redis,0.97%,30.23MiB / 512MiB
2026-09-11T02:15:15Z,ha08-prometheus,0.01%,111.9MiB / 512MiB
2026-09-11T02:15:15Z,ha08-grafana,0.84%,220.1MiB / 512MiB
2026-09-11T02:15:15Z,ha08-redpanda,0.86%,932.5MiB / 1GiB
2026-09-11T02:15:27Z,ha08-api,5.09%,125MiB / 1GiB
2026-09-11T02:15:27Z,ha08-simulator,1.70%,22.41MiB / 512MiB
2026-09-11T02:15:27Z,ha08-projector,1.17%,31.2MiB / 512MiB
2026-09-11T02:15:27Z,ha08-postgres,3.67%,99.55MiB / 2GiB
2026-09-11T02:15:27Z,ha08-redis,1.54%,30.34MiB / 512MiB
2026-09-11T02:15:27Z,ha08-prometheus,0.00%,111.9MiB / 512MiB
2026-09-11T02:15:27Z,ha08-grafana,0.06%,220.1MiB / 512MiB
2026-09-11T02:15:27Z,ha08-redpanda,1.91%,932.5MiB / 1GiB
2026-09-11T02:15:39Z,ha08-api,3.37%,125MiB / 1GiB
2026-09-11T02:15:39Z,ha08-simulator,1.28%,22.42MiB / 512MiB
2026-09-11T02:15:39Z,ha08-projector,1.04%,31.21MiB / 512MiB
2026-09-11T02:15:39Z,ha08-postgres,3.97%,107.9MiB / 2GiB
2026-09-11T02:15:39Z,ha08-redis,1.96%,30.42MiB / 512MiB
2026-09-11T02:15:39Z,ha08-prometheus,0.34%,111.9MiB / 512MiB
2026-09-11T02:15:39Z,ha08-grafana,0.05%,220.1MiB / 512MiB
2026-09-11T02:15:39Z,ha08-redpanda,1.24%,932.5MiB / 1GiB
2026-09-11T02:15:51Z,ha08-api,3.24%,125MiB / 1GiB
2026-09-11T02:15:51Z,ha08-simulator,1.41%,22.43MiB / 512MiB
2026-09-11T02:15:51Z,ha08-projector,0.88%,31.2MiB / 512MiB
2026-09-11T02:15:51Z,ha08-postgres,2.80%,113.6MiB / 2GiB
2026-09-11T02:15:51Z,ha08-redis,0.88%,30.44MiB / 512MiB
2026-09-11T02:15:51Z,ha08-prometheus,0.00%,111.9MiB / 512MiB
2026-09-11T02:15:51Z,ha08-grafana,0.52%,220.1MiB / 512MiB
2026-09-11T02:15:51Z,ha08-redpanda,8.04%,932.6MiB / 1GiB
2026-09-11T02:16:04Z,ha08-api,4.80%,125MiB / 1GiB
2026-09-11T02:16:04Z,ha08-simulator,1.47%,22.44MiB / 512MiB
2026-09-11T02:16:04Z,ha08-projector,1.13%,31.2MiB / 512MiB
2026-09-11T02:16:04Z,ha08-postgres,4.26%,118.3MiB / 2GiB
2026-09-11T02:16:04Z,ha08-redis,1.81%,30.44MiB / 512MiB
2026-09-11T02:16:04Z,ha08-prometheus,0.15%,111.2MiB / 512MiB
2026-09-11T02:16:04Z,ha08-grafana,0.11%,220.1MiB / 512MiB
2026-09-11T02:16:04Z,ha08-redpanda,1.41%,932.5MiB / 1GiB
2026-09-11T02:16:17Z,ha08-api,20.85%,125.1MiB / 1GiB
2026-09-11T02:16:17Z,ha08-simulator,1.14%,22.45MiB / 512MiB
2026-09-11T02:16:17Z,ha08-projector,1.02%,31.2MiB / 512MiB
2026-09-11T02:16:17Z,ha08-postgres,2.11%,121.3MiB / 2GiB
2026-09-11T02:16:17Z,ha08-redis,0.65%,30.43MiB / 512MiB
2026-09-11T02:16:17Z,ha08-prometheus,0.00%,111.2MiB / 512MiB
2026-09-11T02:16:17Z,ha08-grafana,0.05%,220.1MiB / 512MiB
2026-09-11T02:16:17Z,ha08-redpanda,1.40%,932.5MiB / 1GiB
2026-09-11T02:16:29Z,ha08-api,2.95%,125.1MiB / 1GiB
2026-09-11T02:16:29Z,ha08-simulator,1.45%,22.45MiB / 512MiB
2026-09-11T02:16:29Z,ha08-projector,1.58%,31.2MiB / 512MiB
2026-09-11T02:16:29Z,ha08-postgres,4.17%,123.7MiB / 2GiB
2026-09-11T02:16:29Z,ha08-redis,2.48%,30.46MiB / 512MiB
2026-09-11T02:16:29Z,ha08-prometheus,0.26%,111.2MiB / 512MiB
2026-09-11T02:16:29Z,ha08-grafana,0.09%,220.1MiB / 512MiB
2026-09-11T02:16:29Z,ha08-redpanda,1.09%,932.5MiB / 1GiB
2026-09-11T02:16:41Z,ha08-api,4.27%,125.3MiB / 1GiB
2026-09-11T02:16:41Z,ha08-simulator,1.22%,22.46MiB / 512MiB
2026-09-11T02:16:41Z,ha08-projector,0.78%,31.2MiB / 512MiB
2026-09-11T02:16:41Z,ha08-postgres,2.08%,125.8MiB / 2GiB
2026-09-11T02:16:41Z,ha08-redis,1.00%,30.48MiB / 512MiB
2026-09-11T02:16:41Z,ha08-prometheus,0.00%,111.2MiB / 512MiB
2026-09-11T02:16:41Z,ha08-grafana,0.03%,220.1MiB / 512MiB
2026-09-11T02:16:41Z,ha08-redpanda,1.36%,932.5MiB / 1GiB
2026-09-11T02:16:54Z,ha08-api,3.34%,125.1MiB / 1GiB
2026-09-11T02:16:54Z,ha08-simulator,1.38%,22.72MiB / 512MiB
2026-09-11T02:16:54Z,ha08-projector,0.91%,31.2MiB / 512MiB
2026-09-11T02:16:54Z,ha08-postgres,3.54%,127.8MiB / 2GiB
2026-09-11T02:16:54Z,ha08-redis,2.34%,30.53MiB / 512MiB
2026-09-11T02:16:54Z,ha08-prometheus,0.00%,111.2MiB / 512MiB
2026-09-11T02:16:54Z,ha08-grafana,0.05%,220.1MiB / 512MiB
2026-09-11T02:16:54Z,ha08-redpanda,1.55%,932.8MiB / 1GiB
2026-09-11T02:17:07Z,ha08-api,4.72%,125.1MiB / 1GiB
2026-09-11T02:17:07Z,ha08-simulator,1.60%,22.48MiB / 512MiB
2026-09-11T02:17:07Z,ha08-projector,1.14%,31.2MiB / 512MiB
2026-09-11T02:17:07Z,ha08-postgres,2.95%,129.6MiB / 2GiB
2026-09-11T02:17:07Z,ha08-redis,1.53%,30.53MiB / 512MiB
2026-09-11T02:17:07Z,ha08-prometheus,0.00%,111.2MiB / 512MiB
2026-09-11T02:17:07Z,ha08-grafana,0.40%,220.1MiB / 512MiB
2026-09-11T02:17:07Z,ha08-redpanda,1.18%,932.5MiB / 1GiB
2026-09-11T02:17:19Z,ha08-api,18.94%,136.9MiB / 1GiB
2026-09-11T02:17:19Z,ha08-simulator,1.32%,22.49MiB / 512MiB
2026-09-11T02:17:19Z,ha08-projector,0.89%,31.2MiB / 512MiB
2026-09-11T02:17:19Z,ha08-postgres,2.48%,131.2MiB / 2GiB
2026-09-11T02:17:19Z,ha08-redis,1.65%,30.79MiB / 512MiB
2026-09-11T02:17:19Z,ha08-prometheus,0.35%,111.4MiB / 512MiB
2026-09-11T02:17:19Z,ha08-grafana,0.15%,220.1MiB / 512MiB
2026-09-11T02:17:19Z,ha08-redpanda,1.30%,932.5MiB / 1GiB
2026-09-11T02:17:31Z,ha08-api,4.18%,125.1MiB / 1GiB
2026-09-11T02:17:31Z,ha08-simulator,1.48%,22.5MiB / 512MiB
2026-09-11T02:17:31Z,ha08-projector,1.16%,31.2MiB / 512MiB
2026-09-11T02:17:31Z,ha08-postgres,2.46%,132.5MiB / 2GiB
2026-09-11T02:17:31Z,ha08-redis,1.39%,30.57MiB / 512MiB
2026-09-11T02:17:31Z,ha08-prometheus,0.00%,111.8MiB / 512MiB
2026-09-11T02:17:31Z,ha08-grafana,0.08%,220.1MiB / 512MiB
2026-09-11T02:17:31Z,ha08-redpanda,1.57%,932.6MiB / 1GiB
2026-09-11T02:17:44Z,ha08-api,5.01%,125.1MiB / 1GiB
2026-09-11T02:17:44Z,ha08-simulator,0.93%,22.5MiB / 512MiB
2026-09-11T02:17:44Z,ha08-projector,1.17%,31.2MiB / 512MiB
2026-09-11T02:17:44Z,ha08-postgres,2.50%,134MiB / 2GiB
2026-09-11T02:17:44Z,ha08-redis,1.40%,30.74MiB / 512MiB
2026-09-11T02:17:44Z,ha08-prometheus,0.11%,112.5MiB / 512MiB
2026-09-11T02:17:44Z,ha08-grafana,0.04%,220.1MiB / 512MiB
2026-09-11T02:17:44Z,ha08-redpanda,1.90%,932.5MiB / 1GiB
2026-09-11T02:17:57Z,ha08-api,21.18%,125.2MiB / 1GiB
2026-09-11T02:17:57Z,ha08-simulator,1.71%,22.52MiB / 512MiB
2026-09-11T02:17:57Z,ha08-projector,1.15%,31.2MiB / 512MiB
2026-09-11T02:17:57Z,ha08-postgres,2.57%,136.4MiB / 2GiB
2026-09-11T02:17:57Z,ha08-redis,1.35%,31.14MiB / 512MiB
2026-09-11T02:17:57Z,ha08-prometheus,0.00%,112.9MiB / 512MiB
2026-09-11T02:17:57Z,ha08-grafana,0.10%,220.1MiB / 512MiB
2026-09-11T02:17:57Z,ha08-redpanda,1.45%,932.5MiB / 1GiB
2026-09-11T02:18:09Z,ha08-api,4.53%,125.1MiB / 1GiB
2026-09-11T02:18:09Z,ha08-simulator,1.49%,22.52MiB / 512MiB
2026-09-11T02:18:09Z,ha08-projector,1.06%,31.2MiB / 512MiB
2026-09-11T02:18:09Z,ha08-postgres,2.62%,137.6MiB / 2GiB
2026-09-11T02:18:09Z,ha08-redis,1.14%,31.57MiB / 512MiB
2026-09-11T02:18:09Z,ha08-prometheus,0.35%,113.2MiB / 512MiB
2026-09-11T02:18:09Z,ha08-grafana,0.03%,220.1MiB / 512MiB
2026-09-11T02:18:09Z,ha08-redpanda,1.31%,932.5MiB / 1GiB
2026-09-11T02:18:21Z,ha08-api,17.67%,138.1MiB / 1GiB
2026-09-11T02:18:21Z,ha08-simulator,1.43%,22.53MiB / 512MiB
2026-09-11T02:18:21Z,ha08-projector,1.12%,31.2MiB / 512MiB
2026-09-11T02:18:21Z,ha08-postgres,2.99%,139MiB / 2GiB
2026-09-11T02:18:21Z,ha08-redis,1.35%,31.96MiB / 512MiB
2026-09-11T02:18:21Z,ha08-prometheus,0.00%,113.2MiB / 512MiB
2026-09-11T02:18:21Z,ha08-grafana,0.61%,220.1MiB / 512MiB
2026-09-11T02:18:21Z,ha08-redpanda,1.41%,932.5MiB / 1GiB
2026-09-11T02:18:34Z,ha08-api,3.02%,125.2MiB / 1GiB
2026-09-11T02:18:34Z,ha08-simulator,1.48%,22.54MiB / 512MiB
2026-09-11T02:18:34Z,ha08-projector,1.15%,31.21MiB / 512MiB
2026-09-11T02:18:34Z,ha08-postgres,2.50%,140.2MiB / 2GiB
2026-09-11T02:18:34Z,ha08-redis,1.27%,32.41MiB / 512MiB
2026-09-11T02:18:34Z,ha08-prometheus,0.35%,113.2MiB / 512MiB
2026-09-11T02:18:34Z,ha08-grafana,0.07%,220.1MiB / 512MiB
2026-09-11T02:18:34Z,ha08-redpanda,5.08%,932.7MiB / 1GiB
2026-09-11T02:18:47Z,ha08-api,3.95%,125.2MiB / 1GiB
2026-09-11T02:18:47Z,ha08-simulator,1.37%,22.41MiB / 512MiB
2026-09-11T02:18:47Z,ha08-projector,1.25%,31.2MiB / 512MiB
2026-09-11T02:18:47Z,ha08-postgres,2.27%,141.3MiB / 2GiB
2026-09-11T02:18:47Z,ha08-redis,0.87%,32.84MiB / 512MiB
2026-09-11T02:18:47Z,ha08-prometheus,0.00%,113.2MiB / 512MiB
2026-09-11T02:18:47Z,ha08-grafana,0.11%,220.1MiB / 512MiB
2026-09-11T02:18:47Z,ha08-redpanda,1.40%,932.5MiB / 1GiB
2026-09-11T02:18:59Z,ha08-api,20.85%,125.2MiB / 1GiB
2026-09-11T02:18:59Z,ha08-simulator,1.17%,22.7MiB / 512MiB
2026-09-11T02:18:59Z,ha08-projector,0.87%,31.2MiB / 512MiB
2026-09-11T02:18:59Z,ha08-postgres,1.97%,142.4MiB / 2GiB
2026-09-11T02:18:59Z,ha08-redis,1.37%,33.28MiB / 512MiB
2026-09-11T02:18:59Z,ha08-prometheus,0.18%,113.2MiB / 512MiB
2026-09-11T02:18:59Z,ha08-grafana,0.01%,219.9MiB / 512MiB
2026-09-11T02:18:59Z,ha08-redpanda,1.17%,932.5MiB / 1GiB
2026-09-11T02:19:11Z,ha08-api,5.45%,125.7MiB / 1GiB
2026-09-11T02:19:11Z,ha08-simulator,1.27%,22.72MiB / 512MiB
2026-09-11T02:19:11Z,ha08-projector,1.02%,31.2MiB / 512MiB
2026-09-11T02:19:11Z,ha08-postgres,2.55%,143.5MiB / 2GiB
2026-09-11T02:19:11Z,ha08-redis,1.65%,33.69MiB / 512MiB
2026-09-11T02:19:11Z,ha08-prometheus,0.00%,113.2MiB / 512MiB
2026-09-11T02:19:11Z,ha08-grafana,0.03%,219.9MiB / 512MiB
2026-09-11T02:19:11Z,ha08-redpanda,1.33%,932.5MiB / 1GiB
2026-09-11T02:19:24Z,ha08-api,4.12%,125.2MiB / 1GiB
2026-09-11T02:19:24Z,ha08-simulator,1.30%,22.73MiB / 512MiB
2026-09-11T02:19:24Z,ha08-projector,1.18%,31.2MiB / 512MiB
2026-09-11T02:19:24Z,ha08-postgres,2.05%,144.5MiB / 2GiB
2026-09-11T02:19:24Z,ha08-redis,1.08%,34.11MiB / 512MiB
2026-09-11T02:19:24Z,ha08-prometheus,0.24%,113.2MiB / 512MiB
2026-09-11T02:19:24Z,ha08-grafana,3.54%,219.9MiB / 512MiB
2026-09-11T02:19:24Z,ha08-redpanda,1.31%,932.6MiB / 1GiB
